Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,-1.0746e-07,0.0
0.030069,-5.0183e-07,0.0
0.03161,-2.469e-07,1.1892
0.033231,-6.2068e-08,6.1658
0.034935,5.6283e-08,5.5573
0.036726,-1.0727e-07,2.78
0.038609,3.4088e-07,0.77352
0.040589,2.002e-07,1.1821
0.04267,4.064e-07,0.53687
0.044857,1.0468e-07,2.0035
0.047157,4.9023e-07,0.41331
0.049575,7.2454e-07,0.24067
0.052117,4.9479e-07,0.30587
0.054789,3.8814e-07,0.34034
0.057598,6.1535e-07,0.20222
0.060551,6.2951e-07,0.17497
0.063656,7.4438e-07,0.13901
0.066919,1.0033e-06,0.091555
0.07035,1.1615e-06,0.074054
0.073957,8.7087e-07,0.091719
0.077749,1.1228e-06,0.071879
0.081735,1.0803e-06,0.067046
0.085926,5.6544e-07,0.10872
0.090332,5.4311e-07,0.10929
0.094963,7.9056e-07,0.073318
0.099832,8.9032e-07,0.066044
0.10495,1.1045e-06,0.053878
0.11033,1.4226e-06,0.04266
0.11599,1.7857e-06,0.035379
0.12193,2.3281e-06,0.030159
0.12819,2.6147e-06,0.027703
0.13476,2.389e-06,0.029862
0.14167,1.716e-06,0.034408
0.14893,1.4075e-06,0.036947
0.15657,2.1977e-06,0.027339
0.16459,2.6205e-06,0.024174
0.17303,2.5767e-06,0.023431
0.18191,2.5951e-06,0.022451
0.19123,1.5873e-06,0.031018
0.20104,1.6527e-06,0.029829
0.21134,2.4549e-06,0.023011
0.22218,2.6315e-06,0.021949
0.23357,2.5736e-06,0.021814
0.24555,3.1076e-06,0.019633
0.25814,4.1358e-06,0.016865
0.27137,4.4393e-06,0.016275
0.28528,4.6647e-06,0.015978
0.29991,6.6532e-06,0.012911
0.31529,5.3182e-06,0.015022
0.33145,5.045e-06,0.015233
0.34845,6.023e-06,0.013875
0.36631,5.1624e-06,0.014992
0.38509,3.4891e-06,0.018706
0.40484,2.6286e-06,0.022007
0.42559,3.4694e-06,0.018803
0.44742,4.4008e-06,0.016577
0.47035,4.717e-06,0.01594
0.49447,4.4257e-06,0.016004
0.51982,4.813e-06,0.015108
0.54647,5.8885e-06,0.013391
0.57449,7.494e-06,0.011785
0.60395,1.0045e-05,0.01019
0.63491,1.0275e-05,0.010285
0.66747,7.7301e-06,0.01194
0.70169,6.4167e-06,0.013278
0.73766,4.3702e-06,0.016295
0.77548,3.814e-06,0.017507
0.81524,4.7394e-06,0.015652
0.85704,5.3986e-06,0.014387
0.90098,6.2413e-06,0.013504
0.94718,6.756e-06,0.013131
0.99574,5.3774e-06,0.014998
1.0468,4.6716e-06,0.016089
1.1005,5.315e-06,0.015086
1.1569,6.0818e-06,0.013981
1.2162,5.3493e-06,0.015371
1.2786,4.0539e-06,0.017764
1.3441,3.785e-06,0.018958
1.413,3.5339e-06,0.019688
1.4855,3.4176e-06,0.020155
1.5616,3.1103e-06,0.021782
1.6417,3.1604e-06,0.021114
1.7259,3.4827e-06,0.027568
1.8144,2.9617e-06,0.029522
1.9074,2.3956e-06,0.032016
2.0052,2.1373e-06,0.033537
2.108,2.1995e-06,0.03362
2.2161,2.2483e-06,0.032867
2.3297,1.935e-06,0.034114
2.4491,1.5182e-06,0.039029
2.5747,1.5881e-06,0.037387
2.7067,1.5278e-06,0.038933
2.8455,1.4704e-06,0.03922
2.9914,1.3255e-06,0.042377
3.1447,1.2937e-06,0.044671
3.306,1.1664e-06,0.04621
3.4755,1.0507e-06,0.050524
3.6537,9.4665e-07,0.051808
3.841,8.3436e-07,0.057052
4.0379,8.2786e-07,0.05974
4.245,7.7766e-07,0.062152
4.4626,7.3937e-07,0.063287
4.6914,6.8146e-07,0.068899
4.9319,6.4428e-07,0.071424
5.1848,6.3826e-07,0.074171
5.4506,5.6981e-07,0.080531
5.7301,5.2724e-07,0.085799
6.0239,5.4308e-07,0.081328
6.3327,4.9901e-07,0.091682
6.6574,5.0553e-07,0.09483
6.9988,5.7619e-07,0.093159
7.3576,6.3193e-07,0.08038
7.7348,5.6479e-07,0.10243
8.1314,5.5626e-07,0.0966
8.5483,5.6046e-07,0.10512
8.9866,6.5366e-07,0.096921
9.4473,6.1855e-07,0.10511
9.9317,8.7515e-07,0.080454
10.441,8.7638e-07,0.08945
10.976,8.9813e-07,0.084702
11.539,1.2653e-06,0.06966
12.131,2.4384e-06,0.041709
12.753,4.3414e-06,0.03062
13.406,9.253e-06,0.019964
14.094,3.3837e-05,0.010105
14.816,0.00025335,0.0036457
15.576,0.00014118,0.004797
16.375,1.1384e-05,0.016631
17.214,2.5844e-06,0.035444
18.097,7.7599e-07,0.062359
19.025,1.1567e-07,0.19494
20.0,2.6593e-08,0.50459
