Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,-2.516e-07,0.0
0.03161,-4.5764e-07,0.0
0.033231,-9.1072e-07,0.31431
0.034935,-1.8584e-07,1.4393
0.036726,4.7168e-08,5.3549
0.038609,1.5257e-07,1.4354
0.040589,2.9462e-07,0.69621
0.04267,3.1504e-07,0.60785
0.044857,8.3975e-08,2.0366
0.047157,1.7416e-07,0.93437
0.049575,4.108e-07,0.36078
0.052117,1.7113e-07,0.75202
0.054789,2.8536e-07,0.39167
0.057598,3.962e-07,0.25924
0.060551,4.8869e-07,0.18066
0.063656,6.9116e-07,0.12536
0.066919,7.7161e-07,0.099418
0.07035,8.6501e-07,0.083848
0.073957,9.0025e-07,0.074866
0.077749,7.2158e-07,0.088148
0.081735,1.0153e-06,0.060831
0.085926,7.3237e-07,0.077702
0.090332,4.8746e-07,0.10249
0.094963,5.9941e-07,0.080373
0.099832,8.2081e-07,0.058743
0.10495,8.8764e-07,0.054515
0.11033,1.119e-06,0.045022
0.11599,1.3535e-06,0.03725
0.12193,1.7551e-06,0.03027
0.12819,2.0667e-06,0.02685
0.13476,2.0548e-06,0.027063
0.14167,1.9762e-06,0.027623
0.14893,1.3036e-06,0.034547
0.15657,1.5855e-06,0.028697
0.16459,1.9972e-06,0.024485
0.17303,2.265e-06,0.022485
0.18191,2.1614e-06,0.022
0.19123,2.0847e-06,0.022653
0.20104,1.2064e-06,0.032139
0.21134,1.7861e-06,0.024116
0.22218,2.2365e-06,0.021631
0.23357,2.1793e-06,0.021601
0.24555,2.517e-06,0.019707
0.25814,2.8821e-06,0.018245
0.27137,3.576e-06,0.016196
0.28528,4.1704e-06,0.014886
0.29991,4.3043e-06,0.014586
0.31529,5.3105e-06,0.013077
0.33145,4.3845e-06,0.014622
0.34845,4.4595e-06,0.014426
0.36631,5.0512e-06,0.013475
0.38509,3.8117e-06,0.015699
0.40484,2.5555e-06,0.019776
0.42559,2.6089e-06,0.019684
0.44742,3.339e-06,0.017095
0.47035,3.9042e-06,0.01574
0.49447,4.1677e-06,0.014808
0.51982,4.1212e-06,0.014603
0.54647,4.7407e-06,0.013343
0.57449,5.7144e-06,0.012145
0.60395,7.0355e-06,0.010966
0.63491,8.4296e-06,0.010049
0.66747,7.6579e-06,0.01073
0.70169,5.5725e-06,0.012682
0.73766,5.1701e-06,0.013147
0.77548,3.5748e-06,0.016021
0.81524,3.4432e-06,0.016549
0.85704,4.171e-06,0.014862
0.90098,4.487e-06,0.014433
0.94718,5.0047e-06,0.013695
0.99574,4.9732e-06,0.014096
1.0468,3.8722e-06,0.016085
1.1005,3.8093e-06,0.016199
1.1569,4.5839e-06,0.014597
1.2162,4.4811e-06,0.015137
1.2786,3.8733e-06,0.016312
1.3441,3.2635e-06,0.018
1.413,3.0494e-06,0.019342
1.4855,2.9065e-06,0.019795
1.5616,2.6795e-06,0.021281
1.6417,2.5561e-06,0.02175
1.7259,2.8507e-06,0.028105
1.8144,2.6865e-06,0.028146
1.9074,2.0733e-06,0.031279
2.0052,1.9154e-06,0.032199
2.108,1.8994e-06,0.031517
2.2161,1.8793e-06,0.031844
2.3297,1.6359e-06,0.034397
2.4491,1.5077e-06,0.035465
2.5747,1.3263e-06,0.038588
2.7067,1.2811e-06,0.038222
2.8455,1.2301e-06,0.038578
2.9914,1.1945e-06,0.038774
3.1447,1.1255e-06,0.041254
3.306,1.035e-06,0.044271
3.4755,9.3781e-07,0.046256
3.6537,8.7944e-07,0.048326
3.841,7.9208e-07,0.050617
4.0379,7.7037e-07,0.0523
4.245,6.3664e-07,0.061152
4.4626,6.6868e-07,0.058727
4.6914,6.755e-07,0.058779
4.9319,6.4024e-07,0.062575
5.1848,5.9968e-07,0.064357
5.4506,5.5144e-07,0.067696
5.7301,5.3627e-07,0.071013
6.0239,4.7106e-07,0.079003
6.3327,5.0683e-07,0.073743
6.6574,4.2011e-07,0.0945
6.9988,4.6258e-07,0.081896
7.3576,4.8937e-07,0.083118
7.7348,4.6182e-07,0.089154
8.1314,4.3119e-07,0.10651
8.5483,3.2349e-07,0.13496
8.9866,3.8657e-07,0.11627
9.4473,4.2145e-07,0.11364
9.9317,5.6658e-07,0.094492
10.441,6.3329e-07,0.085448
10.976,5.3691e-07,0.095058
11.539,5.8048e-07,0.09514
12.131,9.781e-07,0.061453
12.753,1.4159e-06,0.049043
13.406,3.6148e-06,0.029204
14.094,1.6977e-05,0.012899
14.816,6.9861e-05,0.0062792
15.576,2.0386e-05,0.011433
16.375,1.9063e-06,0.037493
17.214,3.6837e-07,0.087942
18.097,6.969e-08,0.23782
19.025,1.5776e-08,0.66957
20.0,2.5999e-09,2.8765
