Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,-7.8089e-06,0.036128
0.030069,7.4989e-07,4.3163
0.03161,-6.398e-06,0.45495
0.033231,-1.1485e-06,2.2428
0.034935,9.9277e-07,2.2946
0.036726,3.2759e-06,0.60532
0.038609,-3.4042e-06,0.53167
0.040589,1.1786e-06,1.3903
0.04267,-2.9117e-07,5.1118
0.044857,-1.4496e-06,0.96552
0.047157,-2.0052e-06,0.634
0.049575,-4.013e-07,2.8449
0.052117,7.3617e-07,1.3625
0.054789,-1.6169e-06,0.53423
0.057598,-3.2449e-07,2.3359
0.060551,-9.6592e-07,0.69344
0.063656,-1.0161e-06,0.59077
0.066919,-1.3413e-07,3.9858
0.07035,3.6843e-07,1.3121
0.073957,-4.6634e-07,0.9393
0.077749,-3.6953e-07,1.0933
0.081735,3.4215e-07,1.0977
0.085926,-2.9233e-07,1.1899
0.090332,-4.7687e-08,6.9303
0.094963,-9.0746e-08,3.3591
0.099832,1.9932e-07,1.4442
0.10495,-9.9868e-08,2.7038
0.11033,1.5662e-07,1.6285
0.11599,1.1833e-07,2.0471
0.12193,2.7446e-07,0.84612
0.12819,3.4183e-07,0.63803
0.13476,2.7706e-08,7.4757
0.14167,1.2354e-07,1.638
0.14893,5.6781e-07,0.33925
0.15657,7.6238e-07,0.24388
0.16459,5.6504e-07,0.31601
0.17303,6.036e-07,0.28811
0.18191,6.5871e-07,0.25471
0.19123,6.742e-07,0.24352
0.20104,6.4109e-07,0.25334
0.21134,8.1431e-07,0.19555
0.22218,1.0133e-06,0.15521
0.23357,8.9419e-07,0.17246
0.24555,9.3774e-07,0.16393
0.25814,1.0818e-06,0.1396
0.27137,1.3762e-06,0.10909
0.28528,1.3871e-06,0.1052
0.29991,1.618e-06,0.090518
0.31529,1.8957e-06,0.076877
0.33145,1.9183e-06,0.075555
0.34845,1.9049e-06,0.076339
0.36631,2.1029e-06,0.068329
0.38509,2.0832e-06,0.07068
0.40484,2.2069e-06,0.067498
0.42559,2.7351e-06,0.054926
0.44742,2.6259e-06,0.056951
0.47035,3.0566e-06,0.048687
0.49447,2.9419e-06,0.050378
0.51982,3.4661e-06,0.041071
0.54647,3.834e-06,0.037518
0.57449,3.9898e-06,0.035801
0.60395,4.2752e-06,0.033291
0.63491,4.5298e-06,0.031591
0.66747,4.6482e-06,0.031368
0.70169,4.888e-06,0.029904
0.73766,4.9732e-06,0.029592
0.77548,5.6648e-06,0.025991
0.81524,5.3752e-06,0.027368
0.85704,5.8701e-06,0.025152
0.90098,6.2152e-06,0.024217
0.94718,6.6547e-06,0.023056
0.99574,6.5533e-06,0.023747
1.0468,6.4875e-06,0.023882
1.1005,7.092e-06,0.022139
1.1569,7.581e-06,0.020989
1.2162,7.525e-06,0.021383
1.2786,7.5174e-06,0.021452
1.3441,7.7894e-06,0.021036
1.413,7.93e-06,0.020618
1.4855,8.415e-06,0.019751
1.5616,8.6437e-06,0.019635
1.6417,8.5923e-06,0.019694
1.7259,8.9406e-06,0.019613
1.8144,9.1215e-06,0.019214
1.9074,8.8334e-06,0.019031
2.0052,8.711e-06,0.019061
2.108,8.5647e-06,0.019085
2.2161,8.334e-06,0.019002
2.3297,7.5973e-06,0.019902
2.4491,7.2291e-06,0.020527
2.5747,7.0964e-06,0.020577
2.7067,6.4233e-06,0.021991
2.8455,5.7923e-06,0.023433
2.9914,5.0617e-06,0.024647
3.1447,4.6338e-06,0.026682
3.306,4.3269e-06,0.027748
3.4755,3.8555e-06,0.029736
3.6537,3.2575e-06,0.032795
3.841,2.9042e-06,0.035033
4.0379,2.7891e-06,0.034814
4.245,2.3069e-06,0.041311
4.4626,2.0003e-06,0.04671
4.6914,1.9253e-06,0.047185
4.9319,1.6001e-06,0.055686
5.1848,1.5065e-06,0.058198
5.4506,1.3161e-06,0.069626
5.7301,1.2978e-06,0.069975
6.0239,1.331e-06,0.07256
6.3327,1.0002e-06,0.094817
6.6574,1.0482e-06,0.093418
6.9988,1.2069e-06,0.082099
7.3576,1.231e-06,0.083679
7.7348,1.0787e-06,0.09624
8.1314,1.2049e-06,0.097134
8.5483,1.4542e-06,0.083229
8.9866,1.5229e-06,0.084127
9.4473,1.8841e-06,0.07263
9.9317,1.6227e-06,0.086783
10.441,2.0916e-06,0.074219
10.976,1.8131e-06,0.081374
11.539,1.2859e-06,0.11276
12.131,2.7824e-06,0.056718
12.753,1.3143e-06,0.096975
13.406,1.2208e-06,0.090426
14.094,1.15e-05,0.019979
14.816,6.1126e-05,0.0083779
15.576,2.0104e-05,0.014404
16.375,1.9903e-07,0.22713
17.214,2.3785e-08,1.3988
18.097,-1.1504e-08,2.319
19.025,3.4863e-08,0.64518
20.0,3.079e-08,0.70634
