Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,-5.2395e-06,0.18242
0.030069,8.3845e-07,2.4178
0.03161,1.1623e-06,1.5211
0.033231,7.0695e-07,2.1965
0.034935,3.506e-07,3.8857
0.036726,5.248e-07,2.3752
0.038609,-3.5945e-07,3.0781
0.040589,1.3201e-06,0.73097
0.04267,1.1225e-06,0.81657
0.044857,-5.7589e-07,1.4644
0.047157,7.0778e-07,1.1004
0.049575,1.6892e-06,0.40615
0.052117,3.4467e-07,1.7434
0.054789,-3.238e-09,163.28
0.057598,2.0785e-07,2.1766
0.060551,-1.4173e-08,28.817
0.063656,1.0015e-06,0.35971
0.066919,5.8187e-07,0.56608
0.07035,7.2119e-07,0.40481
0.073957,9.2168e-07,0.2822
0.077749,7.6199e-07,0.32583
0.081735,3.2253e-07,0.71829
0.085926,8.2882e-07,0.25725
0.090332,7.9517e-07,0.24794
0.094963,6.3436e-07,0.30125
0.099832,5.6254e-07,0.31986
0.10495,9.5362e-07,0.17615
0.11033,4.3e-07,0.37796
0.11599,7.0562e-07,0.21218
0.12193,8.4189e-07,0.17072
0.12819,9.8669e-07,0.13933
0.13476,7.9555e-07,0.16479
0.14167,9.7536e-07,0.13132
0.14893,9.0223e-07,0.13706
0.15657,1.1538e-06,0.10424
0.16459,1.2123e-06,0.098128
0.17303,1.5893e-06,0.071175
0.18191,1.5813e-06,0.071433
0.19123,1.8445e-06,0.059345
0.20104,1.7341e-06,0.064612
0.21134,1.9629e-06,0.056162
0.22218,2.1896e-06,0.050067
0.23357,2.2493e-06,0.048401
0.24555,2.4081e-06,0.045642
0.25814,2.8225e-06,0.039268
0.27137,3.0641e-06,0.035631
0.28528,3.5336e-06,0.031965
0.29991,3.8869e-06,0.028837
0.31529,4.1134e-06,0.028245
0.33145,4.0349e-06,0.028277
0.34845,4.4657e-06,0.02578
0.36631,5.3552e-06,0.022925
0.38509,5.8304e-06,0.021953
0.40484,6.2841e-06,0.020751
0.42559,6.8473e-06,0.019694
0.44742,7.6766e-06,0.01817
0.47035,9.2685e-06,0.015894
0.49447,8.9127e-06,0.015984
0.51982,8.695e-06,0.016109
0.54647,9.2378e-06,0.015008
0.57449,9.9982e-06,0.014528
0.60395,1.0526e-05,0.013846
0.63491,1.1159e-05,0.013731
0.66747,1.1676e-05,0.013334
0.70169,1.1728e-05,0.013323
0.73766,1.2838e-05,0.012561
0.77548,1.2756e-05,0.012625
0.81524,1.3659e-05,0.012135
0.85704,1.5283e-05,0.011201
0.90098,1.5665e-05,0.011222
0.94718,1.55e-05,0.011511
0.99574,1.6362e-05,0.011208
1.0468,1.7292e-05,0.010885
1.1005,1.7205e-05,0.010849
1.1569,1.8175e-05,0.010543
1.2162,1.7523e-05,0.010844
1.2786,1.8267e-05,0.010722
1.3441,1.7798e-05,0.010982
1.413,1.8563e-05,0.010754
1.4855,1.92e-05,0.010622
1.5616,1.9329e-05,0.010599
1.6417,1.7315e-05,0.011407
1.7259,1.9939e-05,0.014046
1.8144,2.0247e-05,0.013542
1.9074,1.8974e-05,0.013786
2.0052,1.8464e-05,0.013742
2.108,1.7679e-05,0.014062
2.2161,1.6621e-05,0.014245
2.3297,1.6552e-05,0.014165
2.4491,1.5941e-05,0.014428
2.5747,1.4925e-05,0.015
2.7067,1.4729e-05,0.015042
2.8455,1.4361e-05,0.015298
2.9914,1.4963e-05,0.014972
3.1447,1.354e-05,0.016172
3.306,1.1712e-05,0.017697
3.4755,1.176e-05,0.017753
3.6537,1.1021e-05,0.018657
3.841,9.7916e-06,0.020048
4.0379,9.1773e-06,0.021098
4.245,9.1942e-06,0.021057
4.4626,8.876e-06,0.021565
4.6914,8.4438e-06,0.02259
4.9319,7.938e-06,0.023163
5.1848,7.6805e-06,0.024101
5.4506,7.4557e-06,0.024428
5.7301,7.7451e-06,0.024002
6.0239,7.2529e-06,0.025498
6.3327,6.9738e-06,0.026937
6.6574,7.1416e-06,0.027539
6.9988,7.3023e-06,0.027627
7.3576,7.1351e-06,0.028623
7.7348,6.8202e-06,0.032071
8.1314,7.104e-06,0.032431
8.5483,7.8957e-06,0.030099
8.9866,8.8555e-06,0.029246
9.4473,9.699e-06,0.028115
9.9317,9.6872e-06,0.02855
10.441,1.2486e-05,0.024747
10.976,1.3426e-05,0.024232
11.539,1.6766e-05,0.020897
12.131,3.1849e-05,0.014024
12.753,4.2471e-05,0.012082
13.406,0.00010029,0.0075652
14.094,0.0012572,0.0020779
14.816,0.006321,0.00091795
15.576,0.001453,0.0018809
16.375,7.366e-06,0.026519
17.214,2.8392e-07,0.1605
18.097,-2.8998e-08,1.3142
19.025,8.8989e-08,0.34556
20.0,4.0856e-08,0.60445
