Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,-9.5025e-07,0.0
0.02588,-1.1747e-06,0.0
0.027207,-1.1587e-06,0.37721
0.028602,-3.9783e-07,1.1364
0.030069,-6.5318e-07,0.62709
0.03161,-2.624e-07,1.2779
0.033231,3.7717e-08,8.1297
0.034935,-2.6883e-07,1.0156
0.036726,-2.571e-08,9.7
0.038609,-3.997e-07,0.58756
0.040589,2.0679e-09,100.45
0.04267,1.7911e-07,1.075
0.044857,-3.1057e-08,5.8885
0.047157,1.5261e-07,1.0717
0.049575,-5.9414e-08,2.6256
0.052117,1.1646e-07,1.1248
0.054789,4.4941e-07,0.26415
0.057598,3.5768e-07,0.2844
0.060551,3.2267e-07,0.30141
0.063656,5.3534e-07,0.16589
0.066919,3.1645e-07,0.2489
0.07035,5.1644e-07,0.14614
0.073957,6.0694e-07,0.11545
0.077749,1.8581e-07,0.31797
0.081735,2.8011e-07,0.20829
0.085926,3.02e-07,0.17863
0.090332,3.6039e-07,0.14554
0.094963,3.7469e-07,0.13541
0.099832,4.7744e-07,0.10493
0.10495,6.9477e-07,0.071274
0.11033,7.8717e-07,0.063491
0.11599,1.033e-06,0.050522
0.12193,1.2081e-06,0.043712
0.12819,1.0776e-06,0.046621
0.13476,4.9243e-07,0.083028
0.14167,7.0832e-07,0.05859
0.14893,9.9973e-07,0.045739
0.15657,1.2204e-06,0.039173
0.16459,1.4121e-06,0.034663
0.17303,1.374e-06,0.034908
0.18191,7.2557e-07,0.052986
0.19123,9.3334e-07,0.044159
0.20104,1.3139e-06,0.034602
0.21134,1.2545e-06,0.035955
0.22218,1.3343e-06,0.034272
0.23357,1.424e-06,0.032911
0.24555,1.8793e-06,0.02723
0.25814,2.1378e-06,0.025155
0.27137,1.9359e-06,0.026982
0.28528,3.0129e-06,0.020382
0.29991,2.5964e-06,0.022347
0.31529,2.4019e-06,0.023903
0.33145,3.4912e-06,0.018868
0.34845,3.2843e-06,0.019511
0.36631,2.5929e-06,0.022868
0.38509,1.9822e-06,0.027097
0.40484,2.4421e-06,0.023933
0.42559,2.8567e-06,0.022197
0.44742,3.328e-06,0.020216
0.47035,3.4786e-06,0.019506
0.49447,3.443e-06,0.019577
0.51982,3.7693e-06,0.018271
0.54647,4.1629e-06,0.017545
0.57449,5.7565e-06,0.014445
0.60395,6.6167e-06,0.013469
0.63491,5.8925e-06,0.014538
0.66747,5.6999e-06,0.014849
0.70169,5.1075e-06,0.015975
0.73766,4.5228e-06,0.017142
0.77548,4.7913e-06,0.01651
0.81524,5.3222e-06,0.015669
0.85704,5.7946e-06,0.015001
0.90098,6.2143e-06,0.014557
0.94718,5.9866e-06,0.015126
0.99574,5.5268e-06,0.015999
1.0468,5.779e-06,0.015677
1.1005,6.5477e-06,0.014706
1.1569,6.7035e-06,0.014663
1.2162,6.0744e-06,0.015715
1.2786,5.736e-06,0.0163
1.3441,5.6253e-06,0.016747
1.413,5.4702e-06,0.017267
1.4855,5.6388e-06,0.017306
1.5616,5.4018e-06,0.018039
1.6417,5.6931e-06,0.01753
1.7259,6.3268e-06,0.021895
1.8144,5.4751e-06,0.023251
1.9074,5.1592e-06,0.023834
2.0052,4.7833e-06,0.024563
2.108,4.788e-06,0.024244
2.2161,4.7074e-06,0.02442
2.3297,4.2691e-06,0.02559
2.4491,4.0824e-06,0.025984
2.5747,4.2382e-06,0.025183
2.7067,3.8779e-06,0.027068
2.8455,3.5645e-06,0.028067
2.9914,3.3948e-06,0.028911
3.1447,3.2119e-06,0.030731
3.306,3.0086e-06,0.032734
3.4755,2.842e-06,0.033971
3.6537,2.7538e-06,0.035055
3.841,2.6669e-06,0.036526
4.0379,2.467e-06,0.038533
4.245,2.4986e-06,0.038252
4.4626,2.4279e-06,0.038889
4.6914,2.2042e-06,0.040932
4.9319,1.8779e-06,0.044291
5.1848,2.0677e-06,0.040981
5.4506,1.9265e-06,0.043186
5.7301,1.9252e-06,0.043713
6.0239,1.848e-06,0.04536
6.3327,1.6317e-06,0.051247
6.6574,1.36e-06,0.062092
6.9988,1.514e-06,0.058833
7.3576,1.3073e-06,0.069304
7.7348,1.4764e-06,0.067133
8.1314,1.2737e-06,0.076444
8.5483,1.2077e-06,0.084049
8.9866,1.334e-06,0.076734
9.4473,1.4219e-06,0.079247
9.9317,1.5986e-06,0.071368
10.441,1.5276e-06,0.075889
10.976,1.0945e-06,0.097616
11.539,1.1797e-06,0.089017
12.131,1.2331e-06,0.081886
12.753,1.4407e-06,0.067515
13.406,3.89e-06,0.035039
14.094,9.5196e-06,0.020647
14.816,1.4651e-05,0.016453
15.576,6.797e-06,0.023723
16.375,5.0016e-07,0.092978
17.214,1.7643e-07,0.15767
18.097,6.0653e-08,0.37019
19.025,1.0006e-08,1.8452
20.0,2.6303e-08,0.62847
