Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,-3.8709e-09,0.0
0.03161,-5.4636e-08,0.0
0.033231,-4.2403e-07,0.49254
0.034935,-8.0141e-08,3.8283
0.036726,8.59e-08,3.1005
0.038609,-1.0264e-07,2.2192
0.040589,3.7088e-07,0.59914
0.04267,-2.8309e-07,0.73654
0.044857,4.6775e-07,0.37394
0.047157,1.7239e-07,1.0198
0.049575,2.4737e-07,0.61284
0.052117,4.8668e-07,0.28821
0.054789,2.3309e-07,0.51278
0.057598,3.3842e-07,0.31638
0.060551,4.2813e-08,2.1886
0.063656,2.2052e-07,0.38618
0.066919,2.4285e-07,0.31574
0.07035,3.0558e-07,0.23292
0.073957,3.2321e-07,0.20608
0.077749,2.3576e-07,0.26972
0.081735,4.8139e-07,0.12559
0.085926,4.2224e-07,0.14031
0.090332,1.5947e-07,0.32019
0.094963,2.5612e-07,0.19136
0.099832,3.3286e-07,0.14619
0.10495,2.912e-07,0.15479
0.11033,4.0872e-07,0.10925
0.11599,4.2172e-07,0.10221
0.12193,5.9206e-07,0.071666
0.12819,6.7512e-07,0.066089
0.13476,6.4882e-07,0.068661
0.14167,8.4099e-07,0.054258
0.14893,4.4885e-07,0.087953
0.15657,5.379e-07,0.068431
0.16459,7.0284e-07,0.056673
0.17303,9.6076e-07,0.044917
0.18191,9.0585e-07,0.04629
0.19123,1.2594e-06,0.036127
0.20104,6.147e-07,0.060562
0.21134,9.2181e-07,0.044147
0.22218,1.1329e-06,0.038418
0.23357,1.112e-06,0.038263
0.24555,1.1959e-06,0.036983
0.25814,1.2701e-06,0.035589
0.27137,1.3892e-06,0.03268
0.28528,1.6454e-06,0.030045
0.29991,1.4384e-06,0.032515
0.31529,1.9854e-06,0.026899
0.33145,2.0707e-06,0.026437
0.34845,1.85e-06,0.028214
0.36631,2.7376e-06,0.022114
0.38509,2.6072e-06,0.023177
0.40484,2.3751e-06,0.024486
0.42559,2.172e-06,0.026023
0.44742,2.4005e-06,0.024729
0.47035,2.6369e-06,0.02305
0.49447,3.1054e-06,0.020747
0.51982,3.0496e-06,0.020834
0.54647,3.1153e-06,0.020496
0.57449,3.2915e-06,0.019839
0.60395,3.6902e-06,0.018624
0.63491,4.6256e-06,0.016703
0.66747,4.9394e-06,0.016309
0.70169,4.6637e-06,0.016885
0.73766,5.0148e-06,0.016029
0.77548,4.4381e-06,0.017334
0.81524,4.4176e-06,0.017364
0.85704,4.6938e-06,0.016868
0.90098,4.8393e-06,0.016692
0.94718,4.984e-06,0.016766
0.99574,5.3882e-06,0.016281
1.0468,4.8104e-06,0.017441
1.1005,4.8846e-06,0.017354
1.1569,5.2973e-06,0.016566
1.2162,5.7012e-06,0.016022
1.2786,5.635e-06,0.01632
1.3441,5.3889e-06,0.017039
1.413,5.1958e-06,0.017633
1.4855,5.1899e-06,0.017837
1.5616,5.2268e-06,0.017821
1.6417,4.9945e-06,0.018624
1.7259,5.2867e-06,0.023965
1.8144,5.4033e-06,0.023285
1.9074,4.9489e-06,0.0239
2.0052,4.8036e-06,0.023987
2.108,5.0585e-06,0.022772
2.2161,4.7023e-06,0.023755
2.3297,4.7599e-06,0.023484
2.4491,4.6791e-06,0.02353
2.5747,4.354e-06,0.024371
2.7067,4.2046e-06,0.025034
2.8455,4.055e-06,0.025158
2.9914,3.9796e-06,0.025839
3.1447,4.0493e-06,0.025691
3.306,3.5853e-06,0.02821
3.4755,3.4483e-06,0.029584
3.6537,3.2755e-06,0.030077
3.841,2.9191e-06,0.032334
4.0379,2.8184e-06,0.033444
4.245,2.7917e-06,0.035049
4.4626,2.6374e-06,0.035215
4.6914,2.4913e-06,0.036527
4.9319,2.4936e-06,0.036465
5.1848,2.3304e-06,0.03871
5.4506,2.2182e-06,0.039919
5.7301,2.2021e-06,0.041298
6.0239,1.9562e-06,0.045876
6.3327,1.9361e-06,0.046057
6.6574,1.8108e-06,0.051207
6.9988,1.7736e-06,0.053264
7.3576,1.9208e-06,0.050734
7.7348,1.5918e-06,0.063149
8.1314,1.4997e-06,0.070628
8.5483,1.4165e-06,0.07737
8.9866,1.4551e-06,0.075775
9.4473,1.6688e-06,0.069749
9.9317,1.6043e-06,0.075989
10.441,2.1899e-06,0.061245
10.976,1.8036e-06,0.072173
11.539,1.7219e-06,0.076472
12.131,2.1744e-06,0.061235
12.753,2.2294e-06,0.056054
13.406,2.8486e-06,0.044083
14.094,1.0571e-05,0.019851
14.816,8.0926e-05,0.0069337
15.576,0.00010906,0.0058573
16.375,1.411e-05,0.016037
17.214,2.8648e-06,0.035487
18.097,5.2954e-07,0.082399
19.025,6.7125e-08,0.30645
20.0,1.7558e-08,0.75093
