Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,-3.7317e-08,0.0
0.03161,-2.5557e-06,0.0
0.033231,-1.4901e-06,0.16709
0.034935,-2.231e-07,1.9023
0.036726,-5.4704e-07,0.70528
0.038609,-5.979e-07,0.55584
0.040589,2.3005e-07,1.3951
0.04267,9.1611e-08,2.8895
0.044857,5.0027e-07,0.54764
0.047157,-1.7143e-07,1.4471
0.049575,-1.0764e-07,2.1362
0.052117,1.4496e-07,1.4078
0.054789,-2.5854e-07,0.68252
0.057598,3.4882e-07,0.45994
0.060551,2.8156e-07,0.50287
0.063656,2.8636e-07,0.45692
0.066919,4.3548e-07,0.27226
0.07035,6.1631e-07,0.18248
0.073957,2.5192e-07,0.38373
0.077749,3.9642e-07,0.22068
0.081735,1.0223e-06,0.095757
0.085926,3.7358e-07,0.22671
0.090332,2.3321e-07,0.31843
0.094963,4.8651e-07,0.16717
0.099832,4.8551e-07,0.16014
0.10495,9.0695e-07,0.092384
0.11033,9.101e-07,0.085771
0.11599,1.205e-06,0.069897
0.12193,1.3788e-06,0.062566
0.12819,1.6967e-06,0.05335
0.13476,1.9671e-06,0.047835
0.14167,1.2504e-06,0.065984
0.14893,8.3785e-07,0.080047
0.15657,1.29e-06,0.058659
0.16459,1.9481e-06,0.044867
0.17303,1.6245e-06,0.049245
0.18191,2.7286e-06,0.036039
0.19123,1.5502e-06,0.049988
0.20104,1.1774e-06,0.058546
0.21134,1.9137e-06,0.043068
0.22218,2.364e-06,0.037967
0.23357,2.4486e-06,0.038553
0.24555,2.6061e-06,0.035703
0.25814,3.2783e-06,0.03118
0.27137,4.3814e-06,0.026816
0.28528,2.8865e-06,0.033992
0.29991,4.8089e-06,0.025112
0.31529,5.3632e-06,0.024152
0.33145,3.7168e-06,0.029924
0.34845,5.929e-06,0.022588
0.36631,5.4397e-06,0.024243
0.38509,5.3438e-06,0.024626
0.40484,3.9152e-06,0.02936
0.42559,4.0204e-06,0.028821
0.44742,4.8369e-06,0.026376
0.47035,6.4051e-06,0.022579
0.49447,6.9529e-06,0.021411
0.51982,6.7186e-06,0.021526
0.54647,7.5684e-06,0.020146
0.57449,7.8965e-06,0.019696
0.60395,1.0819e-05,0.016693
0.63491,1.2794e-05,0.015462
0.66747,1.1811e-05,0.016274
0.70169,1.1795e-05,0.016264
0.73766,9.9085e-06,0.017953
0.77548,8.7079e-06,0.019235
0.81524,9.987e-06,0.017906
0.85704,1.1394e-05,0.016783
0.90098,1.2852e-05,0.015858
0.94718,1.5787e-05,0.014395
0.99574,1.3194e-05,0.016011
1.0468,1.2738e-05,0.016321
1.1005,1.3549e-05,0.015934
1.1569,1.513e-05,0.015046
1.2162,1.5844e-05,0.014727
1.2786,1.3871e-05,0.015987
1.3441,1.3137e-05,0.01651
1.413,1.45e-05,0.015764
1.4855,1.3116e-05,0.016728
1.5616,1.2973e-05,0.0169
1.6417,1.2966e-05,0.017003
1.7259,1.3958e-05,0.023217
1.8144,1.3802e-05,0.02285
1.9074,1.2846e-05,0.023115
2.0052,1.1975e-05,0.023692
2.108,1.2485e-05,0.022951
2.2161,1.2492e-05,0.022786
2.3297,1.1702e-05,0.023451
2.4491,1.0568e-05,0.024376
2.5747,1.0243e-05,0.024926
2.7067,1.0939e-05,0.024065
2.8455,1.0257e-05,0.024993
2.9914,1.0305e-05,0.025009
3.1447,1.0128e-05,0.025734
3.306,9.6133e-06,0.02648
3.4755,9.5677e-06,0.026919
3.6537,8.8266e-06,0.02831
3.841,8.4038e-06,0.02903
4.0379,7.5563e-06,0.031242
4.245,7.1115e-06,0.032896
4.4626,7.3338e-06,0.032203
4.6914,7.4124e-06,0.032164
4.9319,6.6692e-06,0.034493
5.1848,6.121e-06,0.036966
5.4506,6.1705e-06,0.036518
5.7301,6.0173e-06,0.037385
6.0239,5.6675e-06,0.039111
6.3327,5.6831e-06,0.039987
6.6574,5.3594e-06,0.041839
6.9988,5.5305e-06,0.042361
7.3576,5.4856e-06,0.043513
7.7348,6.0269e-06,0.042185
8.1314,5.2782e-06,0.047828
8.5483,5.5461e-06,0.048136
8.9866,5.6405e-06,0.049386
9.4473,6.4187e-06,0.046906
9.9317,6.7125e-06,0.046293
10.441,8.4312e-06,0.040707
10.976,8.7189e-06,0.041534
11.539,1.1389e-05,0.034641
12.131,1.8663e-05,0.025895
12.753,2.8119e-05,0.020579
13.406,4.8284e-05,0.015305
14.094,0.00037468,0.0053124
14.816,0.0042092,0.0015694
15.576,0.0021446,0.0021599
16.375,0.0003254,0.005445
17.214,0.00013669,0.0082591
18.097,4.5435e-05,0.014076
19.025,9.9665e-06,0.029589
20.0,1.6932e-06,0.070641
