Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,0.0,1.0
0.03161,1.3369e-07,0.0
0.033231,2.4292e-08,6.0702
0.034935,3.2901e-07,0.94645
0.036726,1.6741e-07,1.6417
0.038609,-5.4673e-08,4.4329
0.040589,5.6286e-09,39.355
0.04267,4.8866e-08,4.2222
0.044857,2.8099e-07,0.72097
0.047157,1.1918e-07,1.5345
0.049575,2.5469e-07,0.64547
0.052117,3.9048e-07,0.3695
0.054789,2.1855e-07,0.56284
0.057598,2.359e-07,0.464
0.060551,2.4329e-07,0.39933
0.063656,2.4033e-07,0.35635
0.066919,2.0481e-07,0.39516
0.07035,3.4751e-07,0.21594
0.073957,2.8538e-07,0.25015
0.077749,2.872e-07,0.22387
0.081735,4.1411e-07,0.15235
0.085926,5.054e-07,0.11889
0.090332,2.6768e-07,0.19717
0.094963,3.1874e-07,0.15734
0.099832,2.7751e-07,0.17298
0.10495,4.154e-07,0.11565
0.11033,4.6049e-07,0.10269
0.11599,4.7915e-07,0.094752
0.12193,6.8475e-07,0.066385
0.12819,6.287e-07,0.071813
0.13476,7.6614e-07,0.059912
0.14167,9.7553e-07,0.04948
0.14893,5.5657e-07,0.074176
0.15657,5.8948e-07,0.068488
0.16459,8.0037e-07,0.052778
0.17303,9.7966e-07,0.045476
0.18191,1.0236e-06,0.042928
0.19123,1.2911e-06,0.036443
0.20104,7.4694e-07,0.051391
0.21134,9.7781e-07,0.04294
0.22218,1.2566e-06,0.035617
0.23357,1.1718e-06,0.038235
0.24555,1.2275e-06,0.036308
0.25814,1.2891e-06,0.035256
0.27137,1.5175e-06,0.031763
0.28528,1.8123e-06,0.027966
0.29991,1.4849e-06,0.033261
0.31529,2.3673e-06,0.024201
0.33145,2.156e-06,0.026038
0.34845,2.021e-06,0.026804
0.36631,3.0132e-06,0.021246
0.38509,2.7751e-06,0.02248
0.40484,2.5512e-06,0.023887
0.42559,2.2555e-06,0.026168
0.44742,2.384e-06,0.025111
0.47035,2.7861e-06,0.022566
0.49447,3.2602e-06,0.0205
0.51982,3.1135e-06,0.020803
0.54647,3.2873e-06,0.020218
0.57449,3.6524e-06,0.018984
0.60395,3.9932e-06,0.017843
0.63491,5.1365e-06,0.015819
0.66747,5.5656e-06,0.015232
0.70169,4.9331e-06,0.016362
0.73766,5.3539e-06,0.015601
0.77548,4.6074e-06,0.016985
0.81524,4.388e-06,0.017781
0.85704,4.807e-06,0.016786
0.90098,4.874e-06,0.017074
0.94718,5.4817e-06,0.015923
0.99574,5.6627e-06,0.015852
1.0468,5.1459e-06,0.0169
1.1005,5.1724e-06,0.017068
1.1569,5.6518e-06,0.016213
1.2162,5.9639e-06,0.01589
1.2786,6.0668e-06,0.015823
1.3441,5.5528e-06,0.016974
1.413,5.4727e-06,0.017385
1.4855,5.6112e-06,0.017172
1.5616,5.4382e-06,0.017782
1.6417,5.3614e-06,0.018282
1.7259,5.8021e-06,0.023177
1.8144,5.524e-06,0.023543
1.9074,5.4964e-06,0.022828
2.0052,4.9766e-06,0.023851
2.108,5.2439e-06,0.022939
2.2161,4.948e-06,0.023636
2.3297,4.8402e-06,0.0238
2.4491,4.3915e-06,0.024862
2.5747,4.399e-06,0.025164
2.7067,4.323e-06,0.025187
2.8455,4.0833e-06,0.026076
2.9914,3.8867e-06,0.026738
3.1447,3.6401e-06,0.027867
3.306,3.5683e-06,0.028646
3.4755,3.3632e-06,0.029626
3.6537,3.2276e-06,0.03011
3.841,3.0056e-06,0.031063
4.0379,2.7911e-06,0.032117
4.245,2.7816e-06,0.032895
4.4626,2.6243e-06,0.034367
4.6914,2.3509e-06,0.037254
4.9319,2.2578e-06,0.038452
5.1848,2.1654e-06,0.039334
5.4506,1.992e-06,0.042676
5.7301,2.0662e-06,0.042928
6.0239,2.0163e-06,0.043734
6.3327,1.841e-06,0.049819
6.6574,1.7018e-06,0.052474
6.9988,1.6348e-06,0.055644
7.3576,1.7152e-06,0.054805
7.7348,1.6306e-06,0.059356
8.1314,1.5793e-06,0.062774
8.5483,1.3875e-06,0.073233
8.9866,1.3227e-06,0.077827
9.4473,1.1663e-06,0.093927
9.9317,1.9203e-06,0.064632
10.441,2.1114e-06,0.060926
10.976,1.3268e-06,0.093568
11.539,1.3243e-06,0.088377
12.131,1.5999e-06,0.074561
12.753,1.605e-06,0.06971
13.406,2.835e-06,0.04361
14.094,8.2731e-06,0.022539
14.816,2.7794e-05,0.011962
15.576,2.028e-05,0.013728
16.375,1.272e-06,0.054238
17.214,6.33e-08,0.36416
18.097,7.7868e-09,2.1523
19.025,-3.1438e-08,0.59535
20.0,-2.7307e-08,0.56295
