Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,1.6582e-05,0.037897
0.030069,8.0432e-06,0.28925
0.03161,1.6647e-06,1.2167
0.033231,2.0444e-06,0.84492
0.034935,1.0569e-06,1.4851
0.036726,2.1493e-06,0.6425
0.038609,1.8005e-06,0.69107
0.040589,2.0187e-06,0.55741
0.04267,3.4353e-06,0.29692
0.044857,-6.4148e-07,1.5363
0.047157,1.9418e-08,45.075
0.049575,1.1942e-06,0.65693
0.052117,2.9982e-07,2.3206
0.054789,1.209e-06,0.49145
0.057598,-4.2398e-07,1.2477
0.060551,6.1576e-07,0.76448
0.063656,3.8541e-07,1.0842
0.066919,1.2058e-07,3.1106
0.07035,4.6053e-07,0.72201
0.073957,7.2031e-07,0.4245
0.077749,1.2448e-06,0.22359
0.081735,5.2798e-07,0.49448
0.085926,8.9305e-07,0.26967
0.090332,4.5176e-07,0.51235
0.094963,5.359e-07,0.40304
0.099832,6.3553e-07,0.31319
0.10495,4.1439e-07,0.46345
0.11033,5.8895e-07,0.30928
0.11599,7.7409e-07,0.21914
0.12193,7.2011e-07,0.23052
0.12819,8.6473e-07,0.17735
0.13476,9.3204e-07,0.16066
0.14167,1.1353e-06,0.12615
0.14893,9.337e-07,0.14711
0.15657,1.0746e-06,0.12376
0.16459,1.2372e-06,0.10369
0.17303,1.2635e-06,0.10088
0.18191,1.6764e-06,0.072819
0.19123,1.4454e-06,0.084473
0.20104,1.7272e-06,0.07021
0.21134,1.7104e-06,0.068349
0.22218,1.6048e-06,0.074088
0.23357,1.7017e-06,0.0682
0.24555,2.0681e-06,0.056392
0.25814,2.2468e-06,0.05185
0.27137,2.4203e-06,0.04717
0.28528,2.5969e-06,0.044695
0.29991,2.7069e-06,0.042604
0.31529,2.9683e-06,0.038662
0.33145,2.8833e-06,0.041044
0.34845,3.1013e-06,0.036703
0.36631,3.3121e-06,0.035168
0.38509,3.6403e-06,0.033292
0.40484,4.0339e-06,0.031057
0.42559,4.6332e-06,0.027298
0.44742,5.3331e-06,0.02429
0.47035,5.9096e-06,0.022543
0.49447,6.3658e-06,0.020907
0.51982,5.9774e-06,0.021951
0.54647,6.0028e-06,0.021058
0.57449,6.3128e-06,0.02034
0.60395,6.358e-06,0.019992
0.63491,6.5393e-06,0.019946
0.66747,6.972e-06,0.019053
0.70169,7.0171e-06,0.01908
0.73766,7.048e-06,0.01891
0.77548,7.4097e-06,0.018081
0.81524,6.8593e-06,0.019191
0.85704,6.9747e-06,0.019091
0.90098,7.6776e-06,0.018035
0.94718,7.5714e-06,0.018464
0.99574,7.9764e-06,0.017967
1.0468,7.9088e-06,0.017852
1.1005,8.3118e-06,0.017552
1.1569,8.2023e-06,0.017774
1.2162,8.5127e-06,0.017231
1.2786,8.4633e-06,0.017127
1.3441,8.1445e-06,0.018018
1.413,8.3237e-06,0.017884
1.4855,8.325e-06,0.018183
1.5616,8.5513e-06,0.01777
1.6417,8.3601e-06,0.017812
1.7259,8.3626e-06,0.021942
1.8144,8.9344e-06,0.020376
1.9074,7.9743e-06,0.02133
2.0052,7.3059e-06,0.02203
2.108,6.4273e-06,0.023485
2.2161,5.8405e-06,0.024225
2.3297,5.5613e-06,0.025354
2.4491,4.9106e-06,0.025898
2.5747,4.3545e-06,0.027389
2.7067,3.8015e-06,0.029789
2.8455,3.3297e-06,0.032073
2.9914,3.0254e-06,0.034052
3.1447,2.5952e-06,0.037128
3.306,2.2593e-06,0.040991
3.4755,2.0075e-06,0.043852
3.6537,1.8987e-06,0.046917
3.841,1.4649e-06,0.056708
4.0379,1.378e-06,0.054629
4.245,1.2737e-06,0.062217
4.4626,1.0803e-06,0.067331
4.6914,1.0058e-06,0.069799
4.9319,8.3504e-07,0.086036
5.1848,7.7787e-07,0.09165
5.4506,6.4814e-07,0.11004
5.7301,7.9296e-07,0.083444
6.0239,7.0496e-07,0.10147
6.3327,6.6547e-07,0.10143
6.6574,7.3448e-07,0.10366
6.9988,6.3851e-07,0.12968
7.3576,7.3981e-07,0.10861
7.7348,6.2514e-07,0.14388
8.1314,7.9236e-07,0.11345
8.5483,9.1579e-07,0.098989
8.9866,1.0242e-06,0.10068
9.4473,9.9931e-07,0.10859
9.9317,1.2665e-06,0.088107
10.441,1.8801e-06,0.062883
10.976,1.3744e-06,0.086006
11.539,1.5785e-06,0.08046
12.131,2.5667e-06,0.05475
12.753,2.8247e-06,0.049208
13.406,4.707e-06,0.035878
14.094,2.5142e-05,0.01464
14.816,0.0001562,0.0057618
15.576,5.2442e-05,0.0097835
16.375,3.7575e-07,0.13366
17.214,-3.5405e-08,0.94034
18.097,-2.4002e-08,1.1646
19.025,9.1142e-09,2.3946
20.0,3.9372e-08,0.49847
