Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,2.8298e-06,0.047973
0.03161,4.5974e-07,3.5822
0.033231,2.154e-06,0.71499
0.034935,3.3171e-08,40.574
0.036726,7.0977e-07,1.6995
0.038609,1.6773e-06,0.62598
0.040589,5.5738e-07,1.7261
0.04267,4.4644e-07,2.0067
0.044857,2.1617e-06,0.37975
0.047157,-1.4692e-07,5.2275
0.049575,1.3258e-06,0.51479
0.052117,1.3494e-06,0.43578
0.054789,9.1788e-07,0.56004
0.057598,-3.1668e-07,1.4371
0.060551,1.4669e-07,2.7244
0.063656,4.3477e-07,0.81943
0.066919,3.8599e-07,0.80682
0.07035,5.5195e-07,0.52019
0.073957,7.5598e-07,0.34147
0.077749,8.7078e-07,0.2743
0.081735,2.6231e-07,0.85228
0.085926,9.6793e-08,2.1797
0.090332,2.571e-07,0.75644
0.094963,2.0478e-07,0.88924
0.099832,3.5095e-07,0.48791
0.10495,2.7727e-07,0.58346
0.11033,3.6012e-07,0.42726
0.11599,3.113e-07,0.4663
0.12193,5.3396e-07,0.25884
0.12819,6.7167e-07,0.19809
0.13476,7.5907e-07,0.16554
0.14167,5.7658e-07,0.20781
0.14893,4.2643e-07,0.27322
0.15657,6.7771e-07,0.16602
0.16459,7.6766e-07,0.14119
0.17303,9.7093e-07,0.10813
0.18191,6.7694e-07,0.15164
0.19123,9.5334e-07,0.10576
0.20104,1.1067e-06,0.089197
0.21134,1.0913e-06,0.089377
0.22218,1.2319e-06,0.077488
0.23357,1.1081e-06,0.084831
0.24555,1.4288e-06,0.065972
0.25814,1.4218e-06,0.065047
0.27137,1.6977e-06,0.053829
0.28528,1.7096e-06,0.05401
0.29991,1.8259e-06,0.050001
0.31529,2.1143e-06,0.042569
0.33145,1.7534e-06,0.051897
0.34845,1.8084e-06,0.050738
0.36631,2.3115e-06,0.038863
0.38509,2.5921e-06,0.035941
0.40484,2.8915e-06,0.033361
0.42559,3.163e-06,0.030788
0.44742,3.6924e-06,0.026521
0.47035,4.255e-06,0.023311
0.49447,4.1777e-06,0.023602
0.51982,4.0419e-06,0.02347
0.54647,4.1403e-06,0.022612
0.57449,4.2293e-06,0.021991
0.60395,4.1157e-06,0.022628
0.63491,4.3395e-06,0.021949
0.66747,4.7307e-06,0.020151
0.70169,4.6748e-06,0.020442
0.73766,4.9101e-06,0.019644
0.77548,4.8234e-06,0.019983
0.81524,4.5955e-06,0.020635
0.85704,4.7898e-06,0.020024
0.90098,5.2591e-06,0.018505
0.94718,5.2196e-06,0.018756
0.99574,5.0688e-06,0.019765
1.0468,5.1905e-06,0.019139
1.1005,5.3059e-06,0.01899
1.1569,5.4333e-06,0.018602
1.2162,5.4978e-06,0.018807
1.2786,5.4901e-06,0.018458
1.3441,5.3782e-06,0.019213
1.413,5.3601e-06,0.019129
1.4855,5.2962e-06,0.019733
1.5616,5.2997e-06,0.020029
1.6417,4.862e-06,0.021677
1.7259,5.1685e-06,0.020791
1.8144,4.9692e-06,0.021083
1.9074,4.4769e-06,0.022102
2.0052,3.9802e-06,0.023362
2.108,3.813e-06,0.02377
2.2161,3.4131e-06,0.025116
2.3297,2.9956e-06,0.027742
2.4491,2.9146e-06,0.027458
2.5747,2.4596e-06,0.030839
2.7067,2.176e-06,0.032537
2.8455,1.7039e-06,0.038987
2.9914,1.4436e-06,0.046818
3.1447,1.3059e-06,0.04986
3.306,1.1243e-06,0.057222
3.4755,1.0418e-06,0.061502
3.6537,9.5255e-07,0.067491
3.841,6.4999e-07,0.10102
4.0379,7.0708e-07,0.09201
4.245,5.6808e-07,0.10871
4.4626,3.1794e-07,0.19216
4.6914,4.4365e-07,0.12498
4.9319,4.0354e-07,0.12915
5.1848,2.58e-07,0.19575
5.4506,2.9688e-07,0.1696
5.7301,2.1557e-07,0.24108
6.0239,2.7838e-07,0.18702
6.3327,2.4268e-07,0.23058
6.6574,3.0885e-07,0.20628
6.9988,2.4241e-07,0.28381
7.3576,3.0226e-07,0.2431
7.7348,2.8593e-07,0.28747
8.1314,2.6064e-07,0.32671
8.5483,2.4582e-07,0.37648
8.9866,1.3314e-07,0.75293
9.4473,4.4537e-07,0.22859
9.9317,3.4965e-07,0.30776
10.441,2.6161e-07,0.45222
10.976,3.931e-07,0.30249
11.539,1.4053e-07,0.88837
12.131,3.5503e-07,0.32702
12.753,2.9565e-07,0.36017
13.406,4.7328e-07,0.19505
14.094,1.2438e-06,0.07283
14.816,2.5236e-06,0.037334
15.576,1.1088e-06,0.055053
16.375,1.0328e-07,0.2607
17.214,-7.2873e-09,3.6179
18.097,4.1446e-08,0.46616
19.025,1.869e-08,0.99412
20.0,1.6022e-08,1.2603
