Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,9.6182e-08,0.0
0.030069,-3.8826e-08,43.651
0.03161,-1.5398e-06,1.2279
0.033231,-1.4725e-06,1.1342
0.034935,-1.8573e-07,7.9945
0.036726,-3.1356e-07,4.2287
0.038609,6.4079e-07,1.839
0.040589,1.1182e-06,0.95528
0.04267,9.3458e-07,1.029
0.044857,1.1728e-06,0.77418
0.047157,1.327e-06,0.63614
0.049575,-1.3825e-08,53.762
0.052117,-1.9791e-08,32.518
0.054789,3.8374e-07,1.467
0.057598,5.4566e-07,0.9162
0.060551,3.6533e-07,1.1932
0.063656,6.1912e-07,0.62721
0.066919,6.3957e-08,5.4563
0.07035,4.6994e-07,0.66786
0.073957,1.1763e-07,2.4544
0.077749,3.7668e-07,0.69609
0.081735,7.5406e-07,0.32283
0.085926,2.799e-07,0.8226
0.090332,3.2016e-07,0.67334
0.094963,7.4098e-07,0.26898
0.099832,6.3633e-07,0.29338
0.10495,5.586e-07,0.3209
0.11033,6.6098e-07,0.25312
0.11599,4.7961e-07,0.33237
0.12193,8.9899e-07,0.1671
0.12819,7.7352e-07,0.1848
0.13476,7.0368e-07,0.19553
0.14167,8.2653e-07,0.1597
0.14893,1.0034e-06,0.12585
0.15657,7.4537e-07,0.16639
0.16459,1.0379e-06,0.11429
0.17303,1.1736e-06,0.099218
0.18191,1.3324e-06,0.08442
0.19123,1.2777e-06,0.086776
0.20104,1.3467e-06,0.081217
0.21134,1.5024e-06,0.07174
0.22218,1.5687e-06,0.067655
0.23357,1.6484e-06,0.063438
0.24555,1.9261e-06,0.053886
0.25814,1.9426e-06,0.05342
0.27137,2.2328e-06,0.045319
0.28528,2.5474e-06,0.039729
0.29991,2.4334e-06,0.041831
0.31529,2.8159e-06,0.035834
0.33145,2.7451e-06,0.036746
0.34845,2.6832e-06,0.037491
0.36631,2.9204e-06,0.034615
0.38509,3.4653e-06,0.030144
0.40484,3.6993e-06,0.02894
0.42559,4.536e-06,0.023913
0.44742,5.1453e-06,0.021175
0.47035,5.6068e-06,0.019783
0.49447,6.2368e-06,0.017769
0.51982,5.7562e-06,0.018528
0.54647,5.6178e-06,0.01871
0.57449,5.7435e-06,0.018262
0.60395,6.0855e-06,0.017225
0.63491,6.2131e-06,0.017097
0.66747,6.2951e-06,0.017225
0.70169,6.4212e-06,0.016864
0.73766,6.4342e-06,0.016933
0.77548,6.615e-06,0.01628
0.81524,6.42e-06,0.016552
0.85704,6.6561e-06,0.016091
0.90098,7.24e-06,0.015302
0.94718,7.3135e-06,0.015357
0.99574,7.538e-06,0.014935
1.0468,7.4955e-06,0.015168
1.1005,7.6157e-06,0.015015
1.1569,7.5935e-06,0.014898
1.2162,7.8309e-06,0.01484
1.2786,7.3858e-06,0.015663
1.3441,7.7612e-06,0.014922
1.413,7.4713e-06,0.015538
1.4855,7.6661e-06,0.01529
1.5616,7.6252e-06,0.015504
1.6417,7.1765e-06,0.016487
1.7259,7.6345e-06,0.017253
1.8144,7.5818e-06,0.016605
1.9074,6.8388e-06,0.017217
2.0052,6.0774e-06,0.018183
2.108,5.7759e-06,0.018865
2.2161,5.0272e-06,0.020399
2.3297,4.6093e-06,0.02134
2.4491,4.3058e-06,0.021676
2.5747,3.7375e-06,0.023575
2.7067,3.2718e-06,0.025787
2.8455,2.8142e-06,0.027493
2.9914,2.4141e-06,0.029497
3.1447,2.0203e-06,0.033233
3.306,1.9446e-06,0.03425
3.4755,1.5594e-06,0.038549
3.6537,1.4706e-06,0.03988
3.841,1.1754e-06,0.047948
4.0379,1.0896e-06,0.050189
4.245,9.8137e-07,0.052363
4.4626,7.5892e-07,0.069447
4.6914,6.4913e-07,0.080497
4.9319,5.935e-07,0.083704
5.1848,6.0138e-07,0.081138
5.4506,5.3179e-07,0.093552
5.7301,4.6235e-07,0.11501
6.0239,4.816e-07,0.11804
6.3327,5.3145e-07,0.10519
6.6574,4.5821e-07,0.11992
6.9988,3.9991e-07,0.14321
7.3576,3.5759e-07,0.16375
7.7348,4.1581e-07,0.14479
8.1314,5.1316e-07,0.12075
8.5483,5.6736e-07,0.11301
8.9866,5.7689e-07,0.11695
9.4473,5.5385e-07,0.13024
9.9317,5.4153e-07,0.13511
10.441,7.7084e-07,0.098732
10.976,4.5671e-07,0.16179
11.539,4.6483e-07,0.15431
12.131,8.6579e-07,0.089039
12.753,3.8079e-07,0.17841
13.406,6.0596e-07,0.10362
14.094,4.2289e-06,0.027149
14.816,1.3789e-05,0.014331
15.576,3.9315e-06,0.02678
16.375,8.8015e-08,0.32752
17.214,2.6732e-08,0.80032
18.097,3.0614e-08,0.67716
19.025,-1.8333e-08,1.132
20.0,-1.3235e-08,1.396
