Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,-3.5673e-06,0.21716
0.030069,-1.2175e-06,1.6992
0.03161,-4.6366e-06,0.37953
0.033231,1.8396e-07,8.5571
0.034935,-6.4065e-07,2.2041
0.036726,1.3631e-07,9.0938
0.038609,-1.7439e-06,0.64648
0.040589,-1.9063e-07,5.3175
0.04267,-7.7315e-07,1.2092
0.044857,-8.6125e-08,10.063
0.047157,1.4173e-06,0.55901
0.049575,5.0118e-07,1.4104
0.052117,7.2034e-07,0.83489
0.054789,-2.9821e-07,1.8128
0.057598,7.3116e-07,0.63215
0.060551,-1.6068e-07,2.5908
0.063656,5.7088e-07,0.64565
0.066919,-9.178e-08,3.6861
0.07035,-2.1104e-07,1.4299
0.073957,1.0684e-07,2.5501
0.077749,3.1584e-07,0.80013
0.081735,6.3219e-07,0.36557
0.085926,3.7609e-07,0.587
0.090332,6.4313e-07,0.31891
0.094963,4.4917e-07,0.42735
0.099832,4.5855e-07,0.40492
0.10495,4.2938e-07,0.40439
0.11033,4.7923e-07,0.34377
0.11599,6.7903e-07,0.22862
0.12193,6.9547e-07,0.21272
0.12819,7.6904e-07,0.1839
0.13476,8.5953e-07,0.16165
0.14167,8.6001e-07,0.15234
0.14893,9.6258e-07,0.1309
0.15657,9.7426e-07,0.12604
0.16459,1.181e-06,0.10264
0.17303,1.2771e-06,0.091213
0.18191,1.2995e-06,0.089383
0.19123,1.3688e-06,0.082781
0.20104,1.769e-06,0.063015
0.21134,1.8661e-06,0.060677
0.22218,1.653e-06,0.067867
0.23357,2.1372e-06,0.051749
0.24555,2.0752e-06,0.053386
0.25814,2.3392e-06,0.047074
0.27137,2.5548e-06,0.042923
0.28528,2.6529e-06,0.042386
0.29991,3.0711e-06,0.037167
0.31529,3.3738e-06,0.033813
0.33145,3.441e-06,0.032638
0.34845,3.3094e-06,0.034615
0.36631,3.6163e-06,0.031893
0.38509,3.9388e-06,0.030662
0.40484,4.6431e-06,0.02692
0.42559,5.3512e-06,0.024222
0.44742,5.8528e-06,0.022704
0.47035,7.1191e-06,0.019737
0.49447,7.7663e-06,0.018211
0.51982,6.8493e-06,0.019502
0.54647,6.6218e-06,0.020072
0.57449,6.7843e-06,0.019474
0.60395,7.0897e-06,0.018844
0.63491,7.7193e-06,0.017901
0.66747,7.7988e-06,0.01786
0.70169,7.739e-06,0.018001
0.73766,7.9368e-06,0.017952
0.77548,8.0984e-06,0.017603
0.81524,7.5449e-06,0.018323
0.85704,8.3384e-06,0.017138
0.90098,9.3403e-06,0.016005
0.94718,9.2778e-06,0.01642
0.99574,9.2223e-06,0.01669
1.0468,9.5186e-06,0.016251
1.1005,9.9533e-06,0.015741
1.1569,9.7459e-06,0.015909
1.2162,9.8214e-06,0.015928
1.2786,9.6216e-06,0.016379
1.3441,9.8574e-06,0.016167
1.413,9.412e-06,0.016699
1.4855,9.59e-06,0.016862
1.5616,1.0059e-05,0.016227
1.6417,9.2964e-06,0.017166
1.7259,9.4602e-06,0.021794
1.8144,9.7554e-06,0.020872
1.9074,8.722e-06,0.021654
2.0052,8.1376e-06,0.022238
2.108,7.3334e-06,0.023316
2.2161,6.3489e-06,0.024986
2.3297,6.1057e-06,0.025258
2.4491,5.5249e-06,0.026586
2.5747,4.8275e-06,0.028733
2.7067,4.4604e-06,0.029449
2.8455,3.7548e-06,0.032024
2.9914,3.5831e-06,0.033422
3.1447,2.7186e-06,0.040483
3.306,2.7484e-06,0.039365
3.4755,2.2899e-06,0.045663
3.6537,2.0602e-06,0.049088
3.841,1.8693e-06,0.054156
4.0379,1.547e-06,0.058365
4.245,1.5637e-06,0.05746
4.4626,1.3711e-06,0.062051
4.6914,1.2186e-06,0.067312
4.9319,1.1272e-06,0.069559
5.1848,1.0298e-06,0.083242
5.4506,9.5861e-07,0.082598
5.7301,1.1496e-06,0.071168
6.0239,1.0263e-06,0.078415
6.3327,9.1229e-07,0.088412
6.6574,1.1244e-06,0.081148
6.9988,1.046e-06,0.090365
7.3576,1.2289e-06,0.079764
7.7348,1.2998e-06,0.084317
8.1314,1.267e-06,0.087841
8.5483,1.1567e-06,0.099522
8.9866,1.8519e-06,0.067844
9.4473,2.1757e-06,0.062413
9.9317,2.1512e-06,0.06502
10.441,2.741e-06,0.054372
10.976,2.406e-06,0.064184
11.539,2.5839e-06,0.058446
12.131,4.8673e-06,0.039111
12.753,5.2698e-06,0.037114
13.406,9.6853e-06,0.026293
14.094,8.415e-05,0.0085073
14.816,0.00067051,0.0029827
15.576,0.00022117,0.0051024
16.375,5.5643e-06,0.032335
17.214,1.2826e-06,0.067124
18.097,3.6217e-07,0.14399
19.025,1.2169e-07,0.28897
20.0,5.8606e-09,5.2937
