Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,-1.3802e-06,0.0
0.03161,-9.6348e-07,0.20432
0.033231,3.6636e-07,0.89513
0.034935,-4.1035e-07,0.70921
0.036726,3.1189e-07,0.79371
0.038609,2.0893e-07,1.111
0.040589,7.7403e-08,2.7138
0.04267,7.302e-08,2.6223
0.044857,-4.2107e-08,4.2926
0.047157,-1.5014e-07,1.0936
0.049575,2.7705e-07,0.53513
0.052117,2.8551e-08,4.6079
0.054789,6.938e-08,1.6326
0.057598,1.6562e-07,0.59645
0.060551,9.5523e-08,0.94057
0.063656,1.0566e-07,0.74959
0.066919,5.1416e-08,1.4067
0.07035,1.2495e-07,0.52521
0.073957,2.4384e-07,0.2462
0.077749,6.9564e-08,0.80328
0.081735,1.4507e-07,0.35346
0.085926,-2.1728e-08,2.2957
0.090332,1.1698e-07,0.39739
0.094963,5.3474e-08,0.82229
0.099832,1.2231e-07,0.33662
0.10495,9.9829e-08,0.39184
0.11033,1.714e-07,0.20845
0.11599,1.8483e-07,0.19247
0.12193,1.5919e-07,0.21641
0.12819,1.3201e-07,0.25245
0.13476,1.5116e-07,0.21159
0.14167,1.6136e-07,0.19372
0.14893,1.7476e-07,0.17034
0.15657,1.98e-07,0.14704
0.16459,1.4042e-07,0.20232
0.17303,1.8211e-07,0.15359
0.18191,1.8204e-07,0.14788
0.19123,2.4612e-07,0.11154
0.20104,1.7731e-07,0.15382
0.21134,1.9115e-07,0.14396
0.22218,2.4172e-07,0.11152
0.23357,2.2021e-07,0.12354
0.24555,2.833e-07,0.097578
0.25814,2.1854e-07,0.12379
0.27137,2.3166e-07,0.11722
0.28528,3.0697e-07,0.089355
0.29991,3.3484e-07,0.083923
0.31529,2.9186e-07,0.098194
0.33145,3.9557e-07,0.070792
0.34845,3.4743e-07,0.083156
0.36631,2.8791e-07,0.097484
0.38509,2.9437e-07,0.10163
0.40484,3.0728e-07,0.097766
0.42559,3.7451e-07,0.082273
0.44742,4.8061e-07,0.06555
0.47035,4.9637e-07,0.064903
0.49447,5.2002e-07,0.062205
0.51982,5.5384e-07,0.058704
0.54647,6.007e-07,0.055529
0.57449,5.8733e-07,0.057188
0.60395,6.2254e-07,0.053643
0.63491,5.764e-07,0.058544
0.66747,6.1273e-07,0.05806
0.70169,6.9158e-07,0.051376
0.73766,7.6477e-07,0.048257
0.77548,8.2149e-07,0.045749
0.81524,8.9295e-07,0.044433
0.85704,9.4141e-07,0.043392
0.90098,8.443e-07,0.048304
0.94718,7.6214e-07,0.054446
0.99574,7.4692e-07,0.057312
1.0468,8.1902e-07,0.05339
1.1005,8.9875e-07,0.050918
1.1569,9.4215e-07,0.048338
1.2162,9.3166e-07,0.050892
1.2786,7.9723e-07,0.060893
1.3441,7.3094e-07,0.067432
1.413,8.7595e-07,0.05789
1.4855,8.7097e-07,0.06087
1.5616,8.2673e-07,0.066688
1.6417,8.5059e-07,0.066004
1.7259,9.0312e-07,0.06238
1.8144,9.9305e-07,0.05675
1.9074,9.2171e-07,0.059777
2.0052,8.7529e-07,0.061389
2.108,9.0326e-07,0.058447
2.2161,7.4452e-07,0.072556
2.3297,8.626e-07,0.061025
2.4491,9.7642e-07,0.054674
2.5747,8.3467e-07,0.063277
2.7067,7.7473e-07,0.065736
2.8455,7.7146e-07,0.065704
2.9914,7.0054e-07,0.070653
3.1447,6.8145e-07,0.075729
3.306,6.1056e-07,0.087516
3.4755,4.8573e-07,0.11078
3.6537,4.6535e-07,0.11573
3.841,6.0108e-07,0.093943
4.0379,6.6371e-07,0.088232
4.245,6.4682e-07,0.090271
4.4626,6.7129e-07,0.08456
4.6914,6.8478e-07,0.081313
4.9319,6.5613e-07,0.080031
5.1848,6.687e-07,0.078178
5.4506,5.8654e-07,0.086813
5.7301,6.5635e-07,0.077708
6.0239,6.4925e-07,0.084648
6.3327,7.0645e-07,0.084805
6.6574,7.5009e-07,0.084501
6.9988,7.8987e-07,0.088497
7.3576,8.1381e-07,0.093923
7.7348,8.5471e-07,0.09717
8.1314,6.757e-07,0.12808
8.5483,7.6846e-07,0.12035
8.9866,7.1873e-07,0.13609
9.4473,6.045e-07,0.17119
9.9317,6.4245e-07,0.16916
10.441,9.5649e-07,0.11946
10.976,1.1608e-06,0.10717
11.539,1.9376e-06,0.067407
12.131,3.4359e-06,0.040901
12.753,5.1296e-06,0.029284
13.406,5.9734e-06,0.025168
14.094,4.2948e-06,0.028393
14.816,2.0447e-06,0.041899
15.576,7.1058e-07,0.073306
16.375,1.383e-07,0.20038
17.214,5.7231e-08,0.36401
18.097,4.0667e-08,0.45166
19.025,-5.6706e-10,23.55
20.0,1.7224e-08,0.96841
