Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,-2.778e-06,0.0
0.030069,-1.7202e-06,0.11063
0.03161,4.5973e-07,0.70518
0.033231,1.256e-07,2.2707
0.034935,-1.5792e-07,1.579
0.036726,-1.4451e-07,1.5641
0.038609,2.639e-07,0.79676
0.040589,7.9621e-08,2.3851
0.04267,1.1284e-07,1.4944
0.044857,6.9123e-08,2.3053
0.047157,2.7533e-07,0.54425
0.049575,5.2933e-07,0.24894
0.052117,2.4153e-07,0.47984
0.054789,2.6161e-07,0.38586
0.057598,2.3638e-07,0.39263
0.060551,1.7412e-07,0.45667
0.063656,2.6632e-07,0.27416
0.066919,7.0066e-08,0.92237
0.07035,3.19e-07,0.19134
0.073957,1.7676e-07,0.31675
0.077749,2.5772e-07,0.19559
0.081735,2.4497e-07,0.19038
0.085926,2.7105e-07,0.17473
0.090332,3.6621e-07,0.11864
0.094963,3.269e-07,0.1244
0.099832,3.6637e-07,0.1076
0.10495,3.5263e-07,0.11057
0.11033,3.4977e-07,0.10655
0.11599,4.4191e-07,0.083562
0.12193,4.2352e-07,0.084405
0.12819,3.2997e-07,0.099953
0.13476,4.2074e-07,0.077368
0.14167,4.2834e-07,0.074565
0.14893,4.3025e-07,0.073774
0.15657,4.6069e-07,0.067965
0.16459,4.7762e-07,0.06525
0.17303,4.8843e-07,0.062054
0.18191,4.6985e-07,0.062798
0.19123,5.2049e-07,0.057521
0.20104,5.6767e-07,0.053109
0.21134,6.0215e-07,0.049082
0.22218,5.7032e-07,0.053359
0.23357,5.4956e-07,0.055222
0.24555,6.4852e-07,0.047405
0.25814,6.3384e-07,0.049276
0.27137,6.3105e-07,0.048504
0.28528,6.258e-07,0.049407
0.29991,6.5444e-07,0.047811
0.31529,6.362e-07,0.048545
0.33145,5.7488e-07,0.051276
0.34845,4.1579e-07,0.068918
0.36631,2.88e-07,0.093507
0.38509,2.7227e-07,0.099207
0.40484,3.7467e-07,0.075905
0.42559,5.6445e-07,0.057799
0.44742,7.9215e-07,0.043504
0.47035,1.1665e-06,0.033568
0.49447,1.3706e-06,0.029711
0.51982,1.5887e-06,0.026928
0.54647,1.8498e-06,0.024212
0.57449,2.0083e-06,0.022909
0.60395,2.1622e-06,0.02201
0.63491,2.3626e-06,0.020929
0.66747,2.5212e-06,0.020443
0.70169,2.5553e-06,0.020166
0.73766,2.633e-06,0.020134
0.77548,2.3883e-06,0.021538
0.81524,1.9622e-06,0.024579
0.85704,1.1984e-06,0.035215
0.90098,5.6973e-07,0.062932
0.94718,5.7087e-07,0.06584
0.99574,1.1647e-06,0.038426
1.0468,2.1442e-06,0.024668
1.1005,3.0037e-06,0.020192
1.1569,2.7859e-06,0.02112
1.2162,1.5517e-06,0.032115
1.2786,2.9985e-06,0.020515
1.3441,4.4445e-06,0.01608
1.413,5.1637e-06,0.014851
1.4855,5.4755e-06,0.014262
1.5616,5.7152e-06,0.014096
1.6417,6.8758e-06,0.012831
1.7259,5.2498e-06,0.020161
1.8144,7.0005e-06,0.016833
1.9074,8.9823e-06,0.01445
2.0052,1.0884e-05,0.012926
2.108,1.8137e-05,0.0098325
2.2161,2.01e-05,0.0092737
2.3297,1.2932e-05,0.011557
2.4491,1.229e-05,0.011802
2.5747,1.2751e-05,0.011525
2.7067,1.2462e-05,0.011623
2.8455,1.0499e-05,0.012771
2.9914,5.5795e-06,0.017976
3.1447,3.2402e-06,0.025091
3.306,3.203e-06,0.025402
3.4755,2.978e-06,0.026983
3.6537,4.6023e-06,0.021249
3.841,6.3861e-06,0.017389
4.0379,4.9841e-06,0.020186
4.245,7.1891e-06,0.016665
4.4626,8.5394e-06,0.015126
4.6914,7.6598e-06,0.016113
4.9319,7.8884e-06,0.015815
5.1848,6.793e-06,0.017617
5.4506,7.358e-06,0.016906
5.7301,7.7213e-06,0.016742
6.0239,6.9676e-06,0.01812
6.3327,6.1479e-06,0.019843
6.6574,5.8332e-06,0.020887
6.9988,5.5293e-06,0.022257
7.3576,6.3769e-06,0.020698
7.7348,7.4453e-06,0.019345
8.1314,8.7973e-06,0.01827
8.5483,7.3395e-06,0.020681
8.9866,5.4403e-06,0.025858
9.4473,4.9378e-06,0.02816
9.9317,5.7315e-06,0.025866
10.441,6.5205e-06,0.024211
10.976,8.3346e-06,0.020747
11.539,1.5543e-05,0.014357
12.131,1.8578e-05,0.012927
12.753,4.8748e-05,0.0078491
13.406,0.00071008,0.0020301
14.094,0.0027191,0.0010171
14.816,0.00063274,0.00209
15.576,6.0833e-05,0.0066273
16.375,1.4453e-05,0.013396
17.214,4.3626e-06,0.024122
18.097,7.4146e-07,0.058838
19.025,8.8372e-08,0.19325
20.0,1.0685e-08,0.90293
