Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,-3.2516e-07,0.0
0.030069,-2.8429e-07,0.28208
0.03161,-1.821e-08,13.874
0.033231,-2.3223e-07,0.98673
0.034935,1.8377e-07,1.0926
0.036726,-1.384e-07,1.3143
0.038609,1.0758e-07,1.4924
0.040589,7.3664e-08,1.968
0.04267,1.6548e-07,0.81703
0.044857,2.3527e-07,0.52508
0.047157,8.065e-08,1.4548
0.049575,2.5572e-07,0.40832
0.052117,1.4572e-07,0.6206
0.054789,7.1445e-08,1.1414
0.057598,1.2861e-07,0.56153
0.060551,2.6199e-07,0.23633
0.063656,1.4961e-07,0.38059
0.066919,1.8726e-07,0.2803
0.07035,1.6647e-07,0.28749
0.073957,1.8604e-07,0.23434
0.077749,1.6702e-07,0.24576
0.081735,2.1741e-07,0.17274
0.085926,2.6207e-07,0.13936
0.090332,1.3421e-07,0.25687
0.094963,1.6994e-07,0.19287
0.099832,2.2921e-07,0.13768
0.10495,1.9062e-07,0.15714
0.11033,2.1414e-07,0.13679
0.11599,2.3644e-07,0.12301
0.12193,1.7394e-07,0.15328
0.12819,2.6642e-07,0.098768
0.13476,2.6133e-07,0.097692
0.14167,2.887e-07,0.086291
0.14893,2.7947e-07,0.084593
0.15657,3.1923e-07,0.07416
0.16459,2.6029e-07,0.088391
0.17303,2.7991e-07,0.081751
0.18191,3.1032e-07,0.072155
0.19123,2.9607e-07,0.073178
0.20104,3.123e-07,0.070672
0.21134,3.3231e-07,0.06687
0.22218,3.268e-07,0.069152
0.23357,3.4351e-07,0.06429
0.24555,3.2416e-07,0.070223
0.25814,3.2721e-07,0.067532
0.27137,3.0711e-07,0.072549
0.28528,3.2214e-07,0.068
0.29991,3.033e-07,0.072661
0.31529,2.9162e-07,0.075245
0.33145,2.7973e-07,0.076626
0.34845,2.7782e-07,0.080271
0.36631,2.637e-07,0.084298
0.38509,2.2833e-07,0.098233
0.40484,2.7016e-07,0.083981
0.42559,3.9375e-07,0.062845
0.44742,5.9703e-07,0.044943
0.47035,7.0447e-07,0.04041
0.49447,7.8074e-07,0.037294
0.51982,8.5605e-07,0.034277
0.54647,8.3928e-07,0.03548
0.57449,9.5464e-07,0.032114
0.60395,9.1707e-07,0.033286
0.63491,1.0092e-06,0.031206
0.66747,9.8261e-07,0.032645
0.70169,9.7257e-07,0.03353
0.73766,9.3452e-07,0.034846
0.77548,8.7542e-07,0.036437
0.81524,6.7199e-07,0.0452
0.85704,4.8719e-07,0.060739
0.90098,3.9466e-07,0.073716
0.94718,3.636e-07,0.081837
0.99574,4.6633e-07,0.067888
1.0468,6.1737e-07,0.054548
1.1005,8.5904e-07,0.042678
1.1569,9.5782e-07,0.03853
1.2162,9.0636e-07,0.041009
1.2786,8.6319e-07,0.043498
1.3441,9.9241e-07,0.039933
1.413,1.1568e-06,0.035789
1.4855,1.1166e-06,0.037013
1.5616,1.0792e-06,0.04018
1.6417,1.2039e-06,0.036733
1.7259,1.4682e-06,0.038173
1.8144,1.2199e-06,0.041377
1.9074,1.3133e-06,0.037969
2.0052,1.6163e-06,0.032172
2.108,1.9258e-06,0.029543
2.2161,2.2622e-06,0.026424
2.3297,2.5914e-06,0.024218
2.4491,2.3133e-06,0.025608
2.5747,2.1854e-06,0.026541
2.7067,2.2263e-06,0.025988
2.8455,2.5163e-06,0.024114
2.9914,2.6273e-06,0.023729
3.1447,1.8972e-06,0.028769
3.306,1.5604e-06,0.03336
3.4755,1.4284e-06,0.035859
3.6537,1.419e-06,0.036414
3.841,1.5311e-06,0.035307
4.0379,1.5931e-06,0.034272
4.245,1.341e-06,0.040087
4.4626,1.8475e-06,0.032051
4.6914,2.2106e-06,0.028083
4.9319,2.1252e-06,0.02904
5.1848,1.8558e-06,0.031596
5.4506,2.1273e-06,0.030493
5.7301,2.0489e-06,0.030766
6.0239,1.5333e-06,0.038092
6.3327,1.1465e-06,0.048014
6.6574,9.6557e-07,0.055197
6.9988,1.2674e-06,0.04792
7.3576,2.2422e-06,0.032942
7.7348,2.6685e-06,0.031216
8.1314,3.7808e-06,0.025815
8.5483,4.2162e-06,0.024421
8.9866,2.2525e-06,0.037431
9.4473,6.3923e-07,0.10618
9.9317,5.2935e-07,0.13097
10.441,7.7294e-07,0.097135
10.976,9.7582e-07,0.081622
11.539,1.6381e-06,0.050485
12.131,2.4723e-06,0.03663
12.753,3.7145e-06,0.027231
13.406,9.9327e-06,0.015473
14.094,8.0004e-05,0.0052063
14.816,0.00022157,0.0030951
15.576,4.2832e-05,0.0069203
16.375,2.3229e-06,0.029579
17.214,5.2317e-07,0.062919
18.097,1.1962e-07,0.14239
19.025,-1.6088e-09,5.9541
20.0,5.2296e-09,1.3512
