Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,5.6792e-08,0.0
0.030069,9.0035e-08,0.093634
0.03161,1.9514e-07,1.0622
0.033231,-4.0185e-09,49.187
0.034935,4.9545e-08,3.7379
0.036726,2.2317e-07,0.68923
0.038609,2.0462e-07,0.68609
0.040589,-6.3073e-08,2.0166
0.04267,2.4604e-08,4.9608
0.044857,1.6257e-07,0.67374
0.047157,7.8081e-08,1.3133
0.049575,3.808e-07,0.24189
0.052117,2.3394e-07,0.34767
0.054789,3.5804e-07,0.19501
0.057598,3.0563e-07,0.20636
0.060551,2.149e-07,0.26215
0.063656,1.8957e-07,0.2726
0.066919,2.3486e-07,0.19829
0.07035,1.7511e-07,0.2378
0.073957,2.5221e-07,0.15024
0.077749,2.3885e-07,0.15389
0.081735,2.6451e-07,0.13033
0.085926,2.6464e-07,0.12518
0.090332,2.7365e-07,0.11432
0.094963,2.4856e-07,0.11953
0.099832,2.5137e-07,0.11096
0.10495,2.6638e-07,0.10113
0.11033,2.5414e-07,0.10189
0.11599,3.0709e-07,0.080782
0.12193,3.1058e-07,0.07846
0.12819,2.9442e-07,0.078285
0.13476,2.8964e-07,0.079394
0.14167,2.8873e-07,0.077146
0.14893,2.9328e-07,0.074229
0.15657,3.0062e-07,0.071944
0.16459,3.1486e-07,0.065359
0.17303,2.7451e-07,0.073435
0.18191,3.5411e-07,0.057133
0.19123,3.6264e-07,0.054801
0.20104,3.2531e-07,0.062299
0.21134,3.8242e-07,0.053365
0.22218,3.5531e-07,0.057765
0.23357,3.1743e-07,0.062513
0.24555,3.6553e-07,0.056722
0.25814,3.8056e-07,0.053572
0.27137,3.8241e-07,0.053407
0.28528,3.8624e-07,0.053155
0.29991,3.2358e-07,0.065102
0.31529,3.1657e-07,0.064002
0.33145,3.0035e-07,0.068356
0.34845,2.4544e-07,0.081468
0.36631,2.8526e-07,0.070072
0.38509,2.567e-07,0.07846
0.40484,2.8148e-07,0.073567
0.42559,4.2809e-07,0.054008
0.44742,5.7377e-07,0.042608
0.47035,7.2295e-07,0.036305
0.49447,8.4237e-07,0.031728
0.51982,8.9984e-07,0.029923
0.54647,9.7631e-07,0.028133
0.57449,9.8757e-07,0.028305
0.60395,1.0192e-06,0.028141
0.63491,1.0407e-06,0.028015
0.66747,1.0484e-06,0.028213
0.70169,1.0403e-06,0.029015
0.73766,1.0807e-06,0.028166
0.77548,9.8005e-07,0.030723
0.81524,7.9138e-07,0.036493
0.85704,5.4391e-07,0.050246
0.90098,4.4837e-07,0.060141
0.94718,4.2982e-07,0.062441
0.99574,4.8912e-07,0.057558
1.0468,6.592e-07,0.046677
1.1005,9.015e-07,0.03668
1.1569,9.9169e-07,0.034914
1.2162,9.3443e-07,0.036727
1.2786,8.9013e-07,0.039422
1.3441,1.0756e-06,0.034348
1.413,1.1799e-06,0.032801
1.4855,1.202e-06,0.032815
1.5616,1.1392e-06,0.035391
1.6417,1.338e-06,0.030799
1.7259,1.5274e-06,0.033204
1.8144,1.3002e-06,0.036165
1.9074,1.4713e-06,0.032347
2.0052,1.624e-06,0.031098
2.108,1.957e-06,0.026831
2.2161,2.4216e-06,0.02336
2.3297,2.8154e-06,0.021126
2.4491,2.519e-06,0.022111
2.5747,2.3994e-06,0.022459
2.7067,2.3795e-06,0.022101
2.8455,2.5461e-06,0.021375
2.9914,2.5802e-06,0.021351
3.1447,1.8643e-06,0.026786
3.306,1.5911e-06,0.02973
3.4755,1.4834e-06,0.031687
3.6537,1.4127e-06,0.032397
3.841,1.5164e-06,0.031238
4.0379,1.5825e-06,0.030203
4.245,1.3982e-06,0.033441
4.4626,1.6903e-06,0.029388
4.6914,2.1357e-06,0.025062
4.9319,1.9422e-06,0.026188
5.1848,2.0906e-06,0.026214
5.4506,2.3995e-06,0.024108
5.7301,1.9296e-06,0.028063
6.0239,1.4714e-06,0.034452
6.3327,1.0788e-06,0.042641
6.6574,1.1225e-06,0.043111
6.9988,1.7342e-06,0.033353
7.3576,2.6958e-06,0.02626
7.7348,3.4793e-06,0.022805
8.1314,4.2421e-06,0.020675
8.5483,3.7472e-06,0.022875
8.9866,1.7026e-06,0.0389
9.4473,6.0081e-07,0.094311
9.9317,4.8981e-07,0.11121
10.441,5.8397e-07,0.10163
10.976,8.4505e-07,0.074928
11.539,1.1611e-06,0.05688
12.131,1.9222e-06,0.037511
12.753,2.6824e-06,0.029688
13.406,6.0292e-06,0.018056
14.094,3.7609e-05,0.0067972
14.816,7.3854e-05,0.004795
15.576,1.6917e-05,0.0098597
16.375,3.3077e-06,0.021955
17.214,9.6598e-07,0.040228
18.097,3.0568e-07,0.072984
19.025,1.3587e-07,0.11023
20.0,3.12e-08,0.28297
