Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,1.8398e-09,0.0
0.030069,6.8147e-09,0.0
0.03161,3.0128e-07,0.60895
0.033231,-1.0167e-07,2.2264
0.034935,1.7945e-07,1.1281
0.036726,-5.5009e-08,3.2647
0.038609,3.7238e-07,0.43653
0.040589,-1.0963e-07,1.3826
0.04267,9.1441e-08,1.4658
0.044857,2.532e-07,0.50908
0.047157,4.111e-07,0.2753
0.049575,1.0639e-07,1.0322
0.052117,9.1053e-08,1.0547
0.054789,2.1541e-07,0.37361
0.057598,3.331e-08,2.1734
0.060551,1.0901e-07,0.61402
0.063656,1.9208e-07,0.31006
0.066919,1.7221e-07,0.30361
0.07035,3.063e-07,0.15236
0.073957,1.8174e-07,0.23987
0.077749,1.5076e-07,0.2753
0.081735,3.1938e-07,0.12425
0.085926,2.398e-07,0.15366
0.090332,2.7773e-07,0.12699
0.094963,2.4386e-07,0.13589
0.099832,2.3345e-07,0.13696
0.10495,2.7538e-07,0.11091
0.11033,2.6229e-07,0.10849
0.11599,2.6194e-07,0.10781
0.12193,2.6919e-07,0.1048
0.12819,2.8531e-07,0.093485
0.13476,3.2701e-07,0.07831
0.14167,2.2596e-07,0.10672
0.14893,3.1577e-07,0.075835
0.15657,3.3678e-07,0.07104
0.16459,2.9828e-07,0.077908
0.17303,3.2083e-07,0.071263
0.18191,2.8446e-07,0.077866
0.19123,3.2812e-07,0.070606
0.20104,3.1948e-07,0.069044
0.21134,3.6895e-07,0.060216
0.22218,3.6351e-07,0.062511
0.23357,3.5159e-07,0.063841
0.24555,3.8155e-07,0.059341
0.25814,3.8996e-07,0.05845
0.27137,3.7288e-07,0.060862
0.28528,3.2634e-07,0.068232
0.29991,3.2004e-07,0.069979
0.31529,3.9177e-07,0.056709
0.33145,2.8242e-07,0.0792
0.34845,2.7816e-07,0.080322
0.36631,2.3197e-07,0.091185
0.38509,1.9752e-07,0.11481
0.40484,2.9283e-07,0.0788
0.42559,3.8374e-07,0.064565
0.44742,6.0685e-07,0.043801
0.47035,7.7028e-07,0.037095
0.49447,8.255e-07,0.03505
0.51982,9.0249e-07,0.032398
0.54647,9.4552e-07,0.031635
0.57449,1.0277e-06,0.029831
0.60395,1.0368e-06,0.030125
0.63491,1.0474e-06,0.030519
0.66747,1.1148e-06,0.029696
0.70169,1.1008e-06,0.030179
0.73766,1.0551e-06,0.031297
0.77548,1.0026e-06,0.03182
0.81524,7.9195e-07,0.039213
0.85704,6.1313e-07,0.04915
0.90098,4.5261e-07,0.06645
0.94718,3.5974e-07,0.084375
0.99574,4.6496e-07,0.067962
1.0468,6.7366e-07,0.05184
1.1005,9.3783e-07,0.039314
1.1569,9.893e-07,0.038992
1.2162,9.3969e-07,0.041104
1.2786,8.6867e-07,0.044899
1.3441,1.0661e-06,0.03879
1.413,1.2089e-06,0.035729
1.4855,1.2471e-06,0.036162
1.5616,1.2457e-06,0.036621
1.6417,1.3238e-06,0.035395
1.7259,1.5722e-06,0.035947
1.8144,1.3053e-06,0.040359
1.9074,1.5465e-06,0.034872
2.0052,1.8854e-06,0.030222
2.108,2.3632e-06,0.025812
2.2161,3.1892e-06,0.021821
2.3297,3.2066e-06,0.021348
2.4491,2.7702e-06,0.023335
2.5747,2.6469e-06,0.024001
2.7067,2.6308e-06,0.023637
2.8455,2.5124e-06,0.024086
2.9914,2.3238e-06,0.024906
3.1447,1.8824e-06,0.028441
3.306,1.3664e-06,0.034783
3.4755,1.242e-06,0.037518
3.6537,1.1954e-06,0.037874
3.841,1.393e-06,0.033708
4.0379,1.4479e-06,0.03295
4.245,1.3306e-06,0.03527
4.4626,1.6207e-06,0.031957
4.6914,1.9313e-06,0.028889
4.9319,1.8985e-06,0.029091
5.1848,2.2432e-06,0.02674
5.4506,2.0848e-06,0.028091
5.7301,1.56e-06,0.034271
6.0239,1.2484e-06,0.041099
6.3327,1.286e-06,0.042815
6.6574,1.585e-06,0.037639
6.9988,2.2906e-06,0.030152
7.3576,3.0878e-06,0.025497
7.7348,3.3482e-06,0.024546
8.1314,3.3044e-06,0.025767
8.5483,2.1719e-06,0.034979
8.9866,9.0234e-07,0.071271
9.4473,4.0339e-07,0.14818
9.9317,4.372e-07,0.13759
10.441,5.7875e-07,0.11063
10.976,9.0148e-07,0.077407
11.539,1.2007e-06,0.059569
12.131,2.0107e-06,0.040565
12.753,5.0726e-06,0.021867
13.406,1.1537e-05,0.01349
14.094,1.5283e-05,0.011329
14.816,1.6849e-05,0.010607
15.576,3.5748e-06,0.022883
16.375,2.1586e-07,0.10445
17.214,3.3253e-08,0.34886
18.097,-1.4184e-08,0.65473
19.025,2.0824e-09,3.9915
20.0,-2.6018e-09,3.4
