Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,6.7519e-06,0.064232
0.030069,-1.7878e-06,0.49293
0.03161,-1.3482e-06,0.5929
0.033231,-1.2323e-06,0.58432
0.034935,-7.4497e-07,0.84602
0.036726,6.3292e-08,9.0724
0.038609,3.8395e-07,1.3289
0.040589,6.8096e-08,6.7281
0.04267,1.9441e-07,2.2092
0.044857,1.2381e-07,3.2673
0.047157,4.2953e-07,0.87963
0.049575,8.2457e-07,0.40968
0.052117,1.2059e-06,0.24046
0.054789,8.3277e-07,0.31834
0.057598,9.5807e-07,0.24275
0.060551,1.1576e-06,0.1774
0.063656,9.6263e-07,0.19518
0.066919,1.0467e-06,0.16246
0.07035,1.3825e-06,0.10957
0.073957,1.2553e-06,0.11515
0.077749,1.4492e-06,0.093761
0.081735,1.2769e-06,0.10092
0.085926,1.4402e-06,0.08356
0.090332,1.3772e-06,0.082692
0.094963,1.4094e-06,0.077255
0.099832,1.4747e-06,0.069863
0.10495,1.7328e-06,0.059109
0.11033,1.6632e-06,0.056803
0.11599,1.5522e-06,0.060129
0.12193,1.765e-06,0.051174
0.12819,1.6521e-06,0.053856
0.13476,1.762e-06,0.048765
0.14167,1.7413e-06,0.047488
0.14893,1.6459e-06,0.048209
0.15657,1.7665e-06,0.044071
0.16459,1.9396e-06,0.040168
0.17303,1.8231e-06,0.041523
0.18191,1.8371e-06,0.040691
0.19123,1.9274e-06,0.038578
0.20104,1.9528e-06,0.037811
0.21134,2.0435e-06,0.037045
0.22218,2.2293e-06,0.033127
0.23357,2.1118e-06,0.035321
0.24555,2.1479e-06,0.035165
0.25814,2.2285e-06,0.033458
0.27137,2.377e-06,0.032111
0.28528,2.5663e-06,0.029671
0.29991,2.6828e-06,0.029074
0.31529,2.7584e-06,0.028481
0.33145,2.7633e-06,0.02813
0.34845,2.8811e-06,0.028029
0.36631,2.815e-06,0.027809
0.38509,2.8809e-06,0.027343
0.40484,2.8999e-06,0.027251
0.42559,2.7168e-06,0.029073
0.44742,2.7588e-06,0.028618
0.47035,2.8614e-06,0.02776
0.49447,2.8754e-06,0.027546
0.51982,2.7028e-06,0.029069
0.54647,2.6718e-06,0.029293
0.57449,2.4182e-06,0.031553
0.60395,1.8504e-06,0.037382
0.63491,2.1492e-06,0.034912
0.66747,2.991e-06,0.027615
0.70169,3.0006e-06,0.028242
0.73766,3.255e-06,0.026345
0.77548,2.8738e-06,0.02898
0.81524,3.0137e-06,0.028119
0.85704,3.2968e-06,0.026251
0.90098,3.1359e-06,0.027344
0.94718,3.2778e-06,0.027205
0.99574,3.4008e-06,0.026667
1.0468,3.3734e-06,0.027535
1.1005,3.6691e-06,0.025812
1.1569,3.7811e-06,0.025346
1.2162,3.7948e-06,0.025449
1.2786,3.8717e-06,0.025454
1.3441,4.0617e-06,0.024943
1.413,4.1294e-06,0.025058
1.4855,4.1467e-06,0.025137
1.5616,4.3159e-06,0.024218
1.6417,4.3e-06,0.024716
1.7259,4.15e-06,0.031744
1.8144,4.1058e-06,0.031175
1.9074,4.0894e-06,0.029957
2.0052,3.8092e-06,0.030078
2.108,3.6647e-06,0.030468
2.2161,3.4553e-06,0.031833
2.3297,3.1578e-06,0.033232
2.4491,2.6623e-06,0.03761
2.5747,2.4154e-06,0.038454
2.7067,1.8455e-06,0.045781
2.8455,1.6604e-06,0.047211
2.9914,1.8421e-06,0.044721
3.1447,2.0109e-06,0.043082
3.306,2.0672e-06,0.044356
3.4755,2.2064e-06,0.041313
3.6537,2.4169e-06,0.039817
3.841,2.6312e-06,0.037591
4.0379,2.9192e-06,0.035315
4.245,2.6495e-06,0.037968
4.4626,2.7513e-06,0.036847
4.6914,2.5643e-06,0.040216
4.9319,2.7877e-06,0.037217
5.1848,2.7932e-06,0.038016
5.4506,2.8445e-06,0.036825
5.7301,2.7288e-06,0.038636
6.0239,2.8876e-06,0.03846
6.3327,3.2459e-06,0.03686
6.6574,3.304e-06,0.037444
6.9988,3.6201e-06,0.036249
7.3576,3.9093e-06,0.035524
7.7348,4.0101e-06,0.035736
8.1314,3.9921e-06,0.036621
8.5483,4.1282e-06,0.037099
8.9866,3.9703e-06,0.037927
9.4473,3.732e-06,0.040932
9.9317,4.1314e-06,0.039198
10.441,4.6891e-06,0.036579
10.976,5.8004e-06,0.032781
11.539,6.8029e-06,0.02981
12.131,9.9736e-06,0.023963
12.753,1.2769e-05,0.020784
13.406,1.7844e-05,0.017258
14.094,4.683e-05,0.010359
14.816,0.0001631,0.005476
15.576,0.00017456,0.0051938
16.375,2.2915e-05,0.014087
17.214,7.3972e-07,0.08059
18.097,7.2091e-08,0.34863
19.025,-3.2155e-10,46.75
20.0,4.8084e-09,3.7458
