Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,4.2113e-07,0.24987
0.030069,-2.6459e-06,0.17542
0.03161,-3.7408e-07,1.8692
0.033231,1.0419e-07,5.8957
0.034935,-2.3258e-07,2.3007
0.036726,9.6903e-07,0.50446
0.038609,3.4825e-07,1.2563
0.040589,4.4236e-07,0.88957
0.04267,1.1444e-06,0.33034
0.044857,2.5545e-07,1.371
0.047157,8.2397e-07,0.39071
0.049575,1.7377e-06,0.16685
0.052117,8.5606e-07,0.29572
0.054789,9.8922e-07,0.23222
0.057598,1.1273e-06,0.17828
0.060551,1.1502e-06,0.1551
0.063656,9.9544e-07,0.166
0.066919,1.1357e-06,0.12987
0.07035,1.2994e-06,0.099118
0.073957,1.155e-06,0.10877
0.077749,1.2059e-06,0.097175
0.081735,1.279e-06,0.086726
0.085926,1.0988e-06,0.093534
0.090332,1.2828e-06,0.07791
0.094963,1.4416e-06,0.064355
0.099832,1.2726e-06,0.07291
0.10495,1.2892e-06,0.06791
0.11033,1.4048e-06,0.060383
0.11599,1.2678e-06,0.063905
0.12193,1.2118e-06,0.06501
0.12819,1.3644e-06,0.055577
0.13476,1.4418e-06,0.051359
0.14167,1.4173e-06,0.050413
0.14893,1.581e-06,0.044014
0.15657,1.4929e-06,0.044869
0.16459,1.6587e-06,0.041548
0.17303,1.6744e-06,0.040825
0.18191,1.6233e-06,0.041577
0.19123,1.7107e-06,0.03912
0.20104,1.8812e-06,0.03627
0.21134,1.7866e-06,0.037325
0.22218,1.827e-06,0.036213
0.23357,1.8213e-06,0.036103
0.24555,1.8987e-06,0.034828
0.25814,2.136e-06,0.03124
0.27137,2.1145e-06,0.031867
0.28528,2.2217e-06,0.031145
0.29991,2.4249e-06,0.028773
0.31529,2.3947e-06,0.028992
0.33145,2.3807e-06,0.029356
0.34845,2.5462e-06,0.02801
0.36631,2.4616e-06,0.028552
0.38509,2.3622e-06,0.030036
0.40484,2.4648e-06,0.028583
0.42559,2.4532e-06,0.028037
0.44742,2.4712e-06,0.029003
0.47035,2.4832e-06,0.028728
0.49447,2.5223e-06,0.028574
0.51982,2.294e-06,0.030882
0.54647,2.3734e-06,0.029815
0.57449,2.2602e-06,0.030556
0.60395,1.623e-06,0.040938
0.63491,1.7656e-06,0.038338
0.66747,2.4899e-06,0.029516
0.70169,2.7669e-06,0.027731
0.73766,2.6964e-06,0.028637
0.77548,2.6136e-06,0.029243
0.81524,2.6058e-06,0.029611
0.85704,2.8736e-06,0.027218
0.90098,2.9305e-06,0.027056
0.94718,2.8275e-06,0.028735
0.99574,2.901e-06,0.029356
1.0468,3.0345e-06,0.028033
1.1005,3.1323e-06,0.027765
1.1569,3.2775e-06,0.026874
1.2162,3.1581e-06,0.027583
1.2786,3.4346e-06,0.026377
1.3441,3.5433e-06,0.026114
1.413,3.5986e-06,0.026622
1.4855,3.7146e-06,0.025792
1.5616,3.635e-06,0.027512
1.6417,3.6213e-06,0.027588
1.7259,3.6712e-06,0.03236
1.8144,3.6386e-06,0.032286
1.9074,3.5528e-06,0.032206
2.0052,3.4914e-06,0.031791
2.108,3.2191e-06,0.03388
2.2161,3.05e-06,0.033946
2.3297,2.7915e-06,0.03659
2.4491,2.3783e-06,0.040227
2.5747,1.971e-06,0.045509
2.7067,1.455e-06,0.054341
2.8455,1.2712e-06,0.061866
2.9914,1.4139e-06,0.055628
3.1447,1.5688e-06,0.050113
3.306,1.7245e-06,0.048103
3.4755,1.9446e-06,0.043357
3.6537,2.0365e-06,0.041009
3.841,1.8605e-06,0.044529
4.0379,2.0604e-06,0.041567
4.245,2.0293e-06,0.042786
4.4626,1.9371e-06,0.045121
4.6914,2.2231e-06,0.039208
4.9319,2.2237e-06,0.040257
5.1848,2.2607e-06,0.041229
5.4506,2.2893e-06,0.042206
5.7301,2.2455e-06,0.042758
6.0239,2.5233e-06,0.039794
6.3327,2.5171e-06,0.041207
6.6574,2.8181e-06,0.038459
6.9988,2.9471e-06,0.039557
7.3576,3.0557e-06,0.040135
7.7348,2.9934e-06,0.041527
8.1314,2.8665e-06,0.044528
8.5483,2.7977e-06,0.045446
8.9866,2.9138e-06,0.045123
9.4473,3.0283e-06,0.043392
9.9317,3.3135e-06,0.043059
10.441,4.082e-06,0.037353
10.976,4.9598e-06,0.034022
11.539,5.771e-06,0.0307
12.131,6.139e-06,0.029693
12.753,6.0593e-06,0.030049
13.406,1.0048e-05,0.022338
14.094,2.0105e-05,0.015187
14.816,2.5868e-05,0.013248
15.576,1.0906e-05,0.020032
16.375,9.8159e-07,0.067712
17.214,3.3813e-08,0.61671
18.097,-1.7052e-08,1.1174
19.025,1.2688e-08,1.4008
20.0,9.2827e-10,17.414
