Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,5.1304e-07,0.46237
0.030069,-2.9074e-06,0.29385
0.03161,-1.6158e-06,0.80397
0.033231,-4.8075e-06,0.24689
0.034935,-8.5508e-07,1.1936
0.036726,2.7952e-07,3.2054
0.038609,1.1562e-06,0.73081
0.040589,3.8777e-07,1.8864
0.04267,-5.9842e-07,1.1567
0.044857,9.3747e-07,0.67364
0.047157,1.9259e-07,3.2368
0.049575,6.3997e-07,0.83437
0.052117,1.4559e-07,3.1849
0.054789,3.5945e-07,1.1569
0.057598,1.7324e-07,2.0983
0.060551,8.5897e-07,0.38319
0.063656,1.1408e-06,0.25595
0.066919,8.3287e-07,0.32508
0.07035,4.5671e-07,0.54648
0.073957,6.9081e-07,0.33926
0.077749,5.493e-07,0.38896
0.081735,7.7284e-07,0.27309
0.085926,8.0954e-07,0.24178
0.090332,1.1405e-06,0.15983
0.094963,8.0965e-07,0.22555
0.099832,1.1765e-06,0.14801
0.10495,1.068e-06,0.15652
0.11033,1.4255e-06,0.1124
0.11599,1.2101e-06,0.12175
0.12193,1.4023e-06,0.10425
0.12819,1.4204e-06,0.097592
0.13476,1.4485e-06,0.10072
0.14167,1.3055e-06,0.10641
0.14893,1.2631e-06,0.10243
0.15657,1.5036e-06,0.087483
0.16459,1.4166e-06,0.088801
0.17303,1.6476e-06,0.076879
0.18191,1.8544e-06,0.070295
0.19123,1.7066e-06,0.073228
0.20104,1.9183e-06,0.065938
0.21134,1.8172e-06,0.070755
0.22218,2.1026e-06,0.061587
0.23357,1.9476e-06,0.067369
0.24555,2.1609e-06,0.060831
0.25814,2.1803e-06,0.06091
0.27137,2.6069e-06,0.050557
0.28528,2.488e-06,0.053707
0.29991,2.6663e-06,0.05092
0.31529,2.9667e-06,0.047174
0.33145,2.7402e-06,0.050665
0.34845,2.9075e-06,0.047626
0.36631,2.8398e-06,0.049868
0.38509,2.8945e-06,0.048402
0.40484,3.1129e-06,0.045802
0.42559,3.1436e-06,0.045774
0.44742,2.9597e-06,0.047593
0.47035,3.1572e-06,0.046513
0.49447,3.2109e-06,0.046798
0.51982,2.9844e-06,0.050871
0.54647,3.0205e-06,0.048788
0.57449,2.8457e-06,0.051176
0.60395,2.4954e-06,0.057244
0.63491,2.7882e-06,0.051385
0.66747,3.452e-06,0.04469
0.70169,3.4235e-06,0.046701
0.73766,3.2303e-06,0.049374
0.77548,3.3044e-06,0.048471
0.81524,3.4854e-06,0.046258
0.85704,3.7839e-06,0.044954
0.90098,3.7892e-06,0.043755
0.94718,3.7331e-06,0.044088
0.99574,3.8473e-06,0.04495
1.0468,3.894e-06,0.046276
1.1005,3.899e-06,0.045862
1.1569,3.8164e-06,0.047284
1.2162,4.2057e-06,0.043502
1.2786,4.3271e-06,0.044609
1.3441,4.1652e-06,0.046199
1.413,3.8943e-06,0.049843
1.4855,4.3126e-06,0.046473
1.5616,3.8883e-06,0.052726
1.6417,4.4939e-06,0.045575
1.7259,4.4079e-06,0.056308
1.8144,4.203e-06,0.054898
1.9074,4.7449e-06,0.050441
2.0052,4.2885e-06,0.053833
2.108,3.7599e-06,0.060122
2.2161,4.1515e-06,0.054765
2.3297,3.5089e-06,0.062856
2.4491,4.202e-06,0.053268
2.5747,3.9269e-06,0.053666
2.7067,3.0434e-06,0.067574
2.8455,3.1128e-06,0.06141
2.9914,2.592e-06,0.072801
3.1447,2.5318e-06,0.074997
3.306,3.3098e-06,0.06127
3.4755,2.8636e-06,0.066662
3.6537,2.5801e-06,0.07675
3.841,2.8499e-06,0.064293
4.0379,2.6662e-06,0.071621
4.245,2.7569e-06,0.075199
4.4626,3.0076e-06,0.063087
4.6914,2.6188e-06,0.074179
4.9319,2.9835e-06,0.062776
5.1848,2.65e-06,0.076967
5.4506,2.9946e-06,0.06803
5.7301,3.5064e-06,0.061577
6.0239,3.1924e-06,0.071457
6.3327,3.5524e-06,0.065147
6.6574,3.8261e-06,0.064036
6.9988,4.4448e-06,0.060492
7.3576,4.5794e-06,0.062848
7.7348,4.5162e-06,0.06381
8.1314,4.4947e-06,0.065132
8.5483,4.1993e-06,0.072538
8.9866,3.867e-06,0.078008
9.4473,3.999e-06,0.080418
9.9317,4.3363e-06,0.075729
10.441,4.8296e-06,0.0759
10.976,7.794e-06,0.053658
11.539,9.9816e-06,0.046905
12.131,1.0652e-05,0.043173
12.753,7.1408e-06,0.059534
13.406,1.3007e-05,0.039513
14.094,4.3453e-05,0.019092
14.816,7.3851e-05,0.014481
15.576,3.0752e-05,0.021947
16.375,1.7118e-06,0.093314
17.214,6.445e-08,0.78692
18.097,-4.5281e-08,1.1574
19.025,3.0402e-08,1.2619
20.0,5.4569e-10,66.907
