Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,-1.4717e-07,0.59876
0.03161,-1.2125e-06,0.69052
0.033231,1.4371e-06,0.56382
0.034935,1.9349e-06,0.35611
0.036726,2.7239e-07,2.3377
0.038609,9.121e-07,0.6069
0.040589,1.9247e-07,2.7817
0.04267,8.7581e-07,0.56656
0.044857,-1.3256e-07,3.5032
0.047157,1.2265e-06,0.3505
0.049575,1.0774e-06,0.35146
0.052117,8.4494e-07,0.39262
0.054789,1.2814e-06,0.22641
0.057598,7.8765e-07,0.33306
0.060551,9.3178e-07,0.25693
0.063656,5.9979e-07,0.35222
0.066919,9.6086e-07,0.20828
0.07035,8.5273e-07,0.21244
0.073957,9.0906e-07,0.17779
0.077749,7.621e-07,0.19741
0.081735,9.2305e-07,0.15736
0.085926,8.6588e-07,0.15822
0.090332,1.1357e-06,0.11022
0.094963,1.0491e-06,0.1167
0.099832,1.0994e-06,0.10456
0.10495,1.0479e-06,0.11197
0.11033,1.0563e-06,0.10224
0.11599,1.2032e-06,0.089167
0.12193,1.3211e-06,0.075681
0.12819,1.3836e-06,0.071539
0.13476,1.3121e-06,0.073455
0.14167,1.1411e-06,0.082888
0.14893,1.3386e-06,0.069411
0.15657,1.4266e-06,0.064436
0.16459,1.5408e-06,0.058047
0.17303,1.4362e-06,0.061948
0.18191,1.6935e-06,0.052794
0.19123,1.3951e-06,0.061546
0.20104,1.6228e-06,0.053316
0.21134,1.8364e-06,0.048339
0.22218,1.7814e-06,0.050211
0.23357,1.793e-06,0.049459
0.24555,2.04e-06,0.043832
0.25814,1.9031e-06,0.047104
0.27137,2.1911e-06,0.04192
0.28528,2.1013e-06,0.04356
0.29991,2.3072e-06,0.040087
0.31529,2.5018e-06,0.038016
0.33145,2.431e-06,0.038601
0.34845,2.5773e-06,0.036471
0.36631,2.6575e-06,0.035652
0.38509,2.7207e-06,0.036284
0.40484,2.7972e-06,0.035961
0.42559,2.8233e-06,0.035578
0.44742,2.6348e-06,0.037759
0.47035,2.7557e-06,0.037532
0.49447,2.9221e-06,0.034341
0.51982,2.9244e-06,0.035339
0.54647,2.6901e-06,0.03777
0.57449,2.4438e-06,0.04063
0.60395,2.1726e-06,0.041877
0.63491,2.2081e-06,0.044132
0.66747,2.9637e-06,0.036367
0.70169,3.1487e-06,0.0344
0.73766,2.87e-06,0.038422
0.77548,3.0195e-06,0.036096
0.81524,3.1616e-06,0.034588
0.85704,3.3229e-06,0.03487
0.90098,3.1369e-06,0.036423
0.94718,3.0973e-06,0.037706
0.99574,3.1202e-06,0.038475
1.0468,3.6214e-06,0.033849
1.1005,3.4409e-06,0.036246
1.1569,3.6064e-06,0.035409
1.2162,3.808e-06,0.033638
1.2786,3.9076e-06,0.033766
1.3441,3.9344e-06,0.035174
1.413,4.2381e-06,0.033633
1.4855,4.196e-06,0.034303
1.5616,4.4422e-06,0.033619
1.6417,4.6594e-06,0.032983
1.7259,5.1156e-06,0.036322
1.8144,4.4712e-06,0.038949
1.9074,4.4027e-06,0.03761
2.0052,4.1321e-06,0.038337
2.108,4.2951e-06,0.03696
2.2161,3.9601e-06,0.039453
2.3297,3.4227e-06,0.044204
2.4491,3.2552e-06,0.044818
2.5747,3.1705e-06,0.045308
2.7067,2.3271e-06,0.054629
2.8455,2.0858e-06,0.06032
2.9914,1.8898e-06,0.063885
3.1447,2.0947e-06,0.060915
3.306,2.262e-06,0.061006
3.4755,2.4455e-06,0.060325
3.6537,2.5253e-06,0.057124
3.841,2.7304e-06,0.053104
4.0379,2.5789e-06,0.057082
4.245,2.8227e-06,0.05333
4.4626,2.5291e-06,0.060223
4.6914,2.7981e-06,0.053305
4.9319,2.8131e-06,0.053542
5.1848,2.8835e-06,0.05275
5.4506,2.8869e-06,0.050118
5.7301,3.2347e-06,0.048523
6.0239,3.3116e-06,0.049638
6.3327,3.617e-06,0.047521
6.6574,3.8412e-06,0.047202
6.9988,4.0902e-06,0.046063
7.3576,3.9695e-06,0.051244
7.7348,3.9174e-06,0.05332
8.1314,3.799e-06,0.05797
8.5483,4.1154e-06,0.05637
8.9866,4.2932e-06,0.056705
9.4473,5.0264e-06,0.051897
9.9317,5.3373e-06,0.051998
10.441,6.9028e-06,0.044901
10.976,8.0159e-06,0.043223
11.539,8.7314e-06,0.040122
12.131,7.7378e-06,0.043469
12.753,7.6575e-06,0.041194
13.406,9.4217e-06,0.035641
14.094,1.6806e-05,0.022844
14.816,1.817e-05,0.021722
15.576,6.3773e-06,0.03715
16.375,1.1318e-06,0.090164
17.214,2.2184e-07,0.2484
18.097,1.0894e-07,0.28723
19.025,3.146e-08,1.0879
20.0,1.987e-08,1.3922
