Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,-5.4766e-06,0.014428
0.030069,-1.2846e-06,1.6344
0.03161,3.661e-06,0.5371
0.033231,9.2492e-07,1.888
0.034935,1.853e-06,0.82202
0.036726,2.0742e-06,0.65365
0.038609,1.1625e-06,1.0609
0.040589,2.7164e-06,0.4105
0.04267,1.1962e-06,0.86147
0.044857,2.3254e-06,0.40658
0.047157,1.2114e-06,0.7192
0.049575,1.0244e-06,0.76352
0.052117,1.775e-06,0.38267
0.054789,9.2377e-07,0.63803
0.057598,8.4992e-07,0.59992
0.060551,9.6754e-07,0.47941
0.063656,6.8087e-07,0.60017
0.066919,3.472e-07,1.0472
0.07035,9.9059e-07,0.32998
0.073957,9.3945e-07,0.31944
0.077749,8.4758e-07,0.32389
0.081735,6.6856e-07,0.38232
0.085926,5.961e-07,0.40057
0.090332,3.2063e-07,0.69951
0.094963,1.0483e-06,0.20048
0.099832,7.1631e-07,0.27488
0.10495,5.4543e-07,0.33938
0.11033,9.8215e-07,0.18061
0.11599,9.8694e-07,0.16809
0.12193,6.9262e-07,0.22862
0.12819,6.0651e-07,0.24754
0.13476,7.6166e-07,0.18885
0.14167,1.0734e-06,0.12913
0.14893,7.1926e-07,0.18568
0.15657,6.0881e-07,0.21175
0.16459,8.0189e-07,0.1551
0.17303,9.1443e-07,0.13027
0.18191,9.223e-07,0.12671
0.19123,7.5022e-07,0.15366
0.20104,9.5689e-07,0.11806
0.21134,1.0989e-06,0.099915
0.22218,1.126e-06,0.097891
0.23357,1.1712e-06,0.091268
0.24555,1.3081e-06,0.08148
0.25814,1.4867e-06,0.070938
0.27137,1.3956e-06,0.074927
0.28528,1.414e-06,0.073854
0.29991,1.4086e-06,0.073336
0.31529,1.4696e-06,0.069746
0.33145,1.9143e-06,0.053003
0.34845,1.8967e-06,0.053725
0.36631,2.1138e-06,0.048937
0.38509,2.4206e-06,0.04325
0.40484,2.7108e-06,0.039877
0.42559,3.1612e-06,0.03456
0.44742,3.2024e-06,0.034216
0.47035,3.2921e-06,0.033138
0.49447,3.364e-06,0.031458
0.51982,3.0143e-06,0.033663
0.54647,2.782e-06,0.035952
0.57449,2.8325e-06,0.034922
0.60395,2.8099e-06,0.035494
0.63491,2.7972e-06,0.035619
0.66747,2.8688e-06,0.03482
0.70169,2.8414e-06,0.034663
0.73766,2.73e-06,0.035627
0.77548,2.6348e-06,0.037227
0.81524,2.4521e-06,0.039912
0.85704,2.7084e-06,0.035852
0.90098,2.717e-06,0.036061
0.94718,2.8796e-06,0.03424
0.99574,2.7776e-06,0.036341
1.0468,2.7077e-06,0.037067
1.1005,2.7274e-06,0.036556
1.1569,2.6387e-06,0.037326
1.2162,2.8204e-06,0.035128
1.2786,2.6004e-06,0.037636
1.3441,2.5463e-06,0.038692
1.413,2.327e-06,0.042097
1.4855,2.3732e-06,0.041921
1.5616,2.2338e-06,0.044279
1.6417,2.0123e-06,0.048986
1.7259,1.9466e-06,0.044316
1.8144,2.1026e-06,0.038024
1.9074,1.5669e-06,0.047418
2.0052,1.2532e-06,0.055266
2.108,1.1437e-06,0.057306
2.2161,9.6663e-07,0.062306
2.3297,8.2643e-07,0.068365
2.4491,8.5151e-07,0.063383
2.5747,7.1537e-07,0.072119
2.7067,6.1242e-07,0.079
2.8455,4.4804e-07,0.1003
2.9914,3.3825e-07,0.11696
3.1447,3.4739e-07,0.10985
3.306,3.247e-07,0.11729
3.4755,2.4932e-07,0.16025
3.6537,2.1573e-07,0.17495
3.841,1.8191e-07,0.19979
4.0379,1.3458e-07,0.28096
4.245,1.1123e-07,0.32092
4.4626,1.7371e-07,0.20884
4.6914,1.3396e-07,0.28111
4.9319,1.1918e-07,0.30559
5.1848,2.9953e-08,1.4042
5.4506,5.5323e-08,0.7179
5.7301,9.2098e-08,0.45604
6.0239,4.1447e-09,11.42
6.3327,4.9619e-08,0.9329
6.6574,4.6363e-08,0.94358
6.9988,1.2448e-07,0.34568
7.3576,8.5825e-08,0.54681
7.7348,1.343e-07,0.33168
8.1314,1.1296e-07,0.43919
8.5483,1.4795e-07,0.33537
8.9866,1.1027e-07,0.50075
9.4473,1.2943e-07,0.40296
9.9317,1.5536e-07,0.34952
10.441,9.7983e-08,0.53527
10.976,2.0135e-07,0.25312
11.539,1.1625e-07,0.44692
12.131,1.2648e-07,0.41979
12.753,3.4202e-08,1.5186
13.406,2.7976e-07,0.17276
14.094,1.4722e-06,0.054322
14.816,3.2545e-06,0.034649
15.576,5.4201e-07,0.09866
16.375,2.9236e-08,0.92956
17.214,2.9607e-08,0.84452
18.097,1.6787e-09,14.449
19.025,-1.6904e-08,1.4445
20.0,9.7963e-09,2.2384
