Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,0.0,1.0
0.03161,-2.1624e-05,0.039841
0.033231,-6.0202e-06,0.2006
0.034935,-2.17e-06,0.50996
0.036726,-1.7146e-06,0.56363
0.038609,-3.1557e-06,0.27489
0.040589,-2.2688e-06,0.33975
0.04267,-2.743e-06,0.26282
0.044857,-2.5589e-06,0.25679
0.047157,-7.5812e-07,0.81975
0.049575,-1.6093e-06,0.34022
0.052117,-1.0618e-06,0.44564
0.054789,-1.2198e-06,0.34128
0.057598,-4.4037e-07,0.82409
0.060551,-7.1544e-07,0.45741
0.063656,-2.8655e-07,1.0043
0.066919,-7.5199e-07,0.34201
0.07035,-2.7844e-07,0.82912
0.073957,-3.3863e-07,0.62756
0.077749,-2.9447e-07,0.65417
0.081735,-1.9746e-07,0.92152
0.085926,-2.9652e-07,0.55994
0.090332,-5.1755e-07,0.30281
0.094963,-1.4874e-07,0.99186
0.099832,-1.7079e-07,0.81112
0.10495,-1.3634e-07,0.95561
0.11033,1.7331e-07,0.71997
0.11599,1.7175e-09,68.217
0.12193,1.7588e-07,0.63093
0.12819,2.7879e-08,3.7841
0.13476,7.0281e-08,1.442
0.14167,1.6315e-07,0.59427
0.14893,1.8759e-07,0.49523
0.15657,3.0897e-07,0.29259
0.16459,4.7978e-07,0.18249
0.17303,5.4624e-07,0.15664
0.18191,3.4079e-07,0.24167
0.19123,3.4854e-07,0.23296
0.20104,3.5377e-07,0.22424
0.21134,4.8948e-07,0.16079
0.22218,6.3044e-07,0.12258
0.23357,5.8376e-07,0.12979
0.24555,5.6445e-07,0.13397
0.25814,6.9279e-07,0.10734
0.27137,7.6293e-07,0.096268
0.28528,8.6734e-07,0.083933
0.29991,8.3322e-07,0.086984
0.31529,9.211e-07,0.078353
0.33145,8.6422e-07,0.082769
0.34845,1.0501e-06,0.068067
0.36631,1.1095e-06,0.064597
0.38509,1.2401e-06,0.059306
0.40484,1.6385e-06,0.046345
0.42559,1.6583e-06,0.046116
0.44742,1.7845e-06,0.042877
0.47035,1.761e-06,0.042574
0.49447,1.7426e-06,0.042363
0.51982,1.6102e-06,0.044413
0.54647,1.5662e-06,0.044603
0.57449,1.5102e-06,0.045548
0.60395,1.5628e-06,0.043569
0.63491,1.3176e-06,0.052067
0.66747,1.565e-06,0.044463
0.70169,1.4434e-06,0.047884
0.73766,1.3584e-06,0.050393
0.77548,1.4271e-06,0.047726
0.81524,1.4196e-06,0.047878
0.85704,1.3709e-06,0.049391
0.90098,1.5747e-06,0.043525
0.94718,1.4133e-06,0.048783
0.99574,1.4399e-06,0.048484
1.0468,1.3656e-06,0.050662
1.1005,1.304e-06,0.053077
1.1569,1.362e-06,0.050668
1.2162,1.4271e-06,0.048797
1.2786,1.2598e-06,0.055191
1.3441,1.1162e-06,0.062365
1.413,1.016e-06,0.068908
1.4855,1.1247e-06,0.062549
1.5616,1.0454e-06,0.067875
1.6417,9.3804e-07,0.075012
1.7259,1.0088e-06,0.05556
1.8144,8.4629e-07,0.063039
1.9074,7.8602e-07,0.065289
2.0052,5.8725e-07,0.078386
2.108,5.0307e-07,0.090158
2.2161,5.1412e-07,0.08638
2.3297,4.3703e-07,0.099086
2.4491,3.7371e-07,0.11448
2.5747,3.1603e-07,0.1299
2.7067,3.2071e-07,0.12528
2.8455,1.857e-07,0.21815
2.9914,1.573e-07,0.25663
3.1447,1.569e-07,0.25944
3.306,9.6871e-08,0.43533
3.4755,1.1173e-07,0.38758
3.6537,1.1968e-07,0.37122
3.841,1.7606e-07,0.25753
4.0379,1.4182e-07,0.33077
4.245,1.2146e-07,0.38011
4.4626,4.5003e-08,1.0244
4.6914,7.0999e-08,0.59288
4.9319,1.154e-07,0.34597
5.1848,3.5811e-08,1.0856
5.4506,1.2393e-07,0.30925
5.7301,9.6145e-08,0.41213
6.0239,1.3232e-07,0.33018
6.3327,1.1845e-07,0.38789
6.6574,1.0312e-07,0.47875
6.9988,1.5866e-07,0.34935
7.3576,2.9705e-07,0.21361
7.7348,3.5292e-07,0.20144
8.1314,3.7458e-07,0.19485
8.5483,6.5616e-08,1.0575
8.9866,8.7498e-08,0.84051
9.4473,1.2303e-07,0.65323
9.9317,1.4509e-07,0.5774
10.441,1.7717e-07,0.5073
10.976,2.3095e-07,0.4218
11.539,4.9918e-08,2.0252
12.131,2.7663e-07,0.35954
12.753,2.169e-07,0.45787
13.406,1.3381e-07,0.65409
14.094,3.7985e-07,0.19628
14.816,2.7075e-07,0.22715
15.576,2.3322e-07,0.18316
16.375,1.3257e-07,0.23827
17.214,9.2278e-08,0.29758
18.097,6.0771e-08,0.41674
19.025,4.0342e-08,0.57667
20.0,6.1567e-08,0.38483
