Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,2.2565e-06,0.10619
0.030069,-4.4306e-07,3.569
0.03161,1.1106e-07,12.366
0.033231,1.5962e-06,0.75328
0.034935,-2.0516e-06,0.51608
0.036726,-1.3116e-06,0.74274
0.038609,-6.7406e-07,1.2809
0.040589,4.1407e-07,1.8147
0.04267,5.8263e-07,1.2256
0.044857,4.8012e-07,1.3625
0.047157,2.8574e-07,2.14
0.049575,2.0659e-07,2.6003
0.052117,9.4763e-07,0.49415
0.054789,-1.8233e-07,2.2814
0.057598,8.9402e-07,0.39446
0.060551,3.8879e-07,0.81609
0.063656,3.4632e-07,0.81379
0.066919,7.2928e-07,0.34773
0.07035,5.0819e-07,0.44908
0.073957,2.7275e-07,0.76384
0.077749,1.8828e-07,1.0315
0.081735,3.5858e-07,0.50387
0.085926,5.5635e-08,2.9929
0.090332,4.9789e-07,0.31451
0.094963,3.1189e-07,0.47149
0.099832,2.5808e-07,0.53484
0.10495,4.1888e-07,0.30694
0.11033,4.3148e-07,0.28726
0.11599,6.0683e-07,0.1928
0.12193,5.5452e-07,0.20079
0.12819,6.0637e-07,0.17831
0.13476,4.611e-07,0.22363
0.14167,5.1184e-07,0.1913
0.14893,5.9024e-07,0.1594
0.15657,6.8343e-07,0.133
0.16459,7.6635e-07,0.1161
0.17303,8.0807e-07,0.10706
0.18191,8.9958e-07,0.092357
0.19123,1.0383e-06,0.079605
0.20104,9.5219e-07,0.085915
0.21134,9.907e-07,0.080977
0.22218,9.698e-07,0.082531
0.23357,1.1157e-06,0.070055
0.24555,1.0427e-06,0.074524
0.25814,1.3059e-06,0.059614
0.27137,1.3447e-06,0.05763
0.28528,1.3699e-06,0.055655
0.29991,1.5747e-06,0.0489
0.31529,1.707e-06,0.045209
0.33145,1.7041e-06,0.04516
0.34845,1.9168e-06,0.040476
0.36631,1.9356e-06,0.040527
0.38509,2.3497e-06,0.034808
0.40484,2.7997e-06,0.030085
0.42559,3.0495e-06,0.028683
0.44742,3.2686e-06,0.026486
0.47035,3.2658e-06,0.026596
0.49447,3.4108e-06,0.024945
0.51982,3.1808e-06,0.025898
0.54647,2.6789e-06,0.029694
0.57449,2.77e-06,0.028463
0.60395,2.7297e-06,0.028783
0.63491,2.7411e-06,0.028856
0.66747,2.8498e-06,0.028225
0.70169,3.009e-06,0.026624
0.73766,2.7111e-06,0.029044
0.77548,2.7428e-06,0.02887
0.81524,2.6258e-06,0.0296
0.85704,2.5559e-06,0.030764
0.90098,2.8295e-06,0.028202
0.94718,2.9514e-06,0.027614
0.99574,2.7483e-06,0.029991
1.0468,2.8717e-06,0.027949
1.1005,2.8413e-06,0.028799
1.1569,2.8097e-06,0.028943
1.2162,2.8775e-06,0.028197
1.2786,2.5912e-06,0.031145
1.3441,2.5229e-06,0.031979
1.413,2.4216e-06,0.033406
1.4855,2.2912e-06,0.03506
1.5616,2.4217e-06,0.033486
1.6417,2.2614e-06,0.03563
1.7259,1.9658e-06,0.042546
1.8144,2.0238e-06,0.039336
1.9074,1.768e-06,0.041224
2.0052,1.3789e-06,0.046689
2.108,1.3182e-06,0.047579
2.2161,1.0818e-06,0.054167
2.3297,9.4134e-07,0.059134
2.4491,8.5901e-07,0.062446
2.5747,7.1707e-07,0.071624
2.7067,5.7886e-07,0.077871
2.8455,5.5326e-07,0.079303
2.9914,4.5727e-07,0.085667
3.1447,3.5012e-07,0.11605
3.306,2.8701e-07,0.13066
3.4755,3.0905e-07,0.12338
3.6537,2.4448e-07,0.15399
3.841,2.1863e-07,0.16548
4.0379,1.5001e-07,0.22465
4.245,1.7062e-07,0.19307
4.4626,1.2786e-07,0.25594
4.6914,1.286e-07,0.25473
4.9319,1.1175e-07,0.29287
5.1848,8.4223e-08,0.41315
5.4506,8.9916e-08,0.39339
5.7301,3.1224e-08,1.2129
6.0239,1.0855e-07,0.33906
6.3327,5.9972e-08,0.64115
6.6574,3.9711e-08,0.97466
6.9988,1.0905e-07,0.33476
7.3576,1.5992e-08,2.5336
7.7348,2.1928e-08,1.9967
8.1314,7.8434e-08,0.61138
8.5483,6.4858e-08,0.72195
8.9866,1.2437e-07,0.40267
9.4473,2.5958e-07,0.19981
9.9317,2.1509e-07,0.23454
10.441,2.2719e-07,0.23575
10.976,2.2824e-07,0.21711
11.539,2.4302e-07,0.20105
12.131,3.1299e-07,0.17435
12.753,3.5624e-07,0.14217
13.406,3.4335e-07,0.15178
14.094,1.6514e-06,0.050994
14.816,1.025e-05,0.018572
15.576,3.7225e-06,0.03068
16.375,6.3695e-08,0.42901
17.214,1.1189e-08,1.9731
18.097,-4.7084e-09,4.3954
19.025,-1.2566e-08,1.6503
20.0,1.5081e-08,1.1772
