Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,0.0,1.0
0.03161,0.0,1.0
0.033231,0.0,1.0
0.034935,4.7632e-09,0.83712
0.036726,-6.5345e-08,0.97615
0.038609,8.5795e-08,1.2187
0.040589,2.3676e-07,0.4224
0.04267,1.6123e-07,0.54751
0.044857,2.2017e-07,0.38165
0.047157,3.2534e-07,0.2365
0.049575,2.4703e-08,2.9277
0.052117,3.4178e-07,0.1797
0.054789,2.2982e-07,0.23559
0.057598,3.2381e-07,0.148
0.060551,2.0268e-07,0.21235
0.063656,3.2597e-07,0.11951
0.066919,2.8471e-07,0.12789
0.07035,2.711e-07,0.12517
0.073957,3.2495e-07,0.095932
0.077749,3.2337e-07,0.089145
0.081735,2.8416e-07,0.09463
0.085926,2.766e-07,0.088628
0.090332,2.5973e-07,0.089933
0.094963,2.5405e-07,0.087997
0.099832,2.6507e-07,0.080842
0.10495,3.2889e-07,0.06531
0.11033,4.2523e-07,0.051501
0.11599,5.0905e-07,0.044305
0.12193,6.0874e-07,0.037187
0.12819,5.7191e-07,0.039178
0.13476,5.5836e-07,0.039037
0.14167,5.2444e-07,0.040123
0.14893,4.6196e-07,0.043611
0.15657,4.7691e-07,0.039414
0.16459,4.7337e-07,0.038671
0.17303,4.6745e-07,0.037766
0.18191,3.8785e-07,0.043197
0.19123,3.6838e-07,0.043146
0.20104,3.7696e-07,0.042372
0.21134,4.0615e-07,0.039471
0.22218,4.737e-07,0.034719
0.23357,5.4647e-07,0.031092
0.24555,5.8815e-07,0.030298
0.25814,7.5319e-07,0.024949
0.27137,8.0259e-07,0.02386
0.28528,8.2635e-07,0.023356
0.29991,7.6228e-07,0.025157
0.31529,6.7293e-07,0.027663
0.33145,5.1449e-07,0.034293
0.34845,4.4787e-07,0.036986
0.36631,3.1587e-07,0.04906
0.38509,2.7475e-07,0.051856
0.40484,2.8565e-07,0.051868
0.42559,2.8361e-07,0.053232
0.44742,3.1679e-07,0.048625
0.47035,2.8734e-07,0.052966
0.49447,3.3715e-07,0.044646
0.51982,4.1161e-07,0.03761
0.54647,4.6268e-07,0.035814
0.57449,5.2945e-07,0.032236
0.60395,4.1599e-07,0.039026
0.63491,2.7501e-07,0.053733
0.66747,1.4485e-07,0.095553
0.70169,1.2106e-07,0.11084
0.73766,9.8449e-08,0.13455
0.77548,1.2629e-07,0.108
0.81524,1.0907e-07,0.1248
0.85704,1.3263e-07,0.10747
0.90098,9.545e-08,0.14674
0.94718,5.3952e-08,0.26273
0.99574,3.7724e-08,0.38982
1.0468,7.653e-08,0.19721
1.1005,5.5298e-08,0.27902
1.1569,3.5687e-08,0.43275
1.2162,4.8279e-08,0.32063
1.2786,2.3675e-08,0.67688
1.3441,7.307e-09,2.2722
1.413,4.0252e-09,4.1401
1.4855,1.1524e-08,1.4438
1.5616,1.5712e-08,1.077
1.6417,-1.2267e-09,14.036
1.7259,5.8458e-09,3.0355
1.8144,4.2358e-10,38.719
1.9074,5.6907e-09,2.7648
2.0052,-1.5517e-08,1.0167
2.108,3.8236e-09,4.2681
2.2161,-8.6205e-09,1.7417
2.3297,2.2837e-09,6.7612
2.4491,3.8762e-09,3.7474
2.5747,7.858e-09,1.8554
2.7067,1.3472e-08,0.88887
2.8455,1.0888e-08,0.9809
2.9914,-4.4506e-09,2.378
3.1447,5.6419e-09,1.7775
3.306,4.4033e-09,2.1526
3.4755,7.9236e-09,1.2429
3.6537,6.6921e-09,1.5239
3.841,2.0008e-08,0.47407
4.0379,1.4955e-09,6.4493
4.245,-1.147e-08,0.79146
4.4626,-7.9306e-09,1.2364
4.6914,1.1084e-08,0.86381
4.9319,1.8703e-09,5.3987
5.1848,3.2353e-09,3.4798
5.4506,1.5156e-08,0.71816
5.7301,1.4296e-08,0.74977
6.0239,9.3103e-09,1.3079
6.3327,-9.5074e-09,1.2392
6.6574,-1.7319e-08,0.58853
6.9988,3.0502e-08,0.34466
7.3576,6.4005e-09,1.72
7.7348,2.6155e-10,47.805
8.1314,1.3541e-10,88.06
8.5483,-9.3807e-09,1.2958
8.9866,-1.5078e-08,0.84447
9.4473,4.2559e-09,2.8505
9.9317,1.0705e-08,0.99542
10.441,-7.2915e-10,15.579
10.976,-1.3663e-08,0.84164
11.539,3.8732e-09,2.8535
12.131,1.2121e-08,0.65828
12.753,-2.8988e-10,32.856
13.406,1.9337e-08,0.40211
14.094,3.2899e-09,1.8896
14.816,-6.0705e-09,0.95805
15.576,-5.2131e-09,1.1333
16.375,9.0476e-10,4.6638
17.214,-4.7518e-09,1.0417
18.097,-1.7972e-10,24.49
19.025,-1.7314e-09,2.4645
20.0,4.8191e-09,0.80542
