Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.4823,4.7498e-07,0.2111
0.49451,4.8968e-07,0.20223
0.50703,3.4071e-07,0.28872
0.51986,6.1561e-07,0.17264
0.53302,6.4337e-07,0.15256
0.54652,4.5012e-07,0.21697
0.56035,6.7158e-07,0.13752
0.57454,7.5645e-07,0.12112
0.58908,7.3461e-07,0.12058
0.60399,6.4976e-07,0.13051
0.61929,7.702e-07,0.11089
0.63496,7.6494e-07,0.11478
0.65104,8.7992e-07,0.09521
0.66752,1.0498e-06,0.082928
0.68442,1.0141e-06,0.086079
0.70174,8.8218e-07,0.088147
0.71951,8.7003e-07,0.091175
0.73772,9.0827e-07,0.088862
0.7564,8.8131e-07,0.085459
0.77554,1.0552e-06,0.072589
0.79518,1.0117e-06,0.077514
0.81531,1.0637e-06,0.07471
0.83595,9.5455e-07,0.079579
0.85711,1.2143e-06,0.061172
0.87881,1.103e-06,0.071662
0.90105,1.0592e-06,0.073909
0.92386,1.1842e-06,0.067404
0.94725,1.2586e-06,0.065539
0.97123,1.0837e-06,0.071388
0.99582,1.2002e-06,0.066042
1.021,1.2057e-06,0.067371
1.0469,1.1766e-06,0.069371
1.0734,1.1311e-06,0.072239
1.1006,1.1242e-06,0.073266
1.1284,1.1569e-06,0.070155
1.157,1.2221e-06,0.064964
1.1863,1.3681e-06,0.060616
1.2163,1.438e-06,0.055808
1.2471,1.2436e-06,0.066183
1.2787,1.3641e-06,0.063985
1.311,1.2864e-06,0.064486
1.3442,1.2513e-06,0.066199
1.3782,1.3613e-06,0.062754
1.4131,1.185e-06,0.075558
1.4489,1.3495e-06,0.064825
1.4856,1.4517e-06,0.062546
1.5232,1.3557e-06,0.063966
1.5618,1.3137e-06,0.068978
1.6013,1.224e-06,0.073826
1.6418,1.3759e-06,0.068983
1.6834,1.4724e-06,0.062168
1.726,1.5516e-06,0.059296
1.7697,1.382e-06,0.06822
1.8145,1.5425e-06,0.062355
1.8604,1.3293e-06,0.075532
1.9075,1.4723e-06,0.067823
1.9558,1.4472e-06,0.068104
2.0053,1.4465e-06,0.069517
2.0561,1.3871e-06,0.071501
2.1081,1.4144e-06,0.073403
2.1615,1.376e-06,0.072609
2.2162,1.5197e-06,0.06615
2.2723,1.5575e-06,0.064437
2.3299,1.3008e-06,0.078175
2.3888,1.6351e-06,0.062283
2.4493,1.4501e-06,0.068543
2.5113,1.4046e-06,0.071759
2.5749,1.2313e-06,0.081844
2.6401,1.5697e-06,0.06424
2.7069,1.4311e-06,0.070771
2.7754,1.2346e-06,0.081349
2.8457,1.2001e-06,0.078656
2.9177,1.243e-06,0.076068
2.9916,1.3451e-06,0.07499
3.0673,1.4586e-06,0.069204
3.145,1.337e-06,0.072263
3.2246,1.1319e-06,0.086102
3.3062,1.1292e-06,0.082947
3.3899,1.0322e-06,0.089214
3.4758,1.1468e-06,0.077608
3.5637,1.2997e-06,0.071198
3.654,1.2633e-06,0.075614
3.7465,1.4369e-06,0.068597
3.8413,1.5792e-06,0.063628
3.9385,2.1423e-06,0.049607
4.0382,2.106e-06,0.053756
4.1405,2.4087e-06,0.047834
4.2453,2.4557e-06,0.048358
4.3528,2.7984e-06,0.044659
4.463,3.1076e-06,0.041498
4.5759,2.6164e-06,0.048719
4.6918,2.5585e-06,0.048353
4.8105,1.9096e-06,0.062395
4.9323,1.8142e-06,0.064862
5.0572,1.3186e-06,0.084917
5.1852,1.0672e-06,0.086565
5.3165,9.4411e-07,0.094269
5.4511,9.006e-07,0.10054
5.5891,8.9055e-07,0.10047
5.7305,7.3916e-07,0.1217
5.8756,5.8353e-07,0.14068
6.0244,6.152e-07,0.14398
6.1769,6.746e-07,0.12676
6.3332,7.5688e-07,0.1176
6.4936,7.6069e-07,0.11841
6.6579,6.1286e-07,0.15687
6.8265,8.3129e-07,0.11931
6.9993,8.2208e-07,0.11684
7.1765,6.9529e-07,0.13603
7.3582,6.1181e-07,0.156
7.5444,6.9249e-07,0.14324
7.7354,5.9561e-07,0.16253
7.9312,8.9648e-07,0.11721
8.132,8.7094e-07,0.12197
8.3379,1.0309e-06,0.11325
8.549,1.9671e-06,0.070788
8.7654,2.8277e-06,0.058074
8.9873,4.4233e-06,0.044082
9.2148,6.6295e-06,0.03471
9.4481,8.573e-06,0.029933
9.6872,1.0152e-05,0.027429
9.9325,8.5217e-06,0.031046
10.184,6.1598e-06,0.038394
10.442,3.4652e-06,0.054343
10.706,1.4597e-06,0.11468
10.977,1.2232e-06,0.12544
11.255,1.4671e-06,0.10758
11.54,1.3735e-06,0.11486
11.832,1.8084e-06,0.094804
12.132,2.0026e-06,0.088995
12.439,3.1587e-06,0.065828
12.754,4.4779e-06,0.050705
13.076,7.9295e-06,0.034264
13.407,1.2428e-05,0.026873
13.747,2.0501e-05,0.020523
14.095,3.0134e-05,0.016701
14.452,3.2959e-05,0.015899
14.818,2.1728e-05,0.019563
15.193,8.0574e-06,0.032088
15.577,1.9606e-06,0.065232
15.972,7.2608e-07,0.11433
16.376,3.5085e-07,0.17281
16.79,1.219e-07,0.35686
17.216,1.4842e-07,0.26031
17.651,5.4643e-08,0.59521
18.098,-3.3257e-08,1.0385
18.556,-8.5089e-09,3.4857
19.026,1.8715e-08,1.5328
19.508,-8.2352e-09,3.7656
20.002,2.1591e-09,10.606
