Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.4823,1.367e-07,0.91937
0.49451,4.377e-07,0.25716
0.50703,5.9171e-07,0.19399
0.51986,3.9158e-07,0.29816
0.53302,6.6833e-07,0.16671
0.54652,5.8976e-07,0.18735
0.56035,6.1725e-07,0.16435
0.57454,5.6067e-07,0.1792
0.58908,7.2182e-07,0.13914
0.60399,6.2162e-07,0.16385
0.61929,7.9632e-07,0.13031
0.63496,7.6898e-07,0.1176
0.65104,8.4965e-07,0.11247
0.66752,8.5237e-07,0.10597
0.68442,8.2497e-07,0.11441
0.70174,8.5843e-07,0.10563
0.71951,1.0103e-06,0.090291
0.73772,9.1417e-07,0.099323
0.7564,9.0966e-07,0.10173
0.77554,8.6799e-07,0.10234
0.79518,9.9503e-07,0.087241
0.81531,1.1118e-06,0.07842
0.83595,1.1301e-06,0.07845
0.85711,1.1989e-06,0.07517
0.87881,1.0672e-06,0.079993
0.90105,1.2358e-06,0.072193
0.92386,1.17e-06,0.07921
0.94725,1.1581e-06,0.076034
0.97123,1.1337e-06,0.07821
0.99582,1.1789e-06,0.076685
1.021,1.3871e-06,0.06777
1.0469,1.2654e-06,0.074601
1.0734,1.2734e-06,0.073079
1.1006,1.2921e-06,0.073261
1.1284,1.396e-06,0.069188
1.157,1.4371e-06,0.065073
1.1863,1.3256e-06,0.072678
1.2163,1.3789e-06,0.067273
1.2471,1.369e-06,0.069838
1.2787,1.243e-06,0.076027
1.311,1.3872e-06,0.068936
1.3442,1.3516e-06,0.071336
1.3782,1.4651e-06,0.06757
1.4131,1.2088e-06,0.081539
1.4489,1.0781e-06,0.094577
1.4856,1.3431e-06,0.074791
1.5232,1.4201e-06,0.07174
1.5618,1.4737e-06,0.070703
1.6013,1.2974e-06,0.07978
1.6418,1.5011e-06,0.071335
1.6834,1.4176e-06,0.077532
1.726,1.4886e-06,0.07344
1.7697,1.3603e-06,0.076834
1.8145,1.4869e-06,0.073196
1.8604,1.4151e-06,0.076312
1.9075,1.5724e-06,0.071564
1.9558,1.6157e-06,0.067409
2.0053,1.5804e-06,0.071251
2.0561,1.7115e-06,0.066266
2.1081,1.4885e-06,0.07428
2.1615,1.4528e-06,0.075096
2.2162,1.3222e-06,0.083453
2.2723,1.6511e-06,0.069318
2.3299,1.3658e-06,0.079567
2.3888,1.6652e-06,0.065143
2.4493,1.3911e-06,0.078709
2.5113,1.4961e-06,0.074515
2.5749,1.4178e-06,0.077003
2.6401,1.5757e-06,0.069677
2.7069,1.3015e-06,0.085412
2.7754,1.4167e-06,0.080153
2.8457,1.2313e-06,0.090478
2.9177,1.4267e-06,0.078383
2.9916,1.4453e-06,0.080648
3.0673,1.4691e-06,0.079858
3.145,1.3162e-06,0.088867
3.2246,1.2995e-06,0.090389
3.3062,1.5981e-06,0.074919
3.3899,1.3804e-06,0.084268
3.4758,1.3689e-06,0.088923
3.5637,1.0714e-06,0.11379
3.654,1.3377e-06,0.096756
3.7465,1.3213e-06,0.091827
3.8413,1.3363e-06,0.095268
3.9385,1.6176e-06,0.078938
4.0382,1.6929e-06,0.082068
4.1405,1.9456e-06,0.067582
4.2453,2.0826e-06,0.06925
4.3528,2.5562e-06,0.061335
4.463,2.9153e-06,0.055074
4.5759,3.1828e-06,0.051413
4.6918,3.7407e-06,0.046239
4.8105,3.6012e-06,0.046801
4.9323,2.6975e-06,0.058534
5.0572,2.2912e-06,0.067841
5.1852,2.2173e-06,0.066719
5.3165,1.7957e-06,0.072449
5.4511,1.3583e-06,0.087588
5.5891,9.4302e-07,0.11771
5.7305,9.9262e-07,0.11397
5.8756,8.4958e-07,0.12711
6.0244,9.7751e-07,0.11373
6.1769,6.1675e-07,0.16356
6.3332,6.9727e-07,0.14545
6.4936,9.2363e-07,0.12579
6.6579,8.7723e-07,0.1361
6.8265,1.2455e-06,0.10793
6.9993,1.4652e-06,0.093779
7.1765,1.1981e-06,0.11463
7.3582,8.5908e-07,0.15202
7.5444,6.89e-07,0.17455
7.7354,7.2631e-07,0.17854
7.9312,4.4396e-07,0.28348
8.132,7.6015e-07,0.17399
8.3379,7.2199e-07,0.18316
8.549,5.2569e-07,0.25235
8.7654,1.5678e-06,0.10216
8.9873,2.0603e-06,0.085265
9.2148,3.1127e-06,0.068967
9.4481,6.0682e-06,0.044506
9.6872,1.1356e-05,0.031305
9.9325,1.792e-05,0.024723
10.184,1.6696e-05,0.02648
10.442,1.1969e-05,0.032049
10.706,5.6038e-06,0.049922
10.977,2.2221e-06,0.10148
11.255,1.4678e-06,0.13626
11.54,1.5069e-06,0.14026
11.832,1.9448e-06,0.11585
12.132,2.5208e-06,0.092959
12.439,3.0095e-06,0.083677
12.754,3.3598e-06,0.07503
13.076,5.4997e-06,0.053033
13.407,1.047e-05,0.035919
13.747,2.7469e-05,0.02125
14.095,7.3875e-05,0.012863
14.452,0.00014557,0.0091045
14.818,0.00014158,0.0092059
15.193,7.2067e-05,0.012794
15.577,1.7512e-05,0.025753
15.972,3.9694e-06,0.053547
16.376,1.5649e-06,0.085417
16.79,8.9627e-07,0.11364
17.216,4.4665e-07,0.17123
17.651,2.478e-07,0.2567
18.098,2.258e-07,0.24315
18.556,1.5156e-07,0.34654
19.026,9.8995e-08,0.46055
19.508,3.2653e-08,1.0221
20.002,-1.1097e-08,4.2543
