Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.4823,4.4387e-07,0.22897
0.49451,5.4665e-07,0.18205
0.50703,4.6438e-07,0.20844
0.51986,4.9431e-07,0.20583
0.53302,8.0609e-07,0.11922
0.54652,8.096e-07,0.1165
0.56035,6.4338e-07,0.14292
0.57454,9.2941e-07,0.095103
0.58908,8.5502e-07,0.099794
0.60399,9.1549e-07,0.098378
0.61929,1.0401e-06,0.08381
0.63496,7.7761e-07,0.10949
0.65104,8.2381e-07,0.10556
0.66752,9.7958e-07,0.085818
0.68442,9.5036e-07,0.08558
0.70174,9.5505e-07,0.088553
0.71951,9.9862e-07,0.082209
0.73772,9.9559e-07,0.082186
0.7564,9.5983e-07,0.080745
0.77554,9.4232e-07,0.082091
0.79518,1.0355e-06,0.074841
0.81531,9.3465e-07,0.081071
0.83595,1.121e-06,0.065855
0.85711,1.207e-06,0.064991
0.87881,1.3246e-06,0.059774
0.90105,1.0246e-06,0.074558
0.92386,1.1031e-06,0.067946
0.94725,1.0522e-06,0.074569
0.97123,1.1686e-06,0.066166
0.99582,1.162e-06,0.068748
1.021,1.2939e-06,0.063863
1.0469,1.3957e-06,0.058482
1.0734,1.1932e-06,0.069965
1.1006,1.2911e-06,0.064056
1.1284,1.3923e-06,0.058845
1.157,1.3176e-06,0.06365
1.1863,1.2024e-06,0.066095
1.2163,1.2858e-06,0.061059
1.2471,1.3131e-06,0.063412
1.2787,1.3398e-06,0.061278
1.311,1.1689e-06,0.07001
1.3442,1.4616e-06,0.058891
1.3782,1.3925e-06,0.06091
1.4131,1.443e-06,0.061525
1.4489,1.4045e-06,0.061015
1.4856,1.4943e-06,0.05792
1.5232,1.5145e-06,0.058825
1.5618,1.5253e-06,0.058001
1.6013,1.5757e-06,0.05707
1.6418,1.6157e-06,0.057703
1.6834,1.5613e-06,0.060026
1.726,1.6002e-06,0.059936
1.7697,1.5479e-06,0.061696
1.8145,1.6239e-06,0.059254
1.8604,1.832e-06,0.052954
1.9075,1.7089e-06,0.057301
1.9558,1.5714e-06,0.061812
2.0053,1.6833e-06,0.05761
2.0561,1.5022e-06,0.065464
2.1081,1.567e-06,0.063682
2.1615,1.5809e-06,0.063594
2.2162,1.6395e-06,0.060825
2.2723,1.5617e-06,0.063579
2.3299,1.6175e-06,0.061842
2.3888,1.7005e-06,0.058313
2.4493,1.7724e-06,0.057377
2.5113,1.7908e-06,0.057015
2.5749,1.6766e-06,0.062166
2.6401,1.5713e-06,0.064759
2.7069,1.5514e-06,0.064378
2.7754,1.511e-06,0.065164
2.8457,1.5871e-06,0.062546
2.9177,1.3903e-06,0.074878
2.9916,1.7395e-06,0.061909
3.0673,1.5716e-06,0.068277
3.145,1.65e-06,0.063724
3.2246,1.6379e-06,0.066118
3.3062,1.47e-06,0.072618
3.3899,1.5486e-06,0.070719
3.4758,1.3275e-06,0.082907
3.5637,1.5085e-06,0.078388
3.654,1.6144e-06,0.074326
3.7465,1.8399e-06,0.068049
3.8413,1.8339e-06,0.067375
3.9385,2.1886e-06,0.058473
4.0382,2.0542e-06,0.062775
4.1405,1.9219e-06,0.064639
4.2453,1.9254e-06,0.066372
4.3528,1.9321e-06,0.063978
4.463,1.7671e-06,0.06856
4.5759,1.5453e-06,0.078531
4.6918,1.4099e-06,0.082382
4.8105,1.2147e-06,0.092267
4.9323,1.064e-06,0.10289
5.0572,1.0905e-06,0.1045
5.1852,1.1559e-06,0.080623
5.3165,1.0451e-06,0.090618
5.4511,1.0862e-06,0.089078
5.5891,1.0603e-06,0.090882
5.7305,8.7867e-07,0.10745
5.8756,1.0227e-06,0.094254
6.0244,7.2528e-07,0.11947
6.1769,9.3525e-07,0.098465
6.3332,1.0966e-06,0.088352
6.4936,1.1893e-06,0.091566
6.6579,1.215e-06,0.090502
6.8265,1.4705e-06,0.078841
6.9993,1.51e-06,0.079046
7.1765,1.5298e-06,0.082316
7.3582,1.5715e-06,0.081303
7.5444,1.7278e-06,0.080319
7.7354,1.5896e-06,0.084756
7.9312,1.9522e-06,0.074275
8.132,2.3185e-06,0.065449
8.3379,2.3659e-06,0.06846
8.549,3.0534e-06,0.054528
8.7654,3.2253e-06,0.055784
8.9873,3.4822e-06,0.054197
9.2148,3.9628e-06,0.05085
9.4481,4.0037e-06,0.051577
9.6872,4.523e-06,0.04844
9.9325,4.0289e-06,0.053012
10.184,3.5887e-06,0.05493
10.442,2.9792e-06,0.069081
10.706,3.3393e-06,0.062192
10.977,3.5586e-06,0.063
11.255,4.6268e-06,0.053079
11.54,5.5751e-06,0.045839
11.832,6.5252e-06,0.043813
12.132,7.3419e-06,0.039327
12.439,7.8827e-06,0.03709
12.754,8.1607e-06,0.036937
13.076,7.5996e-06,0.037858
13.407,7.4439e-06,0.037553
13.747,6.4093e-06,0.040861
14.095,6.5166e-06,0.040889
14.452,6.4456e-06,0.039616
14.818,5.2211e-06,0.044322
15.193,3.188e-06,0.054656
15.577,1.1651e-06,0.094936
15.972,3.2005e-07,0.2126
16.376,5.6995e-08,0.85854
16.79,7.5975e-08,0.49501
17.216,3.111e-08,1.0942
17.651,1.9029e-08,1.5805
18.098,-4.4108e-08,0.68119
18.556,2.0525e-08,1.4833
19.026,2.094e-08,1.7349
19.508,1.7643e-08,1.1652
20.002,-1.8924e-08,1.2994
