Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.4823,3.8151e-08,1.3283
0.49451,3.7458e-08,1.3345
0.50703,5.0648e-08,0.96149
0.51986,6.3534e-08,0.72468
0.53302,1.2502e-07,0.37026
0.54652,1.4757e-07,0.29194
0.56035,4.8098e-08,0.88101
0.57454,1.6363e-07,0.24639
0.58908,1.1265e-07,0.35304
0.60399,1.5516e-07,0.24453
0.61929,1.3126e-07,0.29011
0.63496,1.1565e-07,0.31619
0.65104,1.8405e-07,0.19574
0.66752,1.6156e-07,0.22317
0.68442,1.2414e-07,0.27585
0.70174,1.2036e-07,0.28134
0.71951,1.0402e-07,0.31853
0.73772,1.5157e-07,0.21435
0.7564,1.9409e-07,0.16202
0.77554,1.6281e-07,0.19197
0.79518,1.9927e-07,0.15305
0.81531,2.1083e-07,0.14242
0.83595,1.6345e-07,0.1855
0.85711,1.7791e-07,0.1777
0.87881,2.46e-07,0.124
0.90105,1.9768e-07,0.15616
0.92386,2.1461e-07,0.14127
0.94725,2.1512e-07,0.14401
0.97123,2.003e-07,0.15504
0.99582,1.9696e-07,0.16122
1.021,2.0636e-07,0.15903
1.0469,2.6962e-07,0.12106
1.0734,2.569e-07,0.12298
1.1006,2.5036e-07,0.13116
1.1284,2.6768e-07,0.11463
1.157,2.2367e-07,0.14087
1.1863,2.3513e-07,0.13639
1.2163,2.0134e-07,0.15474
1.2471,1.9381e-07,0.16152
1.2787,2.6218e-07,0.12206
1.311,3.1653e-07,0.10754
1.3442,2.9014e-07,0.11775
1.3782,2.3616e-07,0.14259
1.4131,2.5341e-07,0.13727
1.4489,2.0471e-07,0.16479
1.4856,2.8695e-07,0.11738
1.5232,3.1435e-07,0.11037
1.5618,1.9808e-07,0.17627
1.6013,2.9202e-07,0.12254
1.6418,2.6376e-07,0.13732
1.6834,2.8045e-07,0.13189
1.726,2.2044e-07,0.16882
1.7697,2.551e-07,0.1525
1.8145,2.7546e-07,0.13574
1.8604,2.3737e-07,0.16275
1.9075,3.0734e-07,0.1257
1.9558,3.1133e-07,0.12573
2.0053,2.7473e-07,0.14029
2.0561,1.6753e-07,0.23467
2.1081,2.7358e-07,0.14568
2.1615,2.6036e-07,0.15246
2.2162,2.6085e-07,0.15267
2.2723,2.0582e-07,0.19529
2.3299,2.9782e-07,0.14012
2.3888,2.5536e-07,0.16432
2.4493,2.5455e-07,0.16313
2.5113,2.2712e-07,0.18583
2.5749,2.447e-07,0.16687
2.6401,2.1078e-07,0.20051
2.7069,2.2464e-07,0.18857
2.7754,2.3686e-07,0.17854
2.8457,1.7622e-07,0.23984
2.9177,1.6353e-07,0.25818
2.9916,1.7876e-07,0.24297
3.0673,2.05e-07,0.21514
3.145,1.5144e-07,0.30029
3.2246,2.3351e-07,0.19653
3.3062,1.5384e-07,0.3042
3.3899,7.9399e-08,0.57481
3.4758,1.6172e-07,0.3026
3.5637,1.6151e-07,0.29303
3.654,2.4631e-07,0.2033
3.7465,2.877e-07,0.17259
3.8413,2.4136e-07,0.20764
3.9385,2.779e-07,0.18252
4.0382,3.0102e-07,0.16618
4.1405,3.0659e-07,0.16585
4.2453,2.1793e-07,0.23305
4.3528,2.8459e-07,0.17543
4.463,2.1334e-07,0.23949
4.5759,1.2164e-07,0.41161
4.6918,2.1599e-07,0.22409
4.8105,1.8353e-07,0.26283
4.9323,2.2674e-07,0.21003
5.0572,1.7754e-07,0.25856
5.1852,1.5473e-07,0.22726
5.3165,1.7108e-07,0.19582
5.4511,2.2824e-07,0.15044
5.5891,1.5861e-07,0.20982
5.7305,1.8359e-07,0.18107
5.8756,1.2773e-07,0.24494
6.0244,1.1709e-07,0.27854
6.1769,1.2639e-07,0.2656
6.3332,1.0915e-07,0.31026
6.4936,1.6958e-07,0.21198
6.6579,1.8162e-07,0.20376
6.8265,1.6332e-07,0.23212
6.9993,2.2835e-07,0.18578
7.1765,1.328e-07,0.3088
7.3582,1.9548e-07,0.21047
7.5444,1.8296e-07,0.22702
7.7354,1.6313e-07,0.26247
7.9312,1.2466e-07,0.36945
8.132,2.371e-07,0.20924
8.3379,2.6057e-07,0.19791
8.549,2.495e-07,0.20677
8.7654,2.8243e-07,0.19798
8.9873,1.8735e-07,0.27814
9.2148,2.2999e-07,0.22309
9.4481,2.8782e-07,0.19356
9.6872,2.2496e-07,0.25781
9.9325,2.0298e-07,0.28124
10.184,1.834e-07,0.3289
10.442,2.0774e-07,0.298
10.706,1.8841e-07,0.32737
10.977,1.7388e-07,0.36189
11.255,4.8415e-08,1.3464
11.54,2.035e-07,0.33206
11.832,1.5557e-07,0.4572
12.132,2.9544e-07,0.23922
12.439,3.9594e-07,0.18331
12.754,3.9617e-07,0.18259
13.076,3.4973e-07,0.2134
13.407,2.9199e-07,0.23686
13.747,2.877e-07,0.23295
14.095,2.9559e-07,0.21515
14.452,2.3305e-07,0.26302
14.818,2.3737e-07,0.22658
15.193,1.5453e-07,0.3082
15.577,1.3386e-07,0.31755
15.972,7.2098e-08,0.52444
16.376,6.3582e-08,0.57384
16.79,1.5948e-07,0.19669
17.216,5.0924e-08,0.47927
17.651,1.3006e-08,1.6196
18.098,2.0023e-09,7.4191
18.556,-3.0089e-08,0.52457
19.026,-4.1652e-08,0.39384
19.508,6.6526e-09,2.2086
20.002,9.9205e-09,1.4678
