Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.4823,2.583e-07,0.26005
0.49451,3.1194e-07,0.21612
0.50703,1.7163e-07,0.37065
0.51986,2.0759e-07,0.31787
0.53302,1.6955e-07,0.35727
0.54652,2.6667e-07,0.22462
0.56035,2.2122e-07,0.27028
0.57454,2.085e-07,0.28366
0.58908,3.2398e-07,0.16353
0.60399,3.1635e-07,0.17127
0.61929,2.6364e-07,0.2083
0.63496,3.0802e-07,0.17568
0.65104,2.4323e-07,0.20696
0.66752,3.4311e-07,0.157
0.68442,4.3842e-07,0.11307
0.70174,4.0614e-07,0.12039
0.71951,3.0844e-07,0.15482
0.73772,3.1763e-07,0.15013
0.7564,4.2034e-07,0.11082
0.77554,3.5249e-07,0.12898
0.79518,3.4721e-07,0.13308
0.81531,3.6793e-07,0.12161
0.83595,3.9329e-07,0.11075
0.85711,3.7021e-07,0.12115
0.87881,4.7825e-07,0.098154
0.90105,4.57e-07,0.095391
0.92386,4.3739e-07,0.10744
0.94725,4.6237e-07,0.10284
0.97123,4.9351e-07,0.097079
0.99582,4.9611e-07,0.099273
1.021,4.5847e-07,0.10945
1.0469,5.0298e-07,0.098173
1.0734,5.6203e-07,0.085248
1.1006,6.4247e-07,0.073075
1.1284,5.7558e-07,0.083243
1.157,5.8702e-07,0.081974
1.1863,5.3724e-07,0.086352
1.2163,5.6567e-07,0.079982
1.2471,5.2177e-07,0.092546
1.2787,5.8786e-07,0.080677
1.311,5.931e-07,0.079202
1.3442,5.634e-07,0.087002
1.3782,6.4944e-07,0.077801
1.4131,6.0544e-07,0.081305
1.4489,6.5716e-07,0.074098
1.4856,5.8179e-07,0.084323
1.5232,5.1071e-07,0.092776
1.5618,6.5217e-07,0.075886
1.6013,6.0254e-07,0.083006
1.6418,7.3689e-07,0.068224
1.6834,8.2544e-07,0.061633
1.726,7.7601e-07,0.066321
1.7697,6.9593e-07,0.074488
1.8145,7.6091e-07,0.067876
1.8604,6.9058e-07,0.07392
1.9075,7.2667e-07,0.067764
1.9558,6.8984e-07,0.074183
2.0053,7.4688e-07,0.069158
2.0561,7.3736e-07,0.068436
2.1081,7.5331e-07,0.069633
2.1615,7.1515e-07,0.070298
2.2162,6.6452e-07,0.075695
2.2723,6.5478e-07,0.079409
2.3299,5.6578e-07,0.086655
2.3888,5.7747e-07,0.084454
2.4493,5.2792e-07,0.086963
2.5113,4.4303e-07,0.098172
2.5749,4.1379e-07,0.1045
2.6401,5.7478e-07,0.07951
2.7069,1.112e-06,0.051408
2.7754,7.2572e-07,0.072619
2.8457,5.5828e-07,0.09176
2.9177,3.6982e-07,0.13259
2.9916,3.2252e-07,0.14199
3.0673,2.925e-07,0.15158
3.145,3.1045e-07,0.14253
3.2246,2.3583e-07,0.19029
3.3062,2.7733e-07,0.15951
3.3899,4.0548e-07,0.11295
3.4758,4.2255e-07,0.11291
3.5637,4.2254e-07,0.1202
3.654,5.6594e-07,0.091154
3.7465,5.7617e-07,0.092197
3.8413,5.295e-07,0.10049
3.9385,7.2638e-07,0.073037
4.0382,7.2048e-07,0.077152
4.1405,9.0558e-07,0.064559
4.2453,1.0552e-06,0.057216
4.3528,1.1543e-06,0.057797
4.463,1.5429e-06,0.044821
4.5759,1.7551e-06,0.042461
4.6918,1.8034e-06,0.042195
4.8105,1.6019e-06,0.04463
4.9323,1.5404e-06,0.046193
5.0572,1.467e-06,0.049305
5.1852,1.4251e-06,0.052592
5.3165,1.389e-06,0.055549
5.4511,1.1069e-06,0.064267
5.5891,9.287e-07,0.069444
5.7305,7.5008e-07,0.08183
5.8756,1.0521e-06,0.063945
6.0244,1.7315e-06,0.05015
6.1769,2.0159e-06,0.045599
6.3332,2.2451e-06,0.043311
6.4936,2.457e-06,0.041189
6.6579,1.6503e-06,0.051328
6.8265,8.2438e-07,0.081188
6.9993,3.4622e-07,0.14823
7.1765,3.0639e-07,0.17811
7.3582,3.192e-07,0.17332
7.5444,4.9151e-07,0.12077
7.7354,8.473e-07,0.080024
7.9312,1.0726e-06,0.070941
8.132,1.1432e-06,0.06995
8.3379,1.3419e-06,0.062164
8.549,1.6016e-06,0.05892
8.7654,1.8419e-06,0.054878
8.9873,2.9089e-06,0.042061
9.2148,3.283e-06,0.039082
9.4481,4.6963e-06,0.032516
9.6872,5.4065e-06,0.030381
9.9325,3.6875e-06,0.03729
10.184,1.48e-06,0.062421
10.442,1.0495e-06,0.079056
10.706,1.0363e-06,0.079286
10.977,1.2466e-06,0.076646
11.255,1.3365e-06,0.066686
11.54,1.8517e-06,0.05677
11.832,2.7574e-06,0.045773
12.132,3.528e-06,0.040599
12.439,5.6829e-06,0.03132
12.754,1.0628e-05,0.022877
13.076,1.9682e-05,0.016801
13.407,3.8276e-05,0.012078
13.747,9.1738e-05,0.007832
14.095,0.00014421,0.0062607
14.452,8.1482e-05,0.008308
14.818,1.7394e-05,0.017983
15.193,3.7909e-06,0.039108
15.577,1.2969e-06,0.066561
15.972,3.8288e-07,0.13608
16.376,1.8807e-07,0.17554
16.79,6.3882e-08,0.39694
17.216,8.7358e-08,0.30573
17.651,1.1446e-08,2.02
18.098,8.3923e-09,1.9187
18.556,-1.1885e-08,1.4581
19.026,1.8938e-08,0.80018
19.508,-1.1568e-08,1.2485
20.002,-3.5436e-08,0.57316
