Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.4823,1.1615e-07,0.64212
0.49451,1.4405e-07,0.51332
0.50703,3.2402e-07,0.20924
0.51986,3.3395e-07,0.19962
0.53302,3.0187e-07,0.21423
0.54652,3.4901e-07,0.17958
0.56035,3.3861e-07,0.17918
0.57454,1.9272e-07,0.30933
0.58908,1.8668e-07,0.31092
0.60399,3.1057e-07,0.17516
0.61929,3.0384e-07,0.1889
0.63496,2.7611e-07,0.19654
0.65104,2.7513e-07,0.19762
0.66752,4.0075e-07,0.13272
0.68442,4.3081e-07,0.119
0.70174,4.0115e-07,0.12674
0.71951,3.3783e-07,0.14411
0.73772,3.6816e-07,0.1338
0.7564,3.4927e-07,0.13708
0.77554,3.8371e-07,0.11535
0.79518,3.1999e-07,0.14121
0.81531,3.321e-07,0.13698
0.83595,4.3566e-07,0.10743
0.85711,3.99e-07,0.11667
0.87881,5.0114e-07,0.093369
0.90105,3.8956e-07,0.11754
0.92386,5.1015e-07,0.090764
0.94725,4.0803e-07,0.11063
0.97123,4.2849e-07,0.11086
0.99582,4.5652e-07,0.10485
1.021,3.9373e-07,0.12261
1.0469,4.2427e-07,0.10848
1.0734,4.4817e-07,0.10962
1.1006,4.6485e-07,0.10096
1.1284,5.4415e-07,0.086218
1.157,4.7367e-07,0.099691
1.1863,4.5813e-07,0.10028
1.2163,5.0718e-07,0.094164
1.2471,5.4176e-07,0.09096
1.2787,5.2266e-07,0.087526
1.311,4.8454e-07,0.10239
1.3442,5.9202e-07,0.089364
1.3782,4.9807e-07,0.099254
1.4131,5.439e-07,0.094197
1.4489,5.6328e-07,0.085768
1.4856,5.483e-07,0.094014
1.5232,6.3255e-07,0.079439
1.5618,5.6899e-07,0.086787
1.6013,5.3992e-07,0.093607
1.6418,5.8105e-07,0.08974
1.6834,5.5286e-07,0.095181
1.726,5.8211e-07,0.088468
1.7697,5.9968e-07,0.086795
1.8145,6.3474e-07,0.078864
1.8604,6.0648e-07,0.083777
1.9075,5.9425e-07,0.085816
1.9558,5.8257e-07,0.086897
2.0053,6.5808e-07,0.077047
2.0561,5.7937e-07,0.089154
2.1081,6.025e-07,0.087254
2.1615,5.4376e-07,0.091762
2.2162,5.6766e-07,0.087292
2.2723,5.263e-07,0.094049
2.3299,5.7932e-07,0.085454
2.3888,5.8226e-07,0.084614
2.4493,5.769e-07,0.08218
2.5113,4.0822e-07,0.11221
2.5749,3.6247e-07,0.12665
2.6401,3.7556e-07,0.11967
2.7069,3.5462e-07,0.12108
2.7754,2.2118e-07,0.19455
2.8457,3.8899e-07,0.10499
2.9177,4.1849e-07,0.10901
2.9916,3.6097e-07,0.12801
3.0673,4.5331e-07,0.101
3.145,2.3313e-07,0.19261
3.2246,2.7934e-07,0.14503
3.3062,3.232e-07,0.12768
3.3899,3.1241e-07,0.13709
3.4758,3.3852e-07,0.12364
3.5637,3.0749e-07,0.14603
3.654,4.7449e-07,0.095632
3.7465,4.8033e-07,0.10059
3.8413,5.2297e-07,0.093865
3.9385,6.1909e-07,0.08145
4.0382,5.7786e-07,0.088473
4.1405,6.1258e-07,0.089506
4.2453,6.7037e-07,0.077991
4.3528,6.7234e-07,0.082025
4.463,8.4057e-07,0.068948
4.5759,9.6637e-07,0.064281
4.6918,1.1084e-06,0.058988
4.8105,1.1641e-06,0.055697
4.9323,1.0336e-06,0.06237
5.0572,1.1947e-06,0.054641
5.1852,1.1649e-06,0.062057
5.3165,9.3598e-07,0.068248
5.4511,8.1976e-07,0.072799
5.5891,6.6239e-07,0.085954
5.7305,5.7276e-07,0.096461
5.8756,5.724e-07,0.097153
6.0244,4.4908e-07,0.11372
6.1769,4.7507e-07,0.10981
6.3332,4.862e-07,0.10998
6.4936,7.4158e-07,0.083931
6.6579,1.0087e-06,0.06687
6.8265,9.4962e-07,0.073081
6.9993,8.6924e-07,0.078312
7.1765,5.8201e-07,0.098905
7.3582,3.6237e-07,0.13987
7.5444,3.4968e-07,0.14585
7.7354,2.8225e-07,0.19022
7.9312,3.3128e-07,0.1673
8.132,4.8815e-07,0.11987
8.3379,6.8672e-07,0.094582
8.549,6.5948e-07,0.097759
8.7654,9.2906e-07,0.080226
8.9873,1.2338e-06,0.069481
9.2148,1.4811e-06,0.062814
9.4481,2.2241e-06,0.047909
9.6872,2.8589e-06,0.043854
9.9325,4.0794e-06,0.035075
10.184,4.066e-06,0.035466
10.442,2.8083e-06,0.044103
10.706,1.3717e-06,0.067277
10.977,6.3949e-07,0.108
11.255,5.0497e-07,0.13124
11.54,6.1249e-07,0.12246
11.832,6.0616e-07,0.11273
12.132,6.9087e-07,0.10436
12.439,8.0587e-07,0.10102
12.754,1.2255e-06,0.076035
13.076,2.0739e-06,0.05518
13.407,3.5462e-06,0.041184
13.747,6.7212e-06,0.029602
14.095,1.2434e-05,0.021484
14.452,2.0895e-05,0.016477
14.818,2.2331e-05,0.01588
15.193,1.1232e-05,0.022258
15.577,2.7409e-06,0.045203
15.972,5.5158e-07,0.11094
16.376,2.9838e-07,0.14203
16.79,1.1042e-07,0.23545
17.216,-2.3437e-08,1.0854
17.651,8.5812e-09,3.1103
18.098,-2.6803e-08,0.9181
18.556,-2.0614e-08,0.80446
19.026,1.6438e-09,11.784
19.508,2.0482e-08,0.76544
20.002,-2.7207e-09,6.2803
