Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,0.0,1.0
0.03161,-8.6949e-08,0.0
0.033231,-4.7837e-07,0.0
0.034935,-3.9204e-07,0.49979
0.036726,-2.8089e-07,0.87737
0.038609,-2.5565e-07,0.85058
0.040589,4.825e-08,4.1306
0.04267,-8.0453e-08,2.2479
0.044857,6.0785e-08,2.7205
0.047157,1.9636e-07,0.75373
0.049575,-1.5007e-07,0.93684
0.052117,-2.8577e-08,4.2534
0.054789,1.1231e-07,1.0084
0.057598,4.1707e-07,0.23894
0.060551,4.1322e-07,0.20876
0.063656,3.4833e-07,0.2336
0.066919,6.0766e-07,0.12278
0.07035,6.5402e-07,0.10635
0.073957,6.2554e-07,0.10121
0.077749,5.6186e-07,0.11035
0.081735,6.7552e-07,0.082196
0.085926,5.4307e-07,0.097715
0.090332,4.102e-07,0.11983
0.094963,4.3993e-07,0.10737
0.099832,5.0894e-07,0.08823
0.10495,7.3945e-07,0.060617
0.11033,9.2465e-07,0.05253
0.11599,1.0378e-06,0.046554
0.12193,1.2376e-06,0.040712
0.12819,1.3891e-06,0.037429
0.13476,1.5416e-06,0.034065
0.14167,1.4965e-06,0.03369
0.14893,1.286e-06,0.036952
0.15657,1.0824e-06,0.038663
0.16459,1.2755e-06,0.033423
0.17303,1.3165e-06,0.032722
0.18191,1.1518e-06,0.035351
0.19123,1.1363e-06,0.033871
0.20104,1.028e-06,0.035898
0.21134,1.0011e-06,0.037506
0.22218,1.2432e-06,0.031702
0.23357,1.5132e-06,0.027838
0.24555,1.6831e-06,0.025732
0.25814,1.9386e-06,0.023725
0.27137,2.3818e-06,0.021158
0.28528,2.6651e-06,0.019849
0.29991,2.7006e-06,0.019884
0.31529,2.8073e-06,0.019737
0.33145,2.3918e-06,0.021213
0.34845,2.2473e-06,0.022162
0.36631,2.1345e-06,0.022746
0.38509,1.4993e-06,0.027806
0.40484,1.0899e-06,0.034074
0.42559,1.042e-06,0.036371
0.44742,1.3927e-06,0.029297
0.47035,1.5822e-06,0.026672
0.49447,1.5198e-06,0.027325
0.51982,1.6497e-06,0.025133
0.54647,1.9684e-06,0.023105
0.57449,2.4427e-06,0.02048
0.60395,3.0106e-06,0.018129
0.63491,2.9896e-06,0.018266
0.66747,2.219e-06,0.02177
0.70169,1.5749e-06,0.026949
0.73766,9.3914e-07,0.037592
0.77548,6.464e-07,0.050061
0.81524,8.0304e-07,0.042354
0.85704,9.9844e-07,0.036671
0.90098,1.0967e-06,0.034367
0.94718,1.2941e-06,0.031029
0.99574,9.021e-07,0.040543
1.0468,7.964e-07,0.043843
1.1005,8.5027e-07,0.043728
1.1569,8.3848e-07,0.04357
1.2162,7.035e-07,0.051035
1.2786,4.8386e-07,0.064585
1.3441,3.5221e-07,0.089962
1.413,3.1207e-07,0.098967
1.4855,3.1793e-07,0.094261
1.5616,2.8881e-07,0.10661
1.6417,2.3339e-07,0.13283
1.7259,1.8015e-07,0.20856
1.8144,2.059e-07,0.16108
1.9074,1.2589e-07,0.24858
2.0052,1.4214e-07,0.19655
2.108,1.1231e-07,0.2358
2.2161,1.2685e-07,0.21574
2.3297,1.1449e-07,0.20588
2.4491,1.044e-07,0.21793
2.5747,8.7718e-08,0.23802
2.7067,8.3072e-08,0.25843
2.8455,8.3564e-08,0.22778
2.9914,2.4256e-08,0.74903
3.1447,3.7576e-08,0.45369
3.306,2.8691e-08,0.66843
3.4755,6.549e-08,0.28033
3.6537,3.6246e-08,0.52355
3.841,4.0621e-08,0.40979
4.0379,5.1104e-08,0.31766
4.245,5.0672e-08,0.33719
4.4626,6.1895e-08,0.30928
4.6914,7.9823e-09,2.0667
4.9319,3.6692e-08,0.44309
5.1848,1.2709e-08,1.3739
5.4506,3.9486e-08,0.43296
5.7301,4.9828e-09,3.9813
6.0239,3.3274e-08,0.58406
6.3327,1.0617e-08,1.5871
6.6574,2.0351e-08,0.87009
6.9988,1.9228e-08,0.82869
7.3576,4.4008e-08,0.4571
7.7348,1.4442e-08,1.5163
8.1314,3.5081e-09,6.1074
8.5483,2.0919e-08,1.1177
8.9866,3.8528e-08,0.60709
9.4473,3.2329e-08,0.62723
9.9317,1.189e-08,1.9441
10.441,5.3003e-08,0.43957
10.976,7.2998e-08,0.34095
11.539,2.6426e-08,0.80497
12.131,1.2121e-08,2.1468
12.753,4.8643e-08,0.44177
13.406,1.3265e-07,0.21104
14.094,5.6606e-07,0.079151
14.816,2.4708e-06,0.03459
15.576,8.661e-07,0.060841
16.375,9.7725e-10,11.416
17.214,-1.5249e-08,0.81689
18.097,-3.4816e-09,2.6384
19.025,-9.0764e-10,12.102
20.0,-4.7465e-10,20.056
