Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,0.0,1.0
0.03161,0.0,1.0
0.033231,1.9834e-07,0.0
0.034935,6.7753e-08,2.4348
0.036726,-4.6945e-07,0.60493
0.038609,-1.627e-07,1.4893
0.040589,-1.9115e-07,1.1624
0.04267,-2.1198e-07,0.96436
0.044857,-1.2125e-07,1.6018
0.047157,1.0268e-07,1.7073
0.049575,2.2631e-07,0.70332
0.052117,1.9305e-09,72.807
0.054789,1.8841e-07,0.66278
0.057598,3.187e-07,0.32987
0.060551,3.5742e-07,0.27204
0.063656,4.6636e-07,0.18547
0.066919,5.5371e-07,0.14412
0.07035,5.1107e-07,0.14599
0.073957,6.4138e-07,0.10957
0.077749,5.9706e-07,0.106
0.081735,6.3308e-07,0.092578
0.085926,5.6539e-07,0.099736
0.090332,4.3927e-07,0.11833
0.094963,4.5346e-07,0.10635
0.099832,5.6667e-07,0.081846
0.10495,7.6964e-07,0.061782
0.11033,9.3641e-07,0.051289
0.11599,1.0974e-06,0.043619
0.12193,1.263e-06,0.038588
0.12819,1.5238e-06,0.032153
0.13476,1.5247e-06,0.032766
0.14167,1.4222e-06,0.033739
0.14893,1.351e-06,0.032342
0.15657,1.0962e-06,0.03596
0.16459,1.2333e-06,0.033136
0.17303,1.2768e-06,0.031468
0.18191,1.2232e-06,0.031753
0.19123,1.1662e-06,0.030936
0.20104,9.6724e-07,0.035949
0.21134,1.0817e-06,0.032458
0.22218,1.2817e-06,0.029599
0.23357,1.4574e-06,0.026281
0.24555,1.6301e-06,0.024413
0.25814,2.0211e-06,0.021445
0.27137,2.3484e-06,0.019446
0.28528,2.6921e-06,0.017801
0.29991,2.6335e-06,0.0182
0.31529,2.7715e-06,0.017614
0.33145,2.3331e-06,0.019493
0.34845,2.1415e-06,0.020469
0.36631,1.9738e-06,0.021316
0.38509,1.4361e-06,0.025812
0.40484,9.8325e-07,0.034797
0.42559,1.1283e-06,0.030981
0.44742,1.3916e-06,0.026874
0.47035,1.4976e-06,0.025112
0.49447,1.4616e-06,0.025143
0.51982,1.482e-06,0.024812
0.54647,1.8843e-06,0.021147
0.57449,2.35e-06,0.018349
0.60395,2.8723e-06,0.016646
0.63491,2.6978e-06,0.017318
0.66747,1.9801e-06,0.021191
0.70169,1.3704e-06,0.027266
0.73766,8.2022e-07,0.038889
0.77548,6.2819e-07,0.04757
0.81524,7.7441e-07,0.040409
0.85704,9.386e-07,0.034279
0.90098,9.8314e-07,0.034307
0.94718,1.0367e-06,0.033918
0.99574,7.4367e-07,0.044228
1.0468,6.312e-07,0.049246
1.1005,7.0247e-07,0.04581
1.1569,6.5023e-07,0.051094
1.2162,5.3873e-07,0.061555
1.2786,3.2783e-07,0.09471
1.3441,3.053e-07,0.095462
1.413,3.082e-07,0.10078
1.4855,2.612e-07,0.11566
1.5616,2.6973e-07,0.11335
1.6417,2.7397e-07,0.11067
1.7259,2.3016e-07,0.14339
1.8144,1.5615e-07,0.2035
1.9074,9.661e-08,0.29552
2.0052,1.0042e-07,0.29824
2.108,9.6052e-08,0.301
2.2161,1.0023e-07,0.25084
2.3297,8.7939e-08,0.2677
2.4491,7.7267e-08,0.3051
2.5747,8.8708e-08,0.2185
2.7067,6.2251e-08,0.30193
2.8455,2.3684e-08,0.78157
2.9914,5.9521e-08,0.29979
3.1447,4.9865e-08,0.36032
3.306,4.9366e-08,0.34199
3.4755,6.257e-08,0.26133
3.6537,3.1782e-08,0.47583
3.841,4.7585e-08,0.34864
4.0379,3.1574e-08,0.53419
4.245,1.071e-09,16.676
4.4626,3.4886e-08,0.5024
4.6914,2.19e-08,0.8002
4.9319,1.8842e-08,0.90245
5.1848,5.578e-08,0.30215
5.4506,-3.0747e-08,0.63535
5.7301,1.814e-08,1.1611
6.0239,1.316e-08,1.6065
6.3327,-2.8148e-08,0.6802
6.6574,6.058e-08,0.27657
6.9988,-4.4906e-09,3.8715
7.3576,2.5997e-08,0.71016
7.7348,2.1067e-08,0.91714
8.1314,1.6514e-08,1.1719
8.5483,2.917e-08,0.69548
8.9866,3.4527e-08,0.63285
9.4473,6.9147e-08,0.30058
9.9317,5.1213e-09,4.3089
10.441,5.2823e-08,0.37659
10.976,2.6222e-08,0.78239
11.539,9.8752e-09,2.3762
12.131,4.9225e-08,0.45851
12.753,3.1651e-09,7.8066
13.406,8.2644e-08,0.27084
14.094,2.5438e-07,0.1127
14.816,7.4386e-07,0.056791
15.576,2.0383e-07,0.1286
16.375,1.0537e-08,1.2003
17.214,-2.4636e-08,0.54727
18.097,-7.5211e-09,1.5356
19.025,-7.6461e-09,1.5091
20.0,-1.1492e-08,0.88304
