Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,0.0,1.0
0.03161,0.0,1.0
0.033231,-3.8901e-07,0.0
0.034935,-6.3651e-07,0.006749
0.036726,-2.7278e-07,0.54405
0.038609,-8.2622e-08,1.7593
0.040589,1.106e-07,1.1618
0.04267,-1.6324e-07,0.72608
0.044857,-7.8767e-08,1.4508
0.047157,1.6232e-07,0.63859
0.049575,-4.3306e-08,2.2273
0.052117,1.9538e-07,0.43099
0.054789,2.2961e-07,0.31629
0.057598,2.4646e-07,0.27271
0.060551,4.0707e-07,0.15023
0.063656,4.415e-07,0.12165
0.066919,5.689e-07,0.090529
0.07035,5.7565e-07,0.082269
0.073957,6.2196e-07,0.072662
0.077749,6.1569e-07,0.069247
0.081735,6.1487e-07,0.064132
0.085926,4.0522e-07,0.089114
0.090332,3.6194e-07,0.092196
0.094963,4.2351e-07,0.0757
0.099832,5.0221e-07,0.062208
0.10495,7.2521e-07,0.045514
0.11033,9.6051e-07,0.036023
0.11599,1.1133e-06,0.032004
0.12193,1.1901e-06,0.029924
0.12819,1.3369e-06,0.027075
0.13476,1.442e-06,0.025157
0.14167,1.2795e-06,0.026745
0.14893,1.0372e-06,0.030363
0.15657,1.0625e-06,0.028223
0.16459,1.1466e-06,0.026185
0.17303,1.1948e-06,0.02542
0.18191,1.0573e-06,0.026972
0.19123,9.6156e-07,0.027748
0.20104,9.4096e-07,0.028122
0.21134,1.0104e-06,0.026802
0.22218,1.1723e-06,0.024266
0.23357,1.2871e-06,0.022899
0.24555,1.5564e-06,0.020079
0.25814,1.88e-06,0.017805
0.27137,2.1548e-06,0.01659
0.28528,2.2804e-06,0.016065
0.29991,2.3893e-06,0.015721
0.31529,2.2924e-06,0.016048
0.33145,1.9131e-06,0.017992
0.34845,1.8564e-06,0.018074
0.36631,1.4318e-06,0.021509
0.38509,1.0186e-06,0.026988
0.40484,9.4245e-07,0.027723
0.42559,1.0366e-06,0.02629
0.44742,1.1321e-06,0.02524
0.47035,1.2163e-06,0.023908
0.49447,1.2056e-06,0.023448
0.51982,1.4124e-06,0.020711
0.54647,1.6902e-06,0.018754
0.57449,2.1324e-06,0.016278
0.60395,2.3939e-06,0.015409
0.63491,2.0346e-06,0.017226
0.66747,1.3164e-06,0.022842
0.70169,9.2773e-07,0.028807
0.73766,6.1284e-07,0.037519
0.77548,5.3862e-07,0.040718
0.81524,5.7551e-07,0.039728
0.85704,7.3544e-07,0.033244
0.90098,7.5213e-07,0.032922
0.94718,6.8423e-07,0.036195
0.99574,5.1383e-07,0.045863
1.0468,4.4803e-07,0.051776
1.1005,5.0434e-07,0.047457
1.1569,4.5287e-07,0.053311
1.2162,3.8715e-07,0.059682
1.2786,2.5161e-07,0.088818
1.3441,2.1394e-07,0.10281
1.413,1.97e-07,0.11156
1.4855,1.9421e-07,0.11557
1.5616,1.7918e-07,0.1259
1.6417,1.9731e-07,0.11339
1.7259,1.6581e-07,0.1525
1.8144,1.2759e-07,0.18912
1.9074,1.2798e-07,0.16895
2.0052,5.4732e-08,0.38792
2.108,9.0319e-08,0.23329
2.2161,1.1809e-07,0.16763
2.3297,5.7048e-08,0.34433
2.4491,6.9795e-08,0.27724
2.5747,9.1375e-08,0.21858
2.7067,4.4648e-08,0.40857
2.8455,2.9971e-08,0.53844
2.9914,7.3662e-08,0.21047
3.1447,3.0292e-08,0.45487
3.306,4.0264e-08,0.34721
3.4755,3.8067e-08,0.35075
3.6537,9.2721e-09,1.4452
3.841,2.8107e-08,0.45809
4.0379,1.1678e-08,1.1448
4.245,2.9863e-08,0.42592
4.4626,3.9881e-08,0.34595
4.6914,2.1547e-08,0.61012
4.9319,4.5879e-08,0.31405
5.1848,2.0943e-08,0.61986
5.4506,1.9855e-08,0.68369
5.7301,3.2568e-08,0.46902
6.0239,1.7047e-09,8.5034
6.3327,2.0952e-08,0.70476
6.6574,4.2848e-08,0.37652
6.9988,2.3964e-08,0.65377
7.3576,1.7235e-08,1.0299
7.7348,2.7466e-08,0.53635
8.1314,2.8898e-08,0.5343
8.5483,3.6766e-08,0.45109
8.9866,1.8363e-08,0.87072
9.4473,1.3879e-08,1.2189
9.9317,9.626e-09,1.5678
10.441,7.6812e-10,20.321
10.976,3.5988e-08,0.46982
11.539,4.6681e-10,35.277
12.131,2.5817e-09,6.0042
12.753,4.7267e-08,0.34185
13.406,8.5097e-08,0.20084
14.094,9.0701e-08,0.20049
14.816,1.4384e-07,0.12609
15.576,1.137e-08,0.85585
16.375,-7.1204e-09,0.98635
17.214,2.2511e-09,2.7815
18.097,1.9071e-08,0.38758
19.025,-2.7879e-10,18.746
20.0,1.3243e-09,4.4015
