Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.011629,0.0,1.0
0.012225,0.0,1.0
0.012852,0.0,1.0
0.013511,0.0,1.0
0.014203,0.0,1.0
0.014932,0.0,1.0
0.015697,0.0,1.0
0.016502,0.0,1.0
0.017348,0.0,1.0
0.018238,0.0,1.0
0.019173,0.0,1.0
0.020156,0.0,1.0
0.021189,0.0,1.0
0.022275,0.0,1.0
0.023418,0.0,1.0
0.024618,0.0,1.0
0.02588,0.0,1.0
0.027207,0.0,1.0
0.028602,0.0,1.0
0.030069,-7.6374e-08,0.0
0.03161,-1.1852e-06,0.0
0.033231,-8.9447e-07,0.24368
0.034935,-1.0685e-06,0.26782
0.036726,-2.4588e-07,0.99059
0.038609,-7.5674e-07,0.30096
0.040589,-5.4208e-07,0.38203
0.04267,-1.1456e-07,1.6744
0.044857,1.3786e-07,1.2426
0.047157,-4.8776e-07,0.35263
0.049575,9.4185e-08,1.5596
0.052117,3.1112e-07,0.43265
0.054789,1.2881e-07,0.90227
0.057598,4.464e-07,0.24421
0.060551,5.3244e-07,0.18231
0.063656,7.0879e-07,0.12517
0.066919,7.3812e-07,0.11302
0.07035,6.3596e-07,0.1165
0.073957,6.1684e-07,0.11176
0.077749,7.0253e-07,0.095693
0.081735,6.0722e-07,0.099917
0.085926,5.6038e-07,0.095324
0.090332,5.4611e-07,0.093606
0.094963,6.9806e-07,0.072536
0.099832,8.7694e-07,0.06272
0.10495,1.0861e-06,0.050637
0.11033,1.1911e-06,0.048531
0.11599,1.3816e-06,0.041947
0.12193,1.654e-06,0.036487
0.12819,1.8577e-06,0.033198
0.13476,1.5815e-06,0.037437
0.14167,1.3129e-06,0.037973
0.14893,1.2283e-06,0.038386
0.15657,1.493e-06,0.03256
0.16459,1.3573e-06,0.034775
0.17303,1.3362e-06,0.033309
0.18191,1.2056e-06,0.03506
0.19123,1.0012e-06,0.038662
0.20104,1.2673e-06,0.032431
0.21134,1.526e-06,0.029268
0.22218,1.529e-06,0.029848
0.23357,1.8101e-06,0.026172
0.24555,2.1899e-06,0.023988
0.25814,2.7648e-06,0.020566
0.27137,2.8352e-06,0.020577
0.28528,3.0497e-06,0.019832
0.29991,3.302e-06,0.01892
0.31529,2.6952e-06,0.020637
0.33145,2.5455e-06,0.021737
0.34845,2.4263e-06,0.021862
0.36631,1.6464e-06,0.02758
0.38509,1.0974e-06,0.035155
0.40484,1.1701e-06,0.033923
0.42559,1.3717e-06,0.03135
0.44742,1.6474e-06,0.02813
0.47035,1.6e-06,0.028342
0.49447,1.5515e-06,0.028289
0.51982,1.8834e-06,0.024791
0.54647,2.3379e-06,0.02206
0.57449,3.1653e-06,0.018438
0.60395,3.638e-06,0.017322
0.63491,2.9709e-06,0.019485
0.66747,2.0445e-06,0.024332
0.70169,1.3791e-06,0.030377
0.73766,7.417e-07,0.04739
0.77548,7.6885e-07,0.044531
0.81524,9.8064e-07,0.038417
0.85704,1.1272e-06,0.034788
0.90098,1.5183e-06,0.029038
0.94718,1.2847e-06,0.033446
0.99574,8.3612e-07,0.045943
1.0468,8.2441e-07,0.045003
1.1005,9.8128e-07,0.040565
1.1569,9.8582e-07,0.040924
1.2162,7.0733e-07,0.052253
1.2786,4.9632e-07,0.066531
1.3441,4.6627e-07,0.070063
1.413,3.4489e-07,0.093597
1.4855,3.2814e-07,0.094053
1.5616,2.837e-07,0.10651
1.6417,3.1921e-07,0.096266
1.7259,3.5002e-07,0.10398
1.8144,2.2702e-07,0.1394
1.9074,2.0312e-07,0.15463
2.0052,1.8236e-07,0.16046
2.108,1.6374e-07,0.1699
2.2161,1.8367e-07,0.14447
2.3297,1.48e-07,0.16964
2.4491,8.5409e-08,0.26088
2.5747,6.62e-08,0.34306
2.7067,9.8724e-08,0.23283
2.8455,7.1965e-08,0.26777
2.9914,1.0146e-07,0.20869
3.1447,3.6666e-08,0.56675
3.306,6.8971e-08,0.3132
3.4755,3.2656e-08,0.67371
3.6537,4.3908e-08,0.45812
3.841,1.982e-08,1.0558
4.0379,2.658e-08,0.64671
4.245,2.9293e-08,0.62174
4.4626,3.0684e-08,0.62456
4.6914,3.4842e-08,0.50058
4.9319,4.4461e-08,0.38856
5.1848,1.3411e-08,1.23
5.4506,2.0126e-08,0.92098
5.7301,1.2451e-08,1.5262
6.0239,5.4564e-08,0.34045
6.3327,5.6628e-08,0.32115
6.6574,2.3408e-08,0.78781
6.9988,5.1888e-08,0.33171
7.3576,2.2443e-08,0.83303
7.7348,2.7518e-08,0.78862
8.1314,3.0115e-08,0.67112
8.5483,5.4592e-08,0.48082
8.9866,4.1421e-08,0.52165
9.4473,2.5713e-08,1.0165
9.9317,7.001e-09,3.4779
10.441,2.894e-08,0.83563
10.976,2.0884e-08,1.3659
11.539,4.5908e-08,0.55949
12.131,1.3843e-08,1.7507
12.753,2.998e-08,0.72587
13.406,3.3626e-08,0.74796
14.094,1.5706e-07,0.18032
14.816,1.0358e-06,0.060768
15.576,6.0736e-06,0.022683
16.375,2.8222e-06,0.03282
17.214,1.6632e-07,0.15828
18.097,3.4908e-09,4.1489
19.025,-1.0514e-08,1.0473
20.0,1.2831e-10,81.992
