Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.4823,2.6228e-07,0.33481
0.49451,4.3294e-07,0.19956
0.50703,4.8987e-07,0.16322
0.51986,5.384e-07,0.14938
0.53302,6.1594e-07,0.14049
0.54652,7.3134e-07,0.10482
0.56035,5.6396e-07,0.13702
0.57454,5.6413e-07,0.14077
0.58908,6.9653e-07,0.10175
0.60399,8.3294e-07,0.094032
0.61929,8.7203e-07,0.087686
0.63496,8.6209e-07,0.083519
0.65104,9.1153e-07,0.077994
0.66752,7.6383e-07,0.094721
0.68442,8.6106e-07,0.082188
0.70174,1.1237e-06,0.065178
0.71951,9.6326e-07,0.069848
0.73772,9.6713e-07,0.069869
0.7564,9.5886e-07,0.069839
0.77554,9.637e-07,0.067507
0.79518,1.0202e-06,0.068229
0.81531,1.1062e-06,0.062539
0.83595,1.1269e-06,0.059673
0.85711,1.1893e-06,0.057794
0.87881,1.147e-06,0.061611
0.90105,1.2533e-06,0.056706
0.92386,1.1734e-06,0.05791
0.94725,1.3007e-06,0.054063
0.97123,1.3309e-06,0.054032
0.99582,1.2581e-06,0.05482
1.021,1.3722e-06,0.052459
1.0469,1.3927e-06,0.052576
1.0734,1.4379e-06,0.051389
1.1006,1.3958e-06,0.05226
1.1284,1.3907e-06,0.052445
1.157,1.3856e-06,0.050971
1.1863,1.5762e-06,0.047224
1.2163,1.4948e-06,0.048708
1.2471,1.6317e-06,0.044846
1.2787,1.44e-06,0.051406
1.311,1.4433e-06,0.051941
1.3442,1.5165e-06,0.049507
1.3782,1.6858e-06,0.045427
1.4131,1.5439e-06,0.049822
1.4489,1.5953e-06,0.048726
1.4856,1.625e-06,0.046922
1.5232,1.7707e-06,0.044721
1.5618,1.7082e-06,0.046578
1.6013,1.7624e-06,0.045925
1.6418,1.6843e-06,0.047229
1.6834,1.885e-06,0.043614
1.726,1.7905e-06,0.04523
1.7697,1.7008e-06,0.047294
1.8145,1.7693e-06,0.044489
1.8604,1.9096e-06,0.043234
1.9075,1.96e-06,0.040723
1.9558,1.9745e-06,0.042239
2.0053,1.8762e-06,0.04205
2.0561,1.7449e-06,0.045439
2.1081,1.6561e-06,0.04711
2.1615,1.8114e-06,0.04442
2.2162,1.7755e-06,0.045814
2.2723,1.7254e-06,0.046594
2.3299,1.7998e-06,0.044608
2.3888,1.8021e-06,0.043809
2.4493,1.63e-06,0.048253
2.5113,1.5435e-06,0.050533
2.5749,1.4715e-06,0.051799
2.6401,1.4007e-06,0.054493
2.7069,1.2119e-06,0.061342
2.7754,1.1123e-06,0.064428
2.8457,1.0661e-06,0.067239
2.9177,1.2289e-06,0.059324
2.9916,1.4401e-06,0.05448
3.0673,1.4961e-06,0.05404
3.145,1.335e-06,0.058382
3.2246,1.2351e-06,0.062124
3.3062,1.0834e-06,0.067957
3.3899,9.9848e-07,0.07172
3.4758,1.0374e-06,0.070684
3.5637,1.0849e-06,0.070291
3.654,1.0583e-06,0.074427
3.7465,1.2966e-06,0.064076
3.8413,1.4778e-06,0.058024
3.9385,1.5296e-06,0.057705
4.0382,1.8603e-06,0.050634
4.1405,1.9719e-06,0.048505
4.2453,1.8842e-06,0.051564
4.3528,2.1092e-06,0.048244
4.463,2.4057e-06,0.04399
4.5759,2.8326e-06,0.039408
4.6918,3.2185e-06,0.036488
4.8105,3.6203e-06,0.034199
4.9323,3.7097e-06,0.033688
5.0572,3.9594e-06,0.032828
5.1852,3.5063e-06,0.039096
5.3165,2.7179e-06,0.044256
5.4511,2.4641e-06,0.046516
5.5891,1.965e-06,0.052412
5.7305,1.7052e-06,0.058698
5.8756,1.3733e-06,0.066599
6.0244,1.2424e-06,0.071993
6.1769,1.0217e-06,0.082603
6.3332,1.1862e-06,0.07464
6.4936,1.4459e-06,0.064108
6.6579,1.952e-06,0.055897
6.8265,2.0164e-06,0.056576
6.9993,2.3909e-06,0.050955
7.1765,1.965e-06,0.056257
7.3582,1.3814e-06,0.072369
7.5444,9.8834e-07,0.088575
7.7354,8.6717e-07,0.097403
7.9312,8.9978e-07,0.099205
8.132,1.0059e-06,0.096591
8.3379,1.3001e-06,0.077025
8.549,1.5147e-06,0.073007
8.7654,1.9155e-06,0.064189
8.9873,2.5232e-06,0.052447
9.2148,3.2882e-06,0.047202
9.4481,5.0885e-06,0.037037
9.6872,7.986e-06,0.028647
9.9325,1.1589e-05,0.023953
10.184,1.6293e-05,0.020238
10.442,1.5866e-05,0.020588
10.706,9.79e-06,0.026828
10.977,3.9072e-06,0.043884
11.255,1.7892e-06,0.07363
11.54,1.3609e-06,0.092611
11.832,1.737e-06,0.076394
12.132,2.1873e-06,0.064999
12.439,2.7022e-06,0.05679
12.754,3.8469e-06,0.045466
13.076,5.3214e-06,0.039011
13.407,1.0394e-05,0.02734
13.747,2.1361e-05,0.018854
14.095,4.4248e-05,0.013041
14.452,9.1391e-05,0.0090306
14.818,0.00014356,0.0071851
15.193,0.00012474,0.0076369
15.577,5.2682e-05,0.011603
15.972,1.1585e-05,0.02442
16.376,2.6987e-06,0.050518
16.79,7.384e-07,0.099259
17.216,1.2219e-07,0.31494
17.651,3.2942e-08,0.92467
18.098,-2.5459e-08,0.8618
18.556,-3.1495e-08,0.74082
19.026,2.5824e-08,0.78295
19.508,-3.8684e-09,4.047
20.002,-1.102e-08,1.7509
