Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.4823,4.3973e-07,0.21898
0.49451,6.7218e-07,0.13987
0.50703,6.7425e-07,0.14089
0.51986,5.7695e-07,0.15212
0.53302,9.0229e-07,0.10566
0.54652,7.0878e-07,0.11979
0.56035,8.5933e-07,0.09834
0.57454,7.5509e-07,0.10835
0.58908,9.6118e-07,0.086702
0.60399,9.6032e-07,0.084415
0.61929,1.067e-06,0.075787
0.63496,1.0871e-06,0.075108
0.65104,1.0668e-06,0.075066
0.66752,1.1491e-06,0.068043
0.68442,1.1279e-06,0.07257
0.70174,1.2369e-06,0.064435
0.71951,1.2594e-06,0.062169
0.73772,1.2303e-06,0.06317
0.7564,1.2617e-06,0.061945
0.77554,1.2526e-06,0.060663
0.79518,1.4714e-06,0.052983
0.81531,1.3153e-06,0.057448
0.83595,1.45e-06,0.05398
0.85711,1.4208e-06,0.054632
0.87881,1.3109e-06,0.057487
0.90105,1.4938e-06,0.051288
0.92386,1.5997e-06,0.049119
0.94725,1.5e-06,0.053103
0.97123,1.7645e-06,0.047262
0.99582,1.8103e-06,0.045917
1.021,2.1366e-06,0.042966
1.0469,2.0237e-06,0.043673
1.0734,2.1294e-06,0.041303
1.1006,2.0483e-06,0.042471
1.1284,2.259e-06,0.039906
1.157,2.1353e-06,0.040573
1.1863,2.2946e-06,0.039317
1.2163,2.2141e-06,0.04002
1.2471,2.3174e-06,0.038407
1.2787,2.2634e-06,0.039631
1.311,2.5022e-06,0.038127
1.3442,2.6588e-06,0.036965
1.3782,2.6366e-06,0.035629
1.4131,2.9057e-06,0.034124
1.4489,2.8699e-06,0.034602
1.4856,2.9022e-06,0.033985
1.5232,3.0545e-06,0.032619
1.5618,3.0204e-06,0.032839
1.6013,2.9791e-06,0.03371
1.6418,3.1873e-06,0.032095
1.6834,3.2468e-06,0.031784
1.726,3.4275e-06,0.031279
1.7697,3.5355e-06,0.030012
1.8145,3.5916e-06,0.030266
1.8604,3.8921e-06,0.02864
1.9075,3.3107e-06,0.031236
1.9558,3.3261e-06,0.031457
2.0053,3.6012e-06,0.030408
2.0561,3.9279e-06,0.028605
2.1081,3.7741e-06,0.029622
2.1615,3.5324e-06,0.030957
2.2162,3.5708e-06,0.030276
2.2723,3.852e-06,0.029241
2.3299,3.6148e-06,0.03099
2.3888,3.6724e-06,0.030261
2.4493,3.3349e-06,0.03219
2.5113,3.1446e-06,0.033097
2.5749,2.8224e-06,0.035981
2.6401,2.2882e-06,0.040367
2.7069,1.6484e-06,0.052083
2.7754,3.7731e-06,0.030995
2.8457,6.5932e-06,0.022602
2.9177,5.016e-06,0.026162
2.9916,3.5675e-06,0.032192
3.0673,1.9927e-06,0.047567
3.145,1.4478e-06,0.061437
3.2246,1.3337e-06,0.064892
3.3062,1.278e-06,0.069667
3.3899,1.2249e-06,0.072578
3.4758,1.5022e-06,0.061205
3.5637,1.8579e-06,0.053167
3.654,2.1471e-06,0.049199
3.7465,2.4215e-06,0.045838
3.8413,2.7525e-06,0.041885
3.9385,2.671e-06,0.043644
4.0382,2.6331e-06,0.044011
4.1405,3.0721e-06,0.039827
4.2453,3.4803e-06,0.036829
4.3528,4.4526e-06,0.031821
4.463,4.9808e-06,0.029973
4.5759,6.0647e-06,0.026384
4.6918,6.4897e-06,0.025799
4.8105,6.7016e-06,0.025627
4.9323,7.4881e-06,0.023969
5.0572,6.5535e-06,0.026089
5.1852,6.1973e-06,0.030008
5.3165,5.9276e-06,0.030857
5.4511,5.5089e-06,0.032278
5.5891,5.0666e-06,0.033469
5.7305,4.365e-06,0.03619
5.8756,3.2029e-06,0.043374
6.0244,2.8489e-06,0.046323
6.1769,4.5923e-06,0.035444
6.3332,5.7768e-06,0.031815
6.4936,6.2553e-06,0.031008
6.6579,7.014e-06,0.029116
6.8265,6.2052e-06,0.03136
6.9993,3.557e-06,0.042891
7.1765,2.1869e-06,0.057166
7.3582,1.3548e-06,0.082208
7.5444,1.3348e-06,0.081872
7.7354,1.7605e-06,0.068683
7.9312,2.4677e-06,0.05597
8.132,3.0955e-06,0.050162
8.3379,3.3624e-06,0.047322
8.549,3.6967e-06,0.04482
8.7654,3.6128e-06,0.045246
8.9873,4.8937e-06,0.039355
9.2148,6.7882e-06,0.033309
9.4481,9.3955e-06,0.027982
9.6872,1.527e-05,0.021808
9.9325,2.207e-05,0.017976
10.184,1.9833e-05,0.019225
10.442,1.091e-05,0.026719
10.706,5.643e-06,0.038882
10.977,5.0233e-06,0.042842
11.255,6.3308e-06,0.037642
11.54,8.0409e-06,0.032425
11.832,1.0028e-05,0.029033
12.132,1.1777e-05,0.026725
12.439,1.1942e-05,0.0265
12.754,1.4875e-05,0.023506
13.076,2.8391e-05,0.016941
13.407,6.9575e-05,0.01081
13.747,0.00018835,0.006591
14.095,0.00064577,0.0035668
14.452,0.0014523,0.0023708
14.818,0.0011122,0.0027023
15.193,0.00032449,0.0049602
15.577,4.8007e-05,0.012744
15.972,1.3666e-05,0.02364
16.376,4.4288e-06,0.041232
16.79,1.425e-06,0.072847
17.216,4.1411e-07,0.1409
17.651,1.6257e-07,0.25691
18.098,1.0238e-07,0.31987
18.556,-2.9683e-09,9.1114
19.026,-1.4155e-08,1.4311
19.508,-3.2646e-09,4.5449
20.002,1.7436e-08,0.88685
