Energy [MeV],Leakage lethargy flux [1/n/sr/u/cm**2],Error
0.4823,2.5757e-07,0.2602
0.49451,3.6836e-07,0.16832
0.50703,3.5766e-07,0.16317
0.51986,4.716e-07,0.12878
0.53302,4.1853e-07,0.14092
0.54652,3.4985e-07,0.175
0.56035,4.1449e-07,0.13655
0.57454,4.0047e-07,0.13606
0.58908,4.3439e-07,0.12315
0.60399,4.8e-07,0.10487
0.61929,5.4202e-07,0.096287
0.63496,5.2526e-07,0.099072
0.65104,6.2806e-07,0.080102
0.66752,6.7719e-07,0.073724
0.68442,5.3222e-07,0.091308
0.70174,6.3615e-07,0.075308
0.71951,6.7408e-07,0.071668
0.73772,6.3298e-07,0.075585
0.7564,5.8033e-07,0.078271
0.77554,7.1845e-07,0.066851
0.79518,7.2062e-07,0.061774
0.81531,7.1496e-07,0.063712
0.83595,8e-07,0.056828
0.85711,7.4184e-07,0.061916
0.87881,7.9907e-07,0.056769
0.90105,7.3725e-07,0.061516
0.92386,7.0742e-07,0.064407
0.94725,8.567e-07,0.054261
0.97123,8.2264e-07,0.056042
0.99582,7.5017e-07,0.062574
1.021,8.4824e-07,0.05783
1.0469,8.8136e-07,0.055587
1.0734,8.2778e-07,0.059259
1.1006,8.7476e-07,0.055592
1.1284,8.8393e-07,0.053748
1.157,9.1126e-07,0.051762
1.1863,8.2169e-07,0.05891
1.2163,9.5062e-07,0.050795
1.2471,8.5664e-07,0.056101
1.2787,8.6881e-07,0.057292
1.311,9.5656e-07,0.052326
1.3442,1.0429e-06,0.04905
1.3782,1.0298e-06,0.050234
1.4131,9.396e-07,0.054722
1.4489,1.0241e-06,0.051457
1.4856,1.0088e-06,0.052351
1.5232,9.8645e-07,0.053419
1.5618,1.0378e-06,0.051386
1.6013,1.0989e-06,0.049274
1.6418,1.0018e-06,0.054208
1.6834,1.0989e-06,0.050414
1.726,1.0617e-06,0.052367
1.7697,1.1271e-06,0.050113
1.8145,1.0823e-06,0.052461
1.8604,1.1368e-06,0.051506
1.9075,1.0049e-06,0.056505
1.9558,9.8923e-07,0.056446
2.0053,1.0119e-06,0.056679
2.0561,9.804e-07,0.059247
2.1081,1.0127e-06,0.05838
2.1615,9.8435e-07,0.059193
2.2162,9.8512e-07,0.058483
2.2723,9.6168e-07,0.060385
2.3299,1.052e-06,0.055363
2.3888,1.0159e-06,0.057574
2.4493,8.6074e-07,0.066421
2.5113,9.7059e-07,0.058724
2.5749,8.5607e-07,0.068217
2.6401,7.005e-07,0.079352
2.7069,7.4217e-07,0.076723
2.7754,7.1531e-07,0.079988
2.8457,8.1904e-07,0.070998
2.9177,8.1076e-07,0.070063
2.9916,7.9613e-07,0.074384
3.0673,7.1014e-07,0.084161
3.145,5.9609e-07,0.099156
3.2246,7.1722e-07,0.083321
3.3062,7.2146e-07,0.083906
3.3899,6.944e-07,0.088624
3.4758,7.6207e-07,0.084389
3.5637,7.381e-07,0.090327
3.654,9.1371e-07,0.074472
3.7465,8.7319e-07,0.078798
3.8413,1.0158e-06,0.067465
3.9385,9.0126e-07,0.076116
4.0382,1.0191e-06,0.068739
4.1405,9.9622e-07,0.070355
4.2453,9.2559e-07,0.074624
4.3528,9.5521e-07,0.070404
4.463,8.8704e-07,0.075485
4.5759,9.0205e-07,0.071711
4.6918,7.4049e-07,0.085498
4.8105,7.8518e-07,0.079257
4.9323,8.227e-07,0.0757
5.0572,7.4098e-07,0.084712
5.1852,7.7489e-07,0.0725
5.3165,6.816e-07,0.08033
5.4511,6.7773e-07,0.079542
5.5891,6.4321e-07,0.085494
5.7305,5.7521e-07,0.090019
5.8756,6.3234e-07,0.084697
6.0244,7.4821e-07,0.076499
6.1769,7.9794e-07,0.073189
6.3332,7.9225e-07,0.077697
6.4936,1.0006e-06,0.066164
6.6579,1.0736e-06,0.064866
6.8265,1.0462e-06,0.06399
6.9993,8.6239e-07,0.078476
7.1765,7.2442e-07,0.088506
7.3582,7.5331e-07,0.084729
7.5444,7.6165e-07,0.093188
7.7354,8.1387e-07,0.087935
7.9312,1.0461e-06,0.075336
8.132,1.1376e-06,0.072147
8.3379,1.425e-06,0.059614
8.549,1.4542e-06,0.057973
8.7654,1.463e-06,0.060032
8.9873,1.4543e-06,0.062192
9.2148,1.3374e-06,0.068922
9.4481,1.272e-06,0.071773
9.6872,1.2422e-06,0.075758
9.9325,1.0211e-06,0.08671
10.184,1.0199e-06,0.091223
10.442,9.7221e-07,0.095667
10.706,1.2704e-06,0.080674
10.977,1.3051e-06,0.079762
11.255,1.7521e-06,0.062937
11.54,2.0707e-06,0.056131
11.832,2.0803e-06,0.056877
12.132,2.255e-06,0.054129
12.439,2.359e-06,0.052618
12.754,2.3048e-06,0.053634
13.076,2.1753e-06,0.053228
13.407,2.1422e-06,0.052622
13.747,1.6142e-06,0.063454
14.095,1.3419e-06,0.068173
14.452,8.9947e-07,0.091739
14.818,6.1222e-07,0.11171
15.193,3.9718e-07,0.136
15.577,2.1777e-07,0.20508
15.972,1.3874e-07,0.23909
16.376,3.3194e-08,0.63356
16.79,5.9943e-10,33.984
17.216,6.4156e-09,2.8278
17.651,3.2548e-08,0.59034
18.098,-1.0318e-08,1.7778
18.556,-1.8276e-09,8.5953
19.026,7.3881e-09,1.9425
19.508,-2.234e-09,7.8108
20.002,-1.3568e-08,1.1208
